TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -3.68361651E+01 -9.90804088E-06
 -3.68404078E+01 2.31578153E-01
 -3.68542573E+01 4.77768186E-01
 -3.68796320E+01 7.38944118E-01
 -3.69187308E+01 1.01522489E+00
 -3.69737785E+01 1.30645437E+00
 -3.70471088E+01 1.61211006E+00
 -3.71412159E+01 1.93121084E+00
 -3.72584868E+01 2.26224843E+00
 -3.74011417E+01 2.60314448E+00
 -3.75710359E+01 2.95120407E+00
 -3.77695234E+01 3.30314259E+00
 -3.79972705E+01 3.65516530E+00
 -3.82540568E+01 4.00308614E+00
 -3.85387233E+01 4.34252573E+00
 -3.88491430E+01 4.66913432E+00
 -3.91822528E+01 4.97887446E+00
 -3.95342747E+01 5.26823124E+00
 -3.99005641E+01 5.53423774E+00
 -4.02761887E+01 5.77493345E+00
 -4.06568572E+01 5.98937325E+00
 -4.10374513E+01 6.17724711E+00
 -4.14140559E+01 6.33912223E+00
 -4.17829927E+01 6.47619978E+00
 -4.21413355E+01 6.59021152E+00
 -4.24867995E+01 6.68306224E+00
 -4.28177776E+01 6.75694642E+00
 -4.31332202E+01 6.81401441E+00
 -4.34325514E+01 6.85640844E+00
 -4.37156457E+01 6.88612269E+00
 -4.39826473E+01 6.90499286E+00
 -4.42339833E+01 6.91468746E+00
 -4.44702297E+01 6.91670138E+00
 -4.47063693E+01 6.91185902E+00
 -4.49573198E+01 6.89918911E+00
 -4.52235690E+01 6.87719559E+00
 -4.55054326E+01 6.84420414E+00
 -4.58030036E+01 6.79837442E+00
 -4.61159986E+01 6.73771515E+00
 -4.64437766E+01 6.66012532E+00
 -4.67851675E+01 6.56345981E+00
 -4.71384665E+01 6.44564083E+00
 -4.75013005E+01 6.30474849E+00
 -4.78706831E+01 6.13919501E+00
 -4.82429870E+01 5.94786339E+00
 -4.86140323E+01 5.73025090E+00
 -4.89792999E+01 5.48668611E+00
 -4.93340109E+01 5.21829471E+00
 -4.96735393E+01 4.92714694E+00
 -4.99936170E+01 4.61616094E+00
 -5.02906120E+01 4.28897529E+00
 -5.05617146E+01 3.94973860E+00
 -5.08051273E+01 3.60286333E+00
 -5.10200327E+01 3.25276253E+00
 -5.12065701E+01 2.90360077E+00
 -5.13656638E+01 2.55910575E+00
 -5.14988883E+01 2.22244278E+00
 -5.16082127E+01 1.89615872E+00
 -5.16958802E+01 1.58216547E+00
 -5.17642318E+01 1.28180323E+00
 -5.18156081E+01 9.95899275E-01
 -5.18522059E+01 7.24847439E-01
 -5.18761152E+01 4.68689956E-01
 -5.18892356E+01 2.27203751E-01
 -5.18932670E+01 -9.90804088E-06
 -5.18892356E+01 -2.27223562E-01
 -5.18761152E+01 -4.68709767E-01
 -5.18522059E+01 -7.24867250E-01
 -5.18156081E+01 -9.95919087E-01
 -5.17642318E+01 -1.28182544E+00
 -5.16958802E+01 -1.58218521E+00
 -5.16082127E+01 -1.89617846E+00
 -5.14988883E+01 -2.22246513E+00
 -5.13656731E+01 -2.55912549E+00
 -5.12065701E+01 -2.90362051E+00
 -5.10200327E+01 -3.25278227E+00
 -5.08051273E+01 -3.60288307E+00
 -5.05617146E+01 -3.94975863E+00
 -5.02906120E+01 -4.28899503E+00
 -4.99936170E+01 -4.61618068E+00
 -4.96735393E+01 -4.92716668E+00
 -4.93340109E+01 -5.21831445E+00
 -4.89792999E+01 -5.48670643E+00
 -4.86140416E+01 -5.73027064E+00
 -4.82429963E+01 -5.94788313E+00
 -4.78706831E+01 -6.13921475E+00
 -4.75013005E+01 -6.30476823E+00
 -4.71384665E+01 -6.44566057E+00
 -4.67851768E+01 -6.56347955E+00
 -4.64437766E+01 -6.66014274E+00
 -4.61159986E+01 -6.73773489E+00
 -4.58030036E+01 -6.79839474E+00
 -4.55054326E+01 -6.84422155E+00
 -4.52235690E+01 -6.87721300E+00
 -4.49573198E+01 -6.89920885E+00
 -4.47063693E+01 -6.91188340E+00
 -4.44702297E+01 -6.91672635E+00
 -4.42339833E+01 -6.91471242E+00
 -4.39826566E+01 -6.90501260E+00
 -4.37156457E+01 -6.88614011E+00
 -4.34325514E+01 -6.85642586E+00
 -4.31332202E+01 -6.81403415E+00
 -4.28177776E+01 -6.75696674E+00
 -4.24867995E+01 -6.68307966E+00
 -4.21413355E+01 -6.59022894E+00
 -4.17829927E+01 -6.47621719E+00
 -4.14140559E+01 -6.33913965E+00
 -4.10374513E+01 -6.17726452E+00
 -4.06568572E+01 -5.98939066E+00
 -4.02761887E+01 -5.77495087E+00
 -3.99005641E+01 -5.53425457E+00
 -3.95342747E+01 -5.26824865E+00
 -3.91822621E+01 -4.97889188E+00
 -3.88491430E+01 -4.66915173E+00
 -3.85387349E+01 -4.34254286E+00
 -3.82540568E+01 -4.00310355E+00
 -3.79972705E+01 -3.65518272E+00
 -3.77695327E+01 -3.30315972E+00
 -3.75710359E+01 -2.95122119E+00
 -3.74011417E+01 -2.60316160E+00
 -3.72584868E+01 -2.26226570E+00
 -3.71412159E+01 -1.93122811E+00
 -3.70471088E+01 -1.61212733E+00
 -3.69737785E+01 -1.30647178E+00
 -3.69187308E+01 -1.01524223E+00
 -3.68796320E+01 -7.38961462E-01
 -3.68542573E+01 -4.77785530E-01
 -3.68404078E+01 -2.31595497E-01
 -3.68361651E+01 -9.90804088E-06
