TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -1.70002095E+01 -7.43103038E-06
 -1.70052730E+01 2.25462411E-01
 -1.70218988E+01 4.65046247E-01
 -1.70523556E+01 7.18900147E-01
 -1.70991815E+01 9.86897787E-01
 -1.71648811E+01 1.26864276E+00
 -1.72518346E+01 1.56327571E+00
 -1.73626556E+01 1.86958771E+00
 -1.74996339E+01 2.18581274E+00
 -1.76646527E+01 2.50974368E+00
 -1.78591379E+01 2.83867330E+00
 -1.80838615E+01 3.16948042E+00
 -1.83388062E+01 3.49869741E+00
 -1.86230977E+01 3.82262850E+00
 -1.89349037E+01 4.13752073E+00
 -1.92714888E+01 4.43967397E+00
 -1.96292290E+01 4.72569433E+00
 -2.00040107E+01 4.99269386E+00
 -2.03910977E+01 5.23834630E+00
 -2.07856367E+01 5.46103222E+00
 -2.11830667E+01 5.65994580E+00
 -2.15787343E+01 5.83489954E+00
 -2.19687658E+01 5.98641593E+00
 -2.23496990E+01 6.11557420E+00
 -2.27188145E+01 6.22383967E+00
 -2.30740457E+01 6.31290289E+00
 -2.34139015E+01 6.38469419E+00
 -2.37374997E+01 6.44110557E+00
 -2.40443710E+01 6.48403951E+00
 -2.43344970E+01 6.51527248E+00
 -2.46080890E+01 6.53645092E+00
 -2.48656392E+01 6.54907322E+00
 -2.51077816E+01 6.55449787E+00
 -2.53498846E+01 6.55369787E+00
 -2.56072955E+01 6.54598702E+00
 -2.58805693E+01 6.52996560E+00
 -2.61701008E+01 6.50406382E+00
 -2.64760712E+01 6.46656440E+00
 -2.67983015E+01 6.41557012E+00
 -2.71362439E+01 6.34907459E+00
 -2.74888509E+01 6.26499770E+00
 -2.78544878E+01 6.16127794E+00
 -2.82308950E+01 6.03598090E+00
 -2.86151583E+01 5.88745667E+00
 -2.90036920E+01 5.71440539E+00
 -2.93922954E+01 5.51616756E+00
 -2.97764100E+01 5.29266191E+00
 -3.01511522E+01 5.04474300E+00
 -3.05116060E+01 4.77403579E+00
 -3.08532545E+01 4.48297946E+00
 -3.11720759E+01 4.17476529E+00
 -3.14648005E+01 3.85318745E+00
 -3.17291361E+01 3.52236031E+00
 -3.19638174E+01 3.18650764E+00
 -3.21685771E+01 2.84972841E+00
 -3.23440283E+01 2.51579272E+00
 -3.24915204E+01 2.18799255E+00
 -3.26129527E+01 1.86906507E+00
 -3.27105570E+01 1.56114799E+00
 -3.27867691E+01 1.26581403E+00
 -3.28441181E+01 9.84101281E-01
 -3.28849888E+01 7.16604002E-01
 -3.29116615E+01 4.63515484E-01
 -3.29262844E+01 2.24741605E-01
 -3.29307825E+01 -7.43103038E-06
 -3.29262937E+01 -2.24756463E-01
 -3.29116615E+01 -4.63532792E-01
 -3.28849888E+01 -7.16621346E-01
 -3.28441181E+01 -9.84118552E-01
 -3.27867691E+01 -1.26583145E+00
 -3.27105570E+01 -1.56116527E+00
 -3.26129527E+01 -1.86908249E+00
 -3.24915204E+01 -2.18800982E+00
 -3.23440283E+01 -2.51580984E+00
 -3.21685771E+01 -2.84974554E+00
 -3.19638174E+01 -3.18652476E+00
 -3.17291361E+01 -3.52237773E+00
 -3.14648005E+01 -3.85320458E+00
 -3.11720759E+01 -4.17478242E+00
 -3.08532661E+01 -4.48299456E+00
 -3.05116060E+01 -4.77405060E+00
 -3.01511615E+01 -5.04476042E+00
 -2.97764100E+01 -5.29267933E+00
 -2.93922954E+01 -5.51618498E+00
 -2.90036920E+01 -5.71442280E+00
 -2.86151583E+01 -5.88747408E+00
 -2.82308950E+01 -6.03599774E+00
 -2.78544878E+01 -6.16129245E+00
 -2.74888509E+01 -6.26501222E+00
 -2.71362439E+01 -6.34909201E+00
 -2.67983015E+01 -6.41558753E+00
 -2.64760712E+01 -6.46657891E+00
 -2.61701008E+01 -6.50408124E+00
 -2.58805693E+01 -6.52998070E+00
 -2.56072955E+01 -6.54600444E+00
 -2.53498846E+01 -6.55372052E+00
 -2.51077816E+01 -6.55452284E+00
 -2.48656392E+01 -6.54909586E+00
 -2.46080890E+01 -6.53646775E+00
 -2.43344970E+01 -6.51528700E+00
 -2.40443803E+01 -6.48405461E+00
 -2.37374997E+01 -6.44112067E+00
 -2.34139015E+01 -6.38470928E+00
 -2.30740457E+01 -6.31291798E+00
 -2.27188238E+01 -6.22385418E+00
 -2.23496990E+01 -6.11558930E+00
 -2.19687658E+01 -5.98643044E+00
 -2.15787343E+01 -5.83491406E+00
 -2.11830667E+01 -5.65996090E+00
 -2.07856367E+01 -5.46104673E+00
 -2.03910977E+01 -5.23836140E+00
 -2.00040107E+01 -4.99270837E+00
 -1.96292290E+01 -4.72570913E+00
 -1.92714888E+01 -4.43968878E+00
 -1.89349037E+01 -4.13753583E+00
 -1.86230977E+01 -3.82264331E+00
 -1.83388062E+01 -3.49871222E+00
 -1.80838615E+01 -3.16949551E+00
 -1.78591379E+01 -2.83868811E+00
 -1.76646527E+01 -2.50976110E+00
 -1.74996339E+01 -2.18582769E+00
 -1.73626556E+01 -1.86960266E+00
 -1.72518346E+01 -1.56329066E+00
 -1.71648811E+01 -1.26865771E+00
 -1.70991815E+01 -9.86912663E-01
 -1.70523556E+01 -7.18915024E-01
 -1.70218988E+01 -4.65061124E-01
 -1.70052730E+01 -2.25477270E-01
 -1.70002095E+01 -7.43103038E-06
