TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.81379893E+00 3.24661713E-01
 3.80763611E+00 5.41253967E-01
 3.78702748E+00 7.71157634E-01
 3.74945608E+00 1.01413498E+00
 3.69204905E+00 1.26968818E+00
 3.61201191E+00 1.53698234E+00
 3.50681813E+00 1.81456833E+00
 3.37373332E+00 2.10089348E+00
 3.21066690E+00 2.39359682E+00
 3.01609263E+00 2.69031540E+00
 2.78876261E+00 2.98824020E+00
 2.52829020E+00 3.28404978E+00
 2.23538859E+00 3.57436504E+00
 1.91148493E+00 3.85604579E+00
 1.55873886E+00 4.12600264E+00
 1.18081647E+00 4.38101847E+00
 7.81958390E-01 4.61880883E+00
 3.66553892E-01 4.83788547E+00
 -5.93333070E-02 5.03722082E+00
 -4.90778911E-01 5.21664305E+00
 -9.22511901E-01 5.37701919E+00
 -1.34966726E+00 5.51908076E+00
 -1.76826227E+00 5.64424659E+00
 -2.17493774E+00 5.75368593E+00
 -2.56721690E+00 5.84866204E+00
 -2.94331614E+00 5.93027682E+00
 -3.30205668E+00 5.99967277E+00
 -3.64288320E+00 6.05788734E+00
 -3.96557830E+00 6.10598875E+00
 -4.27033966E+00 6.14499411E+00
 -4.55758352E+00 6.17588746E+00
 -4.82792440E+00 6.19961741E+00
 -5.08214488E+00 6.21710239E+00
 -5.33648467E+00 6.22982455E+00
 -5.60713266E+00 6.23793656E+00
 -5.89476288E+00 6.24016355E+00
 -6.19992046E+00 6.23507039E+00
 -6.52294270E+00 6.22101588E+00
 -6.86380870E+00 6.19611205E+00
 -7.22214285E+00 6.15829566E+00
 -7.59701395E+00 6.10533447E+00
 -7.98690501E+00 6.03492314E+00
 -8.38961750E+00 5.94478242E+00
 -8.80219817E+00 5.83279157E+00
 -9.22097098E+00 5.69713114E+00
 -9.64155743E+00 5.53644731E+00
 -1.00591024E+01 5.35014151E+00
 -1.04682154E+01 5.13824568E+00
 -1.08637935E+01 4.90174559E+00
 -1.12404876E+01 4.64258086E+00
 -1.15937390E+01 4.36351578E+00
 -1.19198219E+01 4.06784002E+00
 -1.22157755E+01 3.75953151E+00
 -1.24798046E+01 3.44282100E+00
 -1.27112173E+01 3.12193199E+00
 -1.29103492E+01 2.80087926E+00
 -1.30783892E+01 2.48327934E+00
 -1.32172008E+01 2.17226098E+00
 -1.33290529E+01 1.87036057E+00
 -1.34165510E+01 1.57954966E+00
 -1.34825188E+01 1.30122289E+00
 -1.35295816E+01 1.03628685E+00
 -1.35602671E+01 7.85180003E-01
 -1.35770705E+01 5.48011233E-01
 -1.35822235E+01 3.24664180E-01
 -1.35770705E+01 1.01319612E-01
 -1.35602671E+01 -1.35849157E-01
 -1.35295816E+01 -3.86958529E-01
 -1.34825188E+01 -6.51894605E-01
 -1.34165510E+01 -9.30221304E-01
 -1.33290529E+01 -1.22102974E+00
 -1.32172008E+01 -1.52293276E+00
 -1.30783892E+01 -1.83395099E+00
 -1.29103492E+01 -2.15155090E+00
 -1.27112173E+01 -2.47260363E+00
 -1.24798046E+01 -2.79349264E+00
 -1.22157859E+01 -3.11020315E+00
 -1.19198219E+01 -3.41851166E+00
 -1.15937483E+01 -3.71418742E+00
 -1.12404969E+01 -3.99325251E+00
 -1.08637935E+01 -4.25241956E+00
 -1.04682154E+01 -4.48891703E+00
 -1.00591024E+01 -4.70081257E+00
 -9.64155743E+00 -4.88712098E+00
 -9.22097098E+00 -5.04780424E+00
 -8.80219817E+00 -5.18346524E+00
 -8.38961750E+00 -5.29545319E+00
 -7.98691488E+00 -5.38559449E+00
 -7.59701395E+00 -5.45600814E+00
 -7.22214285E+00 -5.50896933E+00
 -6.86381857E+00 -5.54678573E+00
 -6.52294270E+00 -5.57168955E+00
 -6.19993033E+00 -5.58574406E+00
 -5.89476288E+00 -5.59083664E+00
 -5.60713266E+00 -5.58861024E+00
 -5.33649454E+00 -5.58050054E+00
 -5.08215475E+00 -5.56777839E+00
 -4.82792440E+00 -5.55029050E+00
 -4.55758352E+00 -5.52656113E+00
 -4.27034953E+00 -5.49566779E+00
 -3.96558817E+00 -5.45666242E+00
 -3.64288320E+00 -5.40856102E+00
 -3.30206655E+00 -5.35034644E+00
 -2.94331614E+00 -5.28095049E+00
 -2.56722677E+00 -5.19933572E+00
 -2.17494761E+00 -5.10435960E+00
 -1.76826227E+00 -4.99492026E+00
 -1.34967727E+00 -4.86975472E+00
 -9.22521770E-01 -4.72769316E+00
 -4.90778911E-01 -4.56731701E+00
 -5.93432172E-02 -4.38789449E+00
 3.66543986E-01 -4.18855972E+00
 7.81948520E-01 -3.96948308E+00
 1.18081647E+00 -3.73169243E+00
 1.55872899E+00 -3.47667950E+00
 1.91148493E+00 -3.20672236E+00
 2.23538859E+00 -2.92504190E+00
 2.52828033E+00 -2.63472374E+00
 2.78876261E+00 -2.33891678E+00
 3.01609263E+00 -2.04099197E+00
 3.21066690E+00 -1.74427340E+00
 3.37373332E+00 -1.45157005E+00
 3.50681813E+00 -1.16524505E+00
 3.61200176E+00 -8.87658845E-01
 3.69204905E+00 -6.20364686E-01
 3.74945608E+00 -3.64811518E-01
 3.78702748E+00 -1.21836694E-01
 3.80763611E+00 1.08069477E-01
 3.81379893E+00 3.24661713E-01
