TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.70122363E+01 3.24659245E-01
 2.70060639E+01 5.45524342E-01
 2.69852384E+01 7.80015437E-01
 2.69473100E+01 1.02790960E+00
 2.68893479E+01 1.28876358E+00
 2.68084890E+01 1.56179444E+00
 2.67022439E+01 1.84558055E+00
 2.65677027E+01 2.13868273E+00
 2.64028221E+01 2.43866617E+00
 2.62059997E+01 2.74329603E+00
 2.59758258E+01 3.04988292E+00
 2.57119941E+01 3.35508056E+00
 2.54153775E+01 3.65544774E+00
 2.50873416E+01 3.94797750E+00
 2.47299091E+01 4.22959120E+00
 2.43471135E+01 4.49700176E+00
 2.39431720E+01 4.74758858E+00
 2.35224874E+01 4.97975632E+00
 2.30910511E+01 5.19192500E+00
 2.26538790E+01 5.38325429E+00
 2.22161007E+01 5.55414303E+00
 2.17827439E+01 5.70482458E+00
 2.13578283E+01 5.83646296E+00
 2.09448697E+01 5.95035569E+00
 2.05465363E+01 6.04804413E+00
 2.01647903E+01 6.13110041E+00
 1.98009067E+01 6.20114309E+00
 1.94555624E+01 6.25966478E+00
 1.91289837E+01 6.30807562E+00
 1.88209930E+01 6.34765805E+00
 1.85311329E+01 6.37956213E+00
 1.82587311E+01 6.40477538E+00
 1.80028761E+01 6.42424004E+00
 1.77471093E+01 6.43960253E+00
 1.74752334E+01 6.45130873E+00
 1.71867005E+01 6.45827126E+00
 1.68810575E+01 6.45921291E+00
 1.65580655E+01 6.45257955E+00
 1.62178334E+01 6.43653549E+00
 1.58608955E+01 6.40894953E+00
 1.54883443E+01 6.36732067E+00
 1.51019307E+01 6.30891045E+00
 1.47042220E+01 6.23064893E+00
 1.42987153E+01 6.12914396E+00
 1.38900783E+01 6.00050528E+00
 1.34844230E+01 5.83996019E+00
 1.30896669E+01 5.64240625E+00
 1.27150536E+01 5.40397178E+00
 1.23699670E+01 5.12448550E+00
 1.20603009E+01 4.80959559E+00
 1.17862538E+01 4.46988866E+00
 1.15420016E+01 4.11787814E+00
 1.13195653E+01 3.76438171E+00
 1.11130129E+01 3.41686696E+00
 1.09203611E+01 3.07920095E+00
 1.07429278E+01 2.75255521E+00
 1.05834277E+01 2.43678112E+00
 1.04443688E+01 2.13158857E+00
 1.03270769E+01 1.83710424E+00
 1.02317124E+01 1.55382843E+00
 1.01574312E+01 1.28236302E+00
 1.01028677E+01 1.02336433E+00
 1.00663174E+01 7.77261021E-01
 1.00458867E+01 5.44310595E-01
 1.00395657E+01 3.24669151E-01
 1.00458867E+01 1.05025222E-01
 1.00663174E+01 -1.27922701E-01
 1.01028677E+01 -3.74028536E-01
 1.01574312E+01 -6.33027190E-01
 1.02317124E+01 -9.04492668E-01
 1.03270769E+01 -1.18776848E+00
 1.04443583E+01 -1.48225280E+00
 1.05834277E+01 -1.78744522E+00
 1.07429174E+01 -2.10321945E+00
 1.09203611E+01 -2.42986504E+00
 1.11130024E+01 -2.76753106E+00
 1.13195560E+01 -3.11504580E+00
 1.15419912E+01 -3.46854252E+00
 1.17862445E+01 -3.82055536E+00
 1.20602904E+01 -4.16025998E+00
 1.23699566E+01 -4.47515221E+00
 1.27150432E+01 -4.75463819E+00
 1.30896565E+01 -4.99307237E+00
 1.34844126E+01 -5.19062631E+00
 1.38900679E+01 -5.35117372E+00
 1.42987049E+01 -5.47981240E+00
 1.47042115E+01 -5.58131796E+00
 1.51019203E+01 -5.65957890E+00
 1.54883338E+01 -5.71798912E+00
 1.58608862E+01 -5.75961798E+00
 1.62178230E+01 -5.78720452E+00
 1.65580550E+01 -5.80324800E+00
 1.68810482E+01 -5.80988135E+00
 1.71866912E+01 -5.80894261E+00
 1.74752230E+01 -5.80197950E+00
 1.77471000E+01 -5.79027330E+00
 1.80028656E+01 -5.77491371E+00
 1.82587206E+01 -5.75544673E+00
 1.85311225E+01 -5.73023058E+00
 1.88209826E+01 -5.69832940E+00
 1.91289744E+01 -5.65874639E+00
 1.94555531E+01 -5.61033613E+00
 1.98008974E+01 -5.55181677E+00
 2.01647810E+01 -5.48177408E+00
 2.05465270E+01 -5.39871490E+00
 2.09448604E+01 -5.30102936E+00
 2.13578167E+01 -5.18713373E+00
 2.17827346E+01 -5.05549826E+00
 2.22160914E+01 -4.90481438E+00
 2.26538580E+01 -4.73392768E+00
 2.30910418E+01 -4.54259868E+00
 2.35224758E+01 -4.33043289E+00
 2.39431627E+01 -4.09826515E+00
 2.43471019E+01 -3.84767862E+00
 2.47298998E+01 -3.58026806E+00
 2.50873324E+01 -3.29865408E+00
 2.54153682E+01 -3.00612664E+00
 2.57119848E+01 -2.70575713E+00
 2.59758165E+01 -2.40056211E+00
 2.62059904E+01 -2.09397522E+00
 2.64028221E+01 -1.78934507E+00
 2.65676935E+01 -1.48936178E+00
 2.67022439E+01 -1.19625959E+00
 2.68084890E+01 -9.12476091E-01
 2.68893479E+01 -6.39442622E-01
 2.69473100E+01 -3.78588678E-01
 2.69852384E+01 -1.30696964E-01
 2.70060639E+01 1.03796634E-01
 2.70122363E+01 3.24659245E-01
