TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 4.52275864E+01 -7.43103038E-06
 4.52214418E+01 2.23693822E-01
 4.52006721E+01 4.61253955E-01
 4.51628853E+01 7.12452495E-01
 4.51051230E+01 9.76905518E-01
 4.50245102E+01 1.25390958E+00
 4.49185902E+01 1.54206505E+00
 4.47843393E+01 1.84007172E+00
 4.46197281E+01 2.14541275E+00
 4.44230705E+01 2.45594070E+00
 4.41928293E+01 2.76908170E+00
 4.39286794E+01 3.08146741E+00
 4.36314568E+01 3.38953558E+00
 4.33025130E+01 3.69028185E+00
 4.29438032E+01 3.98063688E+00
 4.25593078E+01 4.25729907E+00
 4.21534156E+01 4.51757091E+00
 4.17305621E+01 4.75972090E+00
 4.12968082E+01 4.98229041E+00
 4.08572070E+01 5.18430762E+00
 4.04170532E+01 5.36619950E+00
 3.99813765E+01 5.52810946E+00
 3.95543617E+01 5.67122123E+00
 3.91394501E+01 5.79674352E+00
 3.87394238E+01 5.90618286E+00
 3.83562590E+01 6.00106957E+00
 3.79912282E+01 6.08292992E+00
 3.76450211E+01 6.15323501E+00
 3.73178561E+01 6.21332940E+00
 3.70095380E+01 6.26444038E+00
 3.67195699E+01 6.30766633E+00
 3.64472784E+01 6.34397969E+00
 3.61916301E+01 6.37432035E+00
 3.59361025E+01 6.40100762E+00
 3.56645424E+01 6.42521304E+00
 3.53765343E+01 6.44591601E+00
 3.50716252E+01 6.46193452E+00
 3.47496131E+01 6.47177599E+00
 3.44106606E+01 6.47359892E+00
 3.40553180E+01 6.46509271E+00
 3.36847580E+01 6.44340165E+00
 3.33007805E+01 6.40509237E+00
 3.29062624E+01 6.34600058E+00
 3.25050472E+01 6.26117537E+00
 3.21025431E+01 6.14491226E+00
 3.17059838E+01 5.99081707E+00
 3.13250576E+01 5.79212874E+00
 3.09715588E+01 5.54401418E+00
 3.06585244E+01 5.24603219E+00
 3.03956238E+01 4.90453688E+00
 3.01865657E+01 4.53149915E+00
 3.00270656E+01 4.14097123E+00
 2.99076141E+01 3.74520471E+00
 2.98175686E+01 3.35312846E+00
 2.97481930E+01 2.97047743E+00
 2.96933218E+01 2.60076887E+00
 2.96491141E+01 2.24609828E+00
 2.96134847E+01 1.90763212E+00
 2.95851074E+01 1.58597504E+00
 2.95630512E+01 1.28130526E+00
 2.95465055E+01 9.93422217E-01
 2.95347552E+01 7.21988959E-01
 2.95271059E+01 4.66411082E-01
 2.95228842E+01 2.25992489E-01
 2.95215977E+01 2.47701022E-06
 2.95228842E+01 -2.25987536E-01
 2.95271059E+01 -4.66406148E-01
 2.95347552E+01 -7.21984025E-01
 2.95465055E+01 -9.93414815E-01
 2.95630512E+01 -1.28129786E+00
 2.95851074E+01 -1.58596764E+00
 2.96134847E+01 -1.90762718E+00
 2.96491141E+01 -2.24609334E+00
 2.96933218E+01 -2.60076393E+00
 2.97481930E+01 -2.97047017E+00
 2.98175686E+01 -3.35312353E+00
 2.99076141E+01 -3.74519949E+00
 3.00270656E+01 -4.14096629E+00
 3.01865657E+01 -4.53149422E+00
 3.03956238E+01 -4.90453455E+00
 3.06585058E+01 -5.24602987E+00
 3.09715403E+01 -5.54401186E+00
 3.13250390E+01 -5.79212642E+00
 3.17059629E+01 -5.99081707E+00
 3.21025431E+01 -6.14491226E+00
 3.25050263E+01 -6.26117537E+00
 3.29062438E+01 -6.34600058E+00
 3.33007805E+01 -6.40509469E+00
 3.36847371E+01 -6.44340397E+00
 3.40552971E+01 -6.46509561E+00
 3.44106397E+01 -6.47360124E+00
 3.47495945E+01 -6.47177831E+00
 3.50716043E+01 -6.46193742E+00
 3.53765157E+01 -6.44592065E+00
 3.56645215E+01 -6.42521536E+00
 3.59360816E+01 -6.40101285E+00
 3.61916092E+01 -6.37432558E+00
 3.64472575E+01 -6.34398433E+00
 3.67195513E+01 -6.30767156E+00
 3.70095194E+01 -6.26444502E+00
 3.73178375E+01 -6.21333463E+00
 3.76450211E+01 -6.15323965E+00
 3.79912282E+01 -6.08293514E+00
 3.83562404E+01 -6.00107712E+00
 3.87394029E+01 -5.90619041E+00
 3.91394315E+01 -5.79675107E+00
 3.95543384E+01 -5.67122588E+00
 3.99813580E+01 -5.52811700E+00
 4.04170532E+01 -5.36620705E+00
 4.08571885E+01 -5.18431516E+00
 4.12967897E+01 -4.98230028E+00
 4.17305621E+01 -4.75973106E+00
 4.21534156E+01 -4.51758078E+00
 4.25592892E+01 -4.25730894E+00
 4.29437800E+01 -3.98064675E+00
 4.33025130E+01 -3.69029172E+00
 4.36314382E+01 -3.38954806E+00
 4.39286609E+01 -3.08147989E+00
 4.41928293E+01 -2.76909651E+00
 4.44230705E+01 -2.45595289E+00
 4.46197281E+01 -2.14542509E+00
 4.47843393E+01 -1.84008652E+00
 4.49185902E+01 -1.54208000E+00
 4.50245102E+01 -1.25392439E+00
 4.51051230E+01 -9.76920395E-01
 4.51628853E+01 -7.12467371E-01
 4.52006721E+01 -4.61268831E-01
 4.52214418E+01 -2.23708681E-01
 4.52275864E+01 -7.43103038E-06
