TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.36260046E+01 -7.43103038E-06
 6.36198415E+01 2.25863680E-01
 6.35990113E+01 4.65772007E-01
 6.35611456E+01 7.19467416E-01
 6.35032021E+01 9.86605480E-01
 6.34222736E+01 1.26650764E+00
 6.33159588E+01 1.55774699E+00
 6.31810902E+01 1.85913231E+00
 6.30156290E+01 2.16800308E+00
 6.28178847E+01 2.48221665E+00
 6.25861759E+01 2.79928158E+00
 6.23201218E+01 3.11576655E+00
 6.20206605E+01 3.42798622E+00
 6.16891205E+01 3.73287153E+00
 6.13274940E+01 4.02735339E+00
 6.09397336E+01 4.30810526E+00
 6.05303535E+01 4.57246910E+00
 6.01039331E+01 4.81859701E+00
 5.96665333E+01 5.04503792E+00
 5.92234442E+01 5.25107078E+00
 5.87798814E+01 5.43689821E+00
 5.83410930E+01 5.60298696E+00
 5.79112450E+01 5.75037157E+00
 5.74938580E+01 5.88044944E+00
 5.70917092E+01 5.99470849E+00
 5.67067819E+01 6.09468836E+00
 5.63403438E+01 6.18193853E+00
 5.59930871E+01 6.25791094E+00
 5.56651697E+01 6.32390081E+00
 5.53563779E+01 6.38110233E+00
 5.50662101E+01 6.43059299E+00
 5.47939185E+01 6.47328948E+00
 5.45384490E+01 6.51008295E+00
 5.42831374E+01 6.54368863E+00
 5.40119326E+01 6.57576571E+00
 5.37245004E+01 6.60541320E+00
 5.34203669E+01 6.63155301E+00
 5.30994254E+01 6.65279066E+00
 5.27617965E+01 6.66730381E+00
 5.24080423E+01 6.67267854E+00
 5.20393610E+01 6.66579032E+00
 5.16575640E+01 6.64255094E+00
 5.12656654E+01 6.59758333E+00
 5.08678730E+01 6.52401091E+00
 5.04708424E+01 6.41310569E+00
 5.00842105E+01 6.25387322E+00
 4.97221893E+01 6.03670136E+00
 4.94010295E+01 5.75762902E+00
 4.91347803E+01 5.42265791E+00
 4.89291683E+01 5.04616767E+00
 4.87789036E+01 4.64546881E+00
 4.86722730E+01 4.23515460E+00
 4.85975261E+01 3.82513038E+00
 4.85454485E+01 3.42189539E+00
 4.85093244E+01 3.02973757E+00
 4.84843376E+01 2.65150046E+00
 4.84670558E+01 2.28902975E+00
 4.84551661E+01 1.94341500E+00
 4.84470059E+01 1.61521861E+00
 4.84414559E+01 1.30457687E+00
 4.84376893E+01 1.01124435E+00
 4.84352510E+01 7.34812494E-01
 4.84337462E+01 4.74632277E-01
 4.84329566E+01 2.29955717E-01
 4.84326966E+01 4.95402044E-06
 4.84329566E+01 -2.29948279E-01
 4.84337462E+01 -4.74622371E-01
 4.84352510E+01 -7.34805019E-01
 4.84376893E+01 -1.01123441E+00
 4.84414559E+01 -1.30456932E+00
 4.84470059E+01 -1.61521121E+00
 4.84551661E+01 -1.94340513E+00
 4.84670558E+01 -2.28901988E+00
 4.84843376E+01 -2.65149320E+00
 4.85093244E+01 -3.02972770E+00
 4.85454485E+01 -3.42188552E+00
 4.85975261E+01 -3.82512022E+00
 4.86722544E+01 -4.23514735E+00
 4.87788850E+01 -4.64546155E+00
 4.89291497E+01 -5.04616012E+00
 4.91347803E+01 -5.42265327E+00
 4.94010109E+01 -5.75762437E+00
 4.97221707E+01 -6.03669904E+00
 5.00842105E+01 -6.25387322E+00
 5.04708424E+01 -6.41310278E+00
 5.08678545E+01 -6.52401091E+00
 5.12656422E+01 -6.59758333E+00
 5.16575454E+01 -6.64255094E+00
 5.20393424E+01 -6.66579265E+00
 5.24080191E+01 -6.67268144E+00
 5.27617779E+01 -6.66730614E+00
 5.30994021E+01 -6.65279357E+00
 5.34203437E+01 -6.63155533E+00
 5.37244818E+01 -6.60541552E+00
 5.40119141E+01 -6.57576804E+00
 5.42831188E+01 -6.54369327E+00
 5.45384258E+01 -6.51008760E+00
 5.47938953E+01 -6.47329413E+00
 5.50661915E+01 -6.43059821E+00
 5.53563779E+01 -6.38110755E+00
 5.56651511E+01 -6.32390604E+00
 5.59930686E+01 -6.25791558E+00
 5.63403438E+01 -6.18194607E+00
 5.67067633E+01 -6.09469301E+00
 5.70916907E+01 -5.99471372E+00
 5.74938394E+01 -5.88045640E+00
 5.79112218E+01 -5.75037912E+00
 5.83410744E+01 -5.60299450E+00
 5.87798628E+01 -5.43690575E+00
 5.92234257E+01 -5.25107833E+00
 5.96665101E+01 -5.04504779E+00
 6.01039331E+01 -4.81860688E+00
 6.05303349E+01 -4.57247896E+00
 6.09397336E+01 -4.30811745E+00
 6.13274754E+01 -4.02736326E+00
 6.16891205E+01 -3.73288401E+00
 6.20206605E+01 -3.42799871E+00
 6.23201218E+01 -3.11577903E+00
 6.25861759E+01 -2.79929639E+00
 6.28178614E+01 -2.48223174E+00
 6.30156290E+01 -2.16801789E+00
 6.31810902E+01 -1.85914711E+00
 6.33159588E+01 -1.55776194E+00
 6.34222736E+01 -1.26652245E+00
 6.35032021E+01 -9.86620357E-01
 6.35611456E+01 -7.19484760E-01
 6.35990113E+01 -4.65789350E-01
 6.36198415E+01 -2.25881024E-01
 6.36260046E+01 -7.43103038E-06
