TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 8.19467824E+01 -9.90804088E-06
 8.19405775E+01 2.27644660E-01
 8.19195570E+01 4.69477616E-01
 8.18813522E+01 7.25186842E-01
 8.18228514E+01 9.94452692E-01
 8.17411101E+01 1.27660891E+00
 8.16337317E+01 1.57015435E+00
 8.14974745E+01 1.87400671E+00
 8.13302670E+01 2.18533465E+00
 8.11303816E+01 2.50197593E+00
 8.08961741E+01 2.82149543E+00
 8.06270872E+01 3.14042509E+00
 8.03241984E+01 3.45496086E+00
 7.99888360E+01 3.76197649E+00
 7.96231085E+01 4.05838026E+00
 7.92309731E+01 4.34084127E+00
 7.88169346E+01 4.60675314E+00
 7.83858513E+01 4.85423373E+00
 7.79437329E+01 5.08175243E+00
 7.74961108E+01 5.28888485E+00
 7.70481497E+01 5.47565393E+00
 7.66052789E+01 5.64280741E+00
 7.61716411E+01 5.79125675E+00
 7.57508080E+01 5.92263505E+00
 7.53456078E+01 6.03835128E+00
 7.49579867E+01 6.14004725E+00
 7.45892311E+01 6.22927883E+00
 7.42399727E+01 6.30748810E+00
 7.39104111E+01 6.37596505E+00
 7.36002864E+01 6.43591895E+00
 7.33090318E+01 6.48837215E+00
 7.30359275E+01 6.53420884E+00
 7.27798031E+01 6.57431666E+00
 7.25239388E+01 6.61161579E+00
 7.22522789E+01 6.64804990E+00
 7.19645308E+01 6.68283699E+00
 7.16602952E+01 6.71503077E+00
 7.13394326E+01 6.74338015E+00
 7.10021009E+01 6.76619573E+00
 7.06489226E+01 6.78114430E+00
 7.02810170E+01 6.78505836E+00
 6.99001906E+01 6.77359948E+00
 6.95093974E+01 6.74080135E+00
 6.91131330E+01 6.67825704E+00
 6.87186568E+01 6.57393756E+00
 6.83388011E+01 6.41226795E+00
 6.79916838E+01 6.18135159E+00
 6.76970388E+01 5.88052375E+00
 6.74690130E+01 5.52199105E+00
 6.73066821E+01 5.12599144E+00
 6.71971580E+01 4.71167697E+00
 6.71246311E+01 4.29218282E+00
 6.70773280E+01 3.87540130E+00
 6.70470094E+01 3.46661771E+00
 6.70280092E+01 3.06947878E+00
 6.70164957E+01 2.68653283E+00
 6.70097985E+01 2.31950945E+00
 6.70061294E+01 1.96948064E+00
 6.70042902E+01 1.63700648E+00
 6.70035146E+01 1.32224531E+00
 6.70032592E+01 1.02497195E+00
 6.70032592E+01 7.44794820E-01
 6.70033149E+01 4.81074994E-01
 6.70033753E+01 2.33074264E-01
 6.70033985E+01 4.95402044E-06
 6.70033753E+01 -2.33064359E-01
 6.70033149E+01 -4.81062621E-01
 6.70032592E+01 -7.44784951E-01
 6.70032592E+01 -1.02496201E+00
 6.70035146E+01 -1.32223297E+00
 6.70042902E+01 -1.63699646E+00
 6.70061294E+01 -1.96946830E+00
 6.70097985E+01 -2.31949944E+00
 6.70164957E+01 -2.68652064E+00
 6.70280092E+01 -3.06946891E+00
 6.70470094E+01 -3.46660784E+00
 6.70773280E+01 -3.87538882E+00
 6.71246311E+01 -4.29217063E+00
 6.71971580E+01 -4.71166710E+00
 6.73066821E+01 -5.12598158E+00
 6.74690130E+01 -5.52198118E+00
 6.76970202E+01 -5.88051620E+00
 6.79916652E+01 -6.18134636E+00
 6.83388011E+01 -6.41226563E+00
 6.87186382E+01 -6.57393524E+00
 6.91131145E+01 -6.67825704E+00
 6.95093788E+01 -6.74080135E+00
 6.99001720E+01 -6.77359948E+00
 7.02809938E+01 -6.78505836E+00
 7.06488994E+01 -6.78114720E+00
 7.10020824E+01 -6.76619806E+00
 7.13394140E+01 -6.74338247E+00
 7.16602766E+01 -6.71503541E+00
 7.19645123E+01 -6.68283931E+00
 7.22522603E+01 -6.64805222E+00
 7.25239202E+01 -6.61161811E+00
 7.27797845E+01 -6.57432189E+00
 7.30358857E+01 -6.53421406E+00
 7.33090132E+01 -6.48837680E+00
 7.36002678E+01 -6.43592359E+00
 7.39103925E+01 -6.37597027E+00
 7.42399495E+01 -6.30749333E+00
 7.45892079E+01 -6.22928406E+00
 7.49579681E+01 -6.14005480E+00
 7.53455892E+01 -6.03835883E+00
 7.57507894E+01 -5.92264259E+00
 7.61716225E+01 -5.79126430E+00
 7.66052603E+01 -5.64281496E+00
 7.70481497E+01 -5.47566380E+00
 7.74960922E+01 -5.28889240E+00
 7.79437143E+01 -5.08176230E+00
 7.83858327E+01 -4.85424360E+00
 7.88169161E+01 -4.60676330E+00
 7.92309452E+01 -4.34085114E+00
 7.96230900E+01 -4.05839274E+00
 7.99888174E+01 -3.76198868E+00
 8.03241798E+01 -3.45497567E+00
 8.06270872E+01 -3.14044019E+00
 8.08961555E+01 -2.82151024E+00
 8.11303816E+01 -2.50199074E+00
 8.13302484E+01 -2.18535207E+00
 8.14974559E+01 -1.87402412E+00
 8.16337317E+01 -1.57017176E+00
 8.17410915E+01 -1.27662618E+00
 8.18228328E+01 -9.94470036E-01
 8.18813522E+01 -7.25204186E-01
 8.19195570E+01 -4.69494960E-01
 8.19405775E+01 -2.27662004E-01
 8.19467824E+01 -9.90804088E-06
