TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.00534362E+02 -9.90804088E-06
 1.00528101E+02 2.29207643E-01
 1.00506802E+02 4.72737364E-01
 1.00468124E+02 7.30200248E-01
 1.00408889E+02 1.00130158E+00
 1.00326098E+02 1.28537012E+00
 1.00217364E+02 1.58082034E+00
 1.00079351E+02 1.88667908E+00
 9.99099977E+01 2.19994171E+00
 9.97075950E+01 2.51840577E+00
 9.94704244E+01 2.83968897E+00
 9.91979099E+01 3.16031326E+00
 9.88911384E+01 3.47636484E+00
 9.85515310E+01 3.78466349E+00
 9.81813078E+01 4.08208525E+00
 9.77843886E+01 4.36530416E+00
 9.73653621E+01 4.63176610E+00
 9.69292628E+01 4.87959358E+00
 9.64821377E+01 5.10716656E+00
 9.60296530E+01 5.31427401E+00
 9.55769732E+01 5.50090434E+00
 9.51296438E+01 5.66790455E+00
 9.46918911E+01 5.81622037E+00
 9.42671891E+01 5.94758125E+00
 9.38585289E+01 6.06340140E+00
 9.34677682E+01 6.16537720E+00
 9.30962166E+01 6.25508715E+00
 9.27445060E+01 6.33396231E+00
 9.24127848E+01 6.40332866E+00
 9.21007837E+01 6.46437457E+00
 9.18079175E+01 6.51808582E+00
 9.15334431E+01 6.56536459E+00
 9.12761716E+01 6.60707996E+00
 9.10192344E+01 6.64624671E+00
 9.07465249E+01 6.68498444E+00
 9.04578479E+01 6.72259300E+00
 9.01527763E+01 6.75824685E+00
 8.98312635E+01 6.79084934E+00
 8.94934581E+01 6.81883471E+00
 8.91399826E+01 6.83999573E+00
 8.87720165E+01 6.85141223E+00
 8.83912691E+01 6.84862095E+00
 8.80008149E+01 6.82534209E+00
 8.76047689E+01 6.77306944E+00
 8.72114166E+01 6.67550001E+00
 8.68358430E+01 6.51339208E+00
 8.64995703E+01 6.27343657E+00
 8.62263035E+01 5.95795740E+00
 8.60278671E+01 5.58474610E+00
 8.58985672E+01 5.17751809E+00
 8.58188229E+01 4.75610205E+00
 8.57708092E+01 4.33179515E+00
 8.57433608E+01 3.91127083E+00
 8.57289167E+01 3.49915082E+00
 8.57226561E+01 3.09877939E+00
 8.57213092E+01 2.71260587E+00
 8.57226747E+01 2.34235232E+00
 8.57253684E+01 1.98911090E+00
 8.57284802E+01 1.65347608E+00
 8.57314340E+01 1.33563350E+00
 8.57339513E+01 1.03539520E+00
 8.57358926E+01 7.52384413E-01
 8.57372209E+01 4.85977007E-01
 8.57379733E+01 2.35447241E-01
 8.57381962E+01 7.43103038E-06
 8.57379733E+01 -2.35434850E-01
 8.57372209E+01 -4.85962130E-01
 8.57358926E+01 -7.52369537E-01
 8.57339513E+01 -1.03538279E+00
 8.57314340E+01 -1.33561869E+00
 8.57284802E+01 -1.65346127E+00
 8.57253684E+01 -1.98909856E+00
 8.57226747E+01 -2.34233999E+00
 8.57213092E+01 -2.71259107E+00
 8.57226561E+01 -3.09876430E+00
 8.57289167E+01 -3.49913602E+00
 8.57433608E+01 -3.91125834E+00
 8.57708092E+01 -4.33178296E+00
 8.58188229E+01 -4.75608985E+00
 8.58985486E+01 -5.17750590E+00
 8.60278671E+01 -5.58473623E+00
 8.62263035E+01 -5.95794753E+00
 8.64995424E+01 -6.27342960E+00
 8.68358430E+01 -6.51338454E+00
 8.72113980E+01 -6.67549769E+00
 8.76047503E+01 -6.77306711E+00
 8.80007963E+01 -6.82533919E+00
 8.83912505E+01 -6.84862095E+00
 8.87719980E+01 -6.85141514E+00
 8.91399640E+01 -6.83999805E+00
 8.94934395E+01 -6.81883471E+00
 8.98312449E+01 -6.79085224E+00
 9.01527577E+01 -6.75824976E+00
 9.04578293E+01 -6.72259532E+00
 9.07465063E+01 -6.68498676E+00
 9.10192158E+01 -6.64624904E+00
 9.12761530E+01 -6.60708518E+00
 9.15334245E+01 -6.56536982E+00
 9.18078989E+01 -6.51808873E+00
 9.21007558E+01 -6.46437689E+00
 9.24127476E+01 -6.40333388E+00
 9.27444874E+01 -6.33396754E+00
 9.30961981E+01 -6.25509179E+00
 9.34677496E+01 -6.16538242E+00
 9.38585103E+01 -6.06340605E+00
 9.42671705E+01 -5.94758879E+00
 9.46918725E+01 -5.81622792E+00
 9.51296252E+01 -5.66791210E+00
 9.55769546E+01 -5.50091421E+00
 9.60296344E+01 -5.31428388E+00
 9.64821191E+01 -5.10717352E+00
 9.69292442E+01 -4.87960345E+00
 9.73653342E+01 -4.63177597E+00
 9.77843700E+01 -4.36531403E+00
 9.81812892E+01 -4.08209773E+00
 9.85515125E+01 -3.78467829E+00
 9.88911384E+01 -3.47637965E+00
 9.91979099E+01 -3.16032806E+00
 9.94704244E+01 -2.83970378E+00
 9.97075950E+01 -2.51842086E+00
 9.99099977E+01 -2.19995898E+00
 1.00079351E+02 -1.88669650E+00
 1.00217364E+02 -1.58083776E+00
 1.00326098E+02 -1.28538740E+00
 1.00408889E+02 -1.00132139E+00
 1.00468124E+02 -7.30220132E-01
 1.00506802E+02 -4.72754708E-01
 1.00528101E+02 -2.29227473E-01
 1.00534362E+02 -9.90804088E-06
