TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.19725165E+02 -9.90804088E-06
 1.19718849E+02 2.30636883E-01
 1.19697224E+02 4.75712280E-01
 1.19658035E+02 7.34762930E-01
 1.19597992E+02 1.00751396E+00
 1.19514031E+02 1.29328664E+00
 1.19403810E+02 1.59039897E+00
 1.19263912E+02 1.89799660E+00
 1.19092264E+02 2.21290131E+00
 1.18887168E+02 2.53285186E+00
 1.18646876E+02 2.85551939E+00
 1.18370804E+02 3.17743685E+00
 1.18060020E+02 3.49459061E+00
 1.17716037E+02 3.80375369E+00
 1.17341216E+02 4.10175774E+00
 1.16939504E+02 4.38528144E+00
 1.16515443E+02 4.65182756E+00
 1.16074318E+02 4.89954067E+00
 1.15622131E+02 5.12672990E+00
 1.15164732E+02 5.33331487E+00
 1.14707343E+02 5.51934549E+00
 1.14255499E+02 5.68565717E+00
 1.13813539E+02 5.83331929E+00
 1.13384917E+02 5.96407291E+00
 1.12972644E+02 6.07938044E+00
 1.12578576E+02 6.18096727E+00
 1.12204071E+02 6.27043687E+00
 1.11849685E+02 6.34921566E+00
 1.11515567E+02 6.41867141E+00
 1.11201439E+02 6.47995012E+00
 1.10906715E+02 6.53404048E+00
 1.10630615E+02 6.58185916E+00
 1.10371904E+02 6.62424854E+00
 1.10113573E+02 6.66427451E+00
 1.09839498E+02 6.70414663E+00
 1.09549530E+02 6.74322398E+00
 1.09243214E+02 6.78078320E+00
 1.08920549E+02 6.81587449E+00
 1.08581713E+02 6.84702038E+00
 1.08227420E+02 6.87216745E+00
 1.07858804E+02 6.88871368E+00
 1.07477508E+02 6.89212441E+00
 1.07086868E+02 6.87637817E+00
 1.06690432E+02 6.83277544E+00
 1.06297377E+02 6.74206462E+00
 1.05924200E+02 6.58055873E+00
 1.05596677E+02 6.33444301E+00
 1.05340204E+02 6.00906025E+00
 1.05165724E+02 5.62598600E+00
 1.05063510E+02 5.21180011E+00
 1.05007350E+02 4.78643313E+00
 1.04978657E+02 4.35944613E+00
 1.04966870E+02 3.93676913E+00
 1.04964984E+02 3.52258324E+00
 1.04968829E+02 3.12008642E+00
 1.04975564E+02 2.73170130E+00
 1.04983413E+02 2.35916880E+00
 1.04991197E+02 2.00361882E+00
 1.04998256E+02 1.66568024E+00
 1.05004238E+02 1.34557627E+00
 1.05008994E+02 1.04315069E+00
 1.05012505E+02 7.58036931E-01
 1.05014818E+02 4.89630585E-01
 1.05016128E+02 2.37218298E-01
 1.05016527E+02 7.43103038E-06
 1.05016128E+02 -2.37203439E-01
 1.05014818E+02 -4.89615708E-01
 1.05012505E+02 -7.58019587E-01
 1.05008994E+02 -1.04313581E+00
 1.05004238E+02 -1.34556147E+00
 1.04998256E+02 -1.66566544E+00
 1.04991197E+02 -2.00360387E+00
 1.04983413E+02 -2.35915400E+00
 1.04975564E+02 -2.73168650E+00
 1.04968829E+02 -3.12007162E+00
 1.04964984E+02 -3.52256844E+00
 1.04966870E+02 -3.93675432E+00
 1.04978657E+02 -4.35943133E+00
 1.05007350E+02 -4.78641833E+00
 1.05063510E+02 -5.21178501E+00
 1.05165724E+02 -5.62597090E+00
 1.05340204E+02 -6.00905038E+00
 1.05596659E+02 -6.33443314E+00
 1.05924181E+02 -6.58055118E+00
 1.06297358E+02 -6.74205998E+00
 1.06690413E+02 -6.83277312E+00
 1.07086850E+02 -6.87637585E+00
 1.07477480E+02 -6.89212441E+00
 1.07858785E+02 -6.88871601E+00
 1.08227401E+02 -6.87216977E+00
 1.08581694E+02 -6.84702328E+00
 1.08920531E+02 -6.81587739E+00
 1.09243195E+02 -6.78078552E+00
 1.09549512E+02 -6.74322630E+00
 1.09839480E+02 -6.70414895E+00
 1.10113555E+02 -6.66427683E+00
 1.10371857E+02 -6.62425086E+00
 1.10630596E+02 -6.58186438E+00
 1.10906696E+02 -6.53404570E+00
 1.11201420E+02 -6.47995245E+00
 1.11515549E+02 -6.41867606E+00
 1.11849666E+02 -6.34922089E+00
 1.12204052E+02 -6.27044210E+00
 1.12578557E+02 -6.18097249E+00
 1.12972625E+02 -6.07938798E+00
 1.13384899E+02 -5.96407813E+00
 1.13813520E+02 -5.83332683E+00
 1.14255472E+02 -5.68566472E+00
 1.14707325E+02 -5.51935535E+00
 1.15164714E+02 -5.33332241E+00
 1.15622112E+02 -5.12673977E+00
 1.16074291E+02 -4.89955054E+00
 1.16515424E+02 -4.65183976E+00
 1.16939485E+02 -4.38529363E+00
 1.17341216E+02 -4.10177022E+00
 1.17716019E+02 -3.80376849E+00
 1.18060001E+02 -3.49460541E+00
 1.18370776E+02 -3.17745397E+00
 1.18646857E+02 -2.85553449E+00
 1.18887149E+02 -2.53286667E+00
 1.19092246E+02 -2.21291873E+00
 1.19263893E+02 -1.89801387E+00
 1.19403810E+02 -1.59041638E+00
 1.19514031E+02 -1.29330638E+00
 1.19597974E+02 -1.00753377E+00
 1.19658035E+02 -7.34780273E-01
 1.19697224E+02 -4.75732091E-01
 1.19718849E+02 -2.30654227E-01
 1.19725165E+02 -9.90804088E-06
