TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.38892059E+02 -9.90804088E-06
 1.38885631E+02 2.31902644E-01
 1.38863737E+02 4.78357697E-01
 1.38824009E+02 7.38810374E-01
 1.38763149E+02 1.01301786E+00
 1.38678063E+02 1.30028414E+00
 1.38566375E+02 1.59882579E+00
 1.38424610E+02 1.90791702E+00
 1.38250723E+02 2.22421636E+00
 1.38043035E+02 2.54539550E+00
 1.37799771E+02 2.86916288E+00
 1.37520290E+02 3.19208585E+00
 1.37205726E+02 3.51006950E+00
 1.36857600E+02 3.81983925E+00
 1.36478460E+02 4.11817306E+00
 1.36072224E+02 4.40176817E+00
 1.35643463E+02 4.66816828E+00
 1.35197629E+02 4.91555222E+00
 1.34740741E+02 5.14218645E+00
 1.34278791E+02 5.34804572E+00
 1.33816962E+02 5.53330595E+00
 1.33360910E+02 5.69874333E+00
 1.32915012E+02 5.84555088E+00
 1.32482683E+02 5.97546967E+00
 1.32067001E+02 6.09002133E+00
 1.31669831E+02 6.19093239E+00
 1.31292446E+02 6.27984235E+00
 1.30935506E+02 6.35817296E+00
 1.30599047E+02 6.42732334E+00
 1.30282801E+02 6.48840176E+00
 1.29986210E+02 6.54242013E+00
 1.29708429E+02 6.59029105E+00
 1.29448222E+02 6.63283603E+00
 1.29188461E+02 6.67314937E+00
 1.28912956E+02 6.71347257E+00
 1.28621557E+02 6.75321117E+00
 1.28313857E+02 6.79172364E+00
 1.27989845E+02 6.82817053E+00
 1.27649755E+02 6.86115675E+00
 1.27294375E+02 6.88875606E+00
 1.26924812E+02 6.90863871E+00
 1.26542634E+02 6.91631996E+00
 1.26151501E+02 6.90614700E+00
 1.25754434E+02 6.86958865E+00
 1.25361081E+02 6.78483311E+00
 1.24989567E+02 6.62397336E+00
 1.24668881E+02 6.37388204E+00
 1.24425440E+02 6.04159365E+00
 1.24270401E+02 5.65179663E+00
 1.24190211E+02 5.23335996E+00
 1.24152601E+02 4.80591491E+00
 1.24139067E+02 4.37754824E+00
 1.24139476E+02 3.95374410E+00
 1.24147362E+02 3.53836199E+00
 1.24159075E+02 3.13456213E+00
 1.24172135E+02 2.74475756E+00
 1.24185000E+02 2.37072159E+00
 1.24196769E+02 2.01362343E+00
 1.24206912E+02 1.67411693E+00
 1.24215254E+02 1.35246231E+00
 1.24221737E+02 1.04852831E+00
 1.24226456E+02 7.61960500E-01
 1.24229586E+02 4.92169508E-01
 1.24231305E+02 2.38449370E-01
 1.24231843E+02 7.43103038E-06
 1.24231305E+02 -2.38432045E-01
 1.24229586E+02 -4.92154668E-01
 1.24226456E+02 -7.61943156E-01
 1.24221737E+02 -1.04851097E+00
 1.24215254E+02 -1.35244751E+00
 1.24206912E+02 -1.67409966E+00
 1.24196769E+02 -2.01360616E+00
 1.24185000E+02 -2.37070432E+00
 1.24172135E+02 -2.74474276E+00
 1.24159075E+02 -3.13454732E+00
 1.24147362E+02 -3.53834689E+00
 1.24139476E+02 -3.95372668E+00
 1.24139067E+02 -4.37753082E+00
 1.24152601E+02 -4.80589982E+00
 1.24190192E+02 -5.23334545E+00
 1.24270401E+02 -5.65178154E+00
 1.24425422E+02 -6.04158146E+00
 1.24668881E+02 -6.37387217E+00
 1.24989548E+02 -6.62396581E+00
 1.25361063E+02 -6.78482788E+00
 1.25754406E+02 -6.86958633E+00
 1.26151483E+02 -6.90614700E+00
 1.26542615E+02 -6.91631996E+00
 1.26924784E+02 -6.90863871E+00
 1.27294357E+02 -6.88875606E+00
 1.27649736E+02 -6.86115675E+00
 1.27989827E+02 -6.82817285E+00
 1.28313838E+02 -6.79172655E+00
 1.28621539E+02 -6.75321407E+00
 1.28912937E+02 -6.71347490E+00
 1.29188433E+02 -6.67314937E+00
 1.29448185E+02 -6.63284125E+00
 1.29708410E+02 -6.59029570E+00
 1.29986192E+02 -6.54242245E+00
 1.30282783E+02 -6.48840641E+00
 1.30599029E+02 -6.42732856E+00
 1.30935487E+02 -6.35817760E+00
 1.31292427E+02 -6.27984699E+00
 1.31669803E+02 -6.19093762E+00
 1.32066982E+02 -6.09002655E+00
 1.32482665E+02 -5.97547722E+00
 1.32914993E+02 -5.84555785E+00
 1.33360892E+02 -5.69875088E+00
 1.33816944E+02 -5.53331582E+00
 1.34278773E+02 -5.34805559E+00
 1.34740723E+02 -5.14219632E+00
 1.35197601E+02 -4.91556209E+00
 1.35643444E+02 -4.66818077E+00
 1.36072205E+02 -4.40178065E+00
 1.36478441E+02 -4.11818525E+00
 1.36857582E+02 -3.81985435E+00
 1.37205707E+02 -3.51008430E+00
 1.37520272E+02 -3.19210297E+00
 1.37799753E+02 -2.86918030E+00
 1.38043017E+02 -2.54541263E+00
 1.38250723E+02 -2.22423363E+00
 1.38424610E+02 -1.90793691E+00
 1.38566375E+02 -1.59884567E+00
 1.38678045E+02 -1.30030403E+00
 1.38763149E+02 -1.01303767E+00
 1.38824009E+02 -7.38830185E-01
 1.38863737E+02 -4.78377545E-01
 1.38885631E+02 -2.31922455E-01
 1.38892059E+02 -9.90804088E-06
