TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.58044638E+02 -9.90804088E-06
 1.58038136E+02 2.33034624E-01
 1.58015936E+02 4.80725721E-01
 1.57975715E+02 7.42421825E-01
 1.57914093E+02 1.01792481E+00
 1.57827931E+02 1.30651141E+00
 1.57714849E+02 1.60630631E+00
 1.57571356E+02 1.91670291E+00
 1.57395352E+02 2.23421109E+00
 1.57185239E+02 2.55643784E+00
 1.56939198E+02 2.88111203E+00
 1.56656559E+02 3.20484487E+00
 1.56338492E+02 3.52348744E+00
 1.55986521E+02 3.83370829E+00
 1.55603396E+02 4.13223744E+00
 1.55193045E+02 4.41578321E+00
 1.54759983E+02 4.68193049E+00
 1.54309839E+02 4.92889614E+00
 1.53848679E+02 5.15492544E+00
 1.53382549E+02 5.36000446E+00
 1.52916688E+02 5.54445018E+00
 1.52456801E+02 5.70897551E+00
 1.52007307E+02 5.85487914E+00
 1.51571616E+02 5.98391666E+00
 1.51152803E+02 6.09763116E+00
 1.50752772E+02 6.19778171E+00
 1.50372759E+02 6.28601243E+00
 1.50013413E+02 6.36375842E+00
 1.49674781E+02 6.43243856E+00
 1.49356575E+02 6.49312511E+00
 1.49058219E+02 6.54685901E+00
 1.48778849E+02 6.59454648E+00
 1.48517203E+02 6.63699508E+00
 1.48256048E+02 6.67729565E+00
 1.47979159E+02 6.71771349E+00
 1.47686395E+02 6.75767733E+00
 1.47377283E+02 6.79661593E+00
 1.47051906E+02 6.83377341E+00
 1.46710487E+02 6.86781275E+00
 1.46353955E+02 6.89690756E+00
 1.45983296E+02 6.91900500E+00
 1.45600096E+02 6.92962383E+00
 1.45208351E+02 6.92356754E+00
 1.44810540E+02 6.89267709E+00
 1.44416742E+02 6.81254040E+00
 1.44046537E+02 6.65236977E+00
 1.43731675E+02 6.39925901E+00
 1.43498461E+02 6.06188268E+00
 1.43359752E+02 5.66736464E+00
 1.43297563E+02 5.24628241E+00
 1.43274862E+02 4.81787887E+00
 1.43273394E+02 4.38887795E+00
 1.43283482E+02 3.96457105E+00
 1.43299068E+02 3.54855469E+00
 1.43317005E+02 3.14400940E+00
 1.43334997E+02 2.75333547E+00
 1.43351819E+02 2.37834826E+00
 1.43366709E+02 2.02025185E+00
 1.43379286E+02 1.67972242E+00
 1.43389457E+02 1.35704981E+00
 1.43397297E+02 1.05211502E+00
 1.43402991E+02 7.64581172E-01
 1.43406716E+02 4.93868739E-01
 1.43408778E+02 2.39271736E-01
 1.43409410E+02 9.90804088E-06
 1.43408778E+02 -2.39254411E-01
 1.43406716E+02 -4.93851395E-01
 1.43402991E+02 -7.64563828E-01
 1.43397297E+02 -1.05209768E+00
 1.43389457E+02 -1.35703240E+00
 1.43379286E+02 -1.67970515E+00
 1.43366709E+02 -2.02023458E+00
 1.43351819E+02 -2.37833099E+00
 1.43335016E+02 -2.75331573E+00
 1.43317005E+02 -3.14399199E+00
 1.43299068E+02 -3.54853727E+00
 1.43283482E+02 -3.96455363E+00
 1.43273394E+02 -4.38886053E+00
 1.43274862E+02 -4.81786145E+00
 1.43297563E+02 -5.24626499E+00
 1.43359733E+02 -5.66734955E+00
 1.43498461E+02 -6.06186817E+00
 1.43731656E+02 -6.39924681E+00
 1.44046518E+02 -6.65235990E+00
 1.44416723E+02 -6.81253575E+00
 1.44810521E+02 -6.89267419E+00
 1.45208332E+02 -6.92356522E+00
 1.45600077E+02 -6.92962383E+00
 1.45983277E+02 -6.91900500E+00
 1.46353937E+02 -6.89690988E+00
 1.46710450E+02 -6.86781275E+00
 1.47051859E+02 -6.83377631E+00
 1.47377264E+02 -6.79661826E+00
 1.47686348E+02 -6.75767966E+00
 1.47979131E+02 -6.71771581E+00
 1.48256030E+02 -6.67729855E+00
 1.48517166E+02 -6.63699740E+00
 1.48778812E+02 -6.59455113E+00
 1.49058200E+02 -6.54686423E+00
 1.49356547E+02 -6.49312801E+00
 1.49674762E+02 -6.43244320E+00
 1.50013394E+02 -6.36376364E+00
 1.50372740E+02 -6.28601765E+00
 1.50752735E+02 -6.19778868E+00
 1.51152775E+02 -6.09763813E+00
 1.51571588E+02 -5.98392363E+00
 1.52007288E+02 -5.85488669E+00
 1.52456773E+02 -5.70898306E+00
 1.52916670E+02 -5.54445773E+00
 1.53382521E+02 -5.36001433E+00
 1.53848660E+02 -5.15493531E+00
 1.54309821E+02 -4.92890601E+00
 1.54759965E+02 -4.68194297E+00
 1.55193017E+02 -4.41579569E+00
 1.55603368E+02 -4.13224993E+00
 1.55986521E+02 -3.83372309E+00
 1.56338474E+02 -3.52350225E+00
 1.56656559E+02 -3.20486228E+00
 1.56939179E+02 -2.88112684E+00
 1.57185202E+02 -2.55645264E+00
 1.57395352E+02 -2.23422837E+00
 1.57571356E+02 -1.91672279E+00
 1.57714849E+02 -1.60632372E+00
 1.57827912E+02 -1.30653114E+00
 1.57914093E+02 -1.01794215E+00
 1.57975715E+02 -7.42439169E-01
 1.58015936E+02 -4.80745533E-01
 1.58038136E+02 -2.33054453E-01
 1.58044638E+02 -9.90804088E-06
