TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.76869964E+02 -9.90804088E-06
 1.76863406E+02 2.34030393E-01
 1.76840965E+02 4.82811381E-01
 1.76800280E+02 7.45602364E-01
 1.76737952E+02 1.02224474E+00
 1.76650786E+02 1.31199048E+00
 1.76536478E+02 1.61287043E+00
 1.76391369E+02 1.92440898E+00
 1.76213470E+02 2.24296491E+00
 1.76001110E+02 2.56608831E+00
 1.75752579E+02 2.89151548E+00
 1.75467134E+02 3.21590956E+00
 1.75145891E+02 3.53508479E+00
 1.74790502E+02 3.84565715E+00
 1.74403791E+02 4.14430300E+00
 1.73989771E+02 4.42774717E+00
 1.73552901E+02 4.69360215E+00
 1.73098939E+02 4.94012686E+00
 1.72633980E+02 5.16556923E+00
 1.72164153E+02 5.36989295E+00
 1.71694735E+02 5.55355087E+00
 1.71231466E+02 5.71721931E+00
 1.70778805E+02 5.86225038E+00
 1.70340114E+02 5.99044842E+00
 1.69918551E+02 6.10334551E+00
 1.69515957E+02 6.20275296E+00
 1.69133630E+02 6.29029514E+00
 1.68772185E+02 6.36743446E+00
 1.68431584E+02 6.43559674E+00
 1.68111641E+02 6.49582757E+00
 1.67811687E+02 6.54920210E+00
 1.67530868E+02 6.59660743E+00
 1.67267921E+02 6.63883774E+00
 1.67005532E+02 6.67898272E+00
 1.66727388E+02 6.71930825E+00
 1.66433361E+02 6.75927036E+00
 1.66122948E+02 6.79833726E+00
 1.65796262E+02 6.83583668E+00
 1.65453598E+02 6.87045077E+00
 1.65095980E+02 6.90044252E+00
 1.64724298E+02 6.92399598E+00
 1.64340003E+02 6.93664151E+00
 1.63947663E+02 6.93358201E+00
 1.63549044E+02 6.90710781E+00
 1.63154865E+02 6.83042944E+00
 1.62785877E+02 6.67054618E+00
 1.62476022E+02 6.41502498E+00
 1.62250973E+02 6.07376769E+00
 1.62126076E+02 5.67587782E+00
 1.62078517E+02 5.25317353E+00
 1.62067668E+02 4.82449742E+00
 1.62075768E+02 4.39530840E+00
 1.62093453E+02 3.97089004E+00
 1.62115096E+02 3.55460605E+00
 1.62137872E+02 3.14969675E+00
 1.62159738E+02 2.75854445E+00
 1.62179635E+02 2.38301748E+00
 1.62196912E+02 2.02433151E+00
 1.62211384E+02 1.68318540E+00
 1.62222976E+02 1.35989088E+00
 1.62231875E+02 1.05434179E+00
 1.62238284E+02 7.66211064E-01
 1.62242520E+02 4.94926427E-01
 1.62244824E+02 2.39784488E-01
 1.62245548E+02 9.90804088E-06
 1.62244824E+02 -2.39767145E-01
 1.62242520E+02 -4.94909084E-01
 1.62238284E+02 -7.66193720E-01
 1.62231875E+02 -1.05432452E+00
 1.62222976E+02 -1.35987114E+00
 1.62211384E+02 -1.68316798E+00
 1.62196912E+02 -2.02431178E+00
 1.62179635E+02 -2.38300006E+00
 1.62159738E+02 -2.75852732E+00
 1.62137872E+02 -3.14967672E+00
 1.62115096E+02 -3.55458863E+00
 1.62093453E+02 -3.97087262E+00
 1.62075768E+02 -4.39529098E+00
 1.62067649E+02 -4.82448000E+00
 1.62078517E+02 -5.25315611E+00
 1.62126076E+02 -5.67586040E+00
 1.62250954E+02 -6.07375259E+00
 1.62476003E+02 -6.41501279E+00
 1.62785858E+02 -6.67053631E+00
 1.63154846E+02 -6.83042480E+00
 1.63549025E+02 -6.90710548E+00
 1.63947644E+02 -6.93358201E+00
 1.64339984E+02 -6.93664151E+00
 1.64724280E+02 -6.92399889E+00
 1.65095961E+02 -6.90044484E+00
 1.65453561E+02 -6.87045077E+00
 1.65796224E+02 -6.83583958E+00
 1.66122930E+02 -6.79834016E+00
 1.66433342E+02 -6.75927268E+00
 1.66727370E+02 -6.71931348E+00
 1.67005513E+02 -6.67898272E+00
 1.67267903E+02 -6.63884007E+00
 1.67530850E+02 -6.59661208E+00
 1.67811668E+02 -6.54920501E+00
 1.68111622E+02 -6.49582989E+00
 1.68431546E+02 -6.43560139E+00
 1.68772166E+02 -6.36743910E+00
 1.69133612E+02 -6.29030036E+00
 1.69515938E+02 -6.20275760E+00
 1.69918514E+02 -6.10335306E+00
 1.70340095E+02 -5.99045307E+00
 1.70778786E+02 -5.86225560E+00
 1.71231429E+02 -5.71722686E+00
 1.71694716E+02 -5.55355841E+00
 1.72164134E+02 -5.36990282E+00
 1.72633961E+02 -5.16557678E+00
 1.73098902E+02 -4.94013673E+00
 1.73552882E+02 -4.69361463E+00
 1.73989734E+02 -4.42775965E+00
 1.74403791E+02 -4.14431519E+00
 1.74790483E+02 -3.84566963E+00
 1.75145891E+02 -3.53509959E+00
 1.75467134E+02 -3.21592436E+00
 1.75752560E+02 -2.89153028E+00
 1.76001110E+02 -2.56610573E+00
 1.76213470E+02 -2.24298218E+00
 1.76391369E+02 -1.92442625E+00
 1.76536460E+02 -1.61289032E+00
 1.76650786E+02 -1.31201037E+00
 1.76737933E+02 -1.02226456E+00
 1.76800280E+02 -7.45619636E-01
 1.76840946E+02 -4.82831192E-01
 1.76863406E+02 -2.34050204E-01
 1.76869964E+02 -9.90804088E-06
