TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.96009939E+02 -9.90804088E-06
 1.96003325E+02 2.34939460E-01
 1.95980586E+02 4.84723637E-01
 1.95939474E+02 7.48505401E-01
 1.95876496E+02 1.02619059E+00
 1.95788439E+02 1.31699409E+00
 1.95672960E+02 1.61885488E+00
 1.95526402E+02 1.93142390E+00
 1.95346701E+02 2.25093831E+00
 1.95132297E+02 2.57486447E+00
 1.94881425E+02 2.90095288E+00
 1.94593417E+02 3.22591416E+00
 1.94269257E+02 3.54555006E+00
 1.93910710E+02 3.85641734E+00
 1.93520730E+02 4.15513750E+00
 1.93103310E+02 4.43845772E+00
 1.92662984E+02 4.70400559E+00
 1.92205512E+02 4.95008677E+00
 1.91737115E+02 5.17496426E+00
 1.91263944E+02 5.37856752E+00
 1.90791331E+02 5.56146724E+00
 1.90324959E+02 5.72433046E+00
 1.89869437E+02 5.86852728E+00
 1.89428052E+02 5.99593229E+00
 1.89003982E+02 6.10804680E+00
 1.88599102E+02 6.20673843E+00
 1.88214677E+02 6.29360717E+00
 1.87851336E+02 6.37015143E+00
 1.87508952E+02 6.43778658E+00
 1.87187411E+02 6.49754193E+00
 1.86886008E+02 6.55053272E+00
 1.86603889E+02 6.59761294E+00
 1.86339772E+02 6.63956866E+00
 1.86076249E+02 6.67948780E+00
 1.85796954E+02 6.71963801E+00
 1.85501775E+02 6.75947297E+00
 1.85190173E+02 6.79851085E+00
 1.84862260E+02 6.83614437E+00
 1.84518427E+02 6.87106499E+00
 1.84159805E+02 6.90159665E+00
 1.83787157E+02 6.92615098E+00
 1.83401766E+02 6.94026007E+00
 1.83008868E+02 6.93947981E+00
 1.82609395E+02 6.91651793E+00
 1.82214993E+02 6.84235393E+00
 1.81847250E+02 6.68237603E+00
 1.81542002E+02 6.42469287E+00
 1.81323901E+02 6.08022282E+00
 1.81211246E+02 5.67979885E+00
 1.81175968E+02 5.25608150E+00
 1.81174927E+02 4.82755140E+00
 1.81190904E+02 4.39843175E+00
 1.81214832E+02 3.97413966E+00
 1.81241379E+02 3.55782606E+00
 1.81268075E+02 3.15280530E+00
 1.81293044E+02 2.76144255E+00
 1.81315430E+02 2.38564809E+00
 1.81334657E+02 2.02665008E+00
 1.81350615E+02 1.68516696E+00
 1.81363360E+02 1.36152570E+00
 1.81373113E+02 1.05562988E+00
 1.81380135E+02 7.67157287E-01
 1.81384705E+02 4.95540721E-01
 1.81387250E+02 2.40084197E-01
 1.81388031E+02 9.90804088E-06
 1.81387250E+02 -2.40064386E-01
 1.81384705E+02 -4.95523377E-01
 1.81380135E+02 -7.67137476E-01
 1.81373113E+02 -1.05561007E+00
 1.81363360E+02 -1.36150596E+00
 1.81350615E+02 -1.68514954E+00
 1.81334657E+02 -2.02663267E+00
 1.81315430E+02 -2.38563067E+00
 1.81293062E+02 -2.76142281E+00
 1.81268075E+02 -3.15278557E+00
 1.81241379E+02 -3.55780632E+00
 1.81214832E+02 -3.97411993E+00
 1.81190904E+02 -4.39841201E+00
 1.81174927E+02 -4.82753427E+00
 1.81175968E+02 -5.25606408E+00
 1.81211246E+02 -5.67978143E+00
 1.81323864E+02 -6.08020540E+00
 1.81541983E+02 -6.42468068E+00
 1.81847231E+02 -6.68236907E+00
 1.82214974E+02 -6.84234928E+00
 1.82609358E+02 -6.91651561E+00
 1.83008850E+02 -6.93947981E+00
 1.83401747E+02 -6.94026007E+00
 1.83787139E+02 -6.92615098E+00
 1.84159786E+02 -6.90159898E+00
 1.84518408E+02 -6.87106731E+00
 1.84862223E+02 -6.83614669E+00
 1.85190154E+02 -6.79851317E+00
 1.85501756E+02 -6.75947588E+00
 1.85796935E+02 -6.71964033E+00
 1.86076231E+02 -6.67948780E+00
 1.86339753E+02 -6.63957098E+00
 1.86603871E+02 -6.59761817E+00
 1.86885990E+02 -6.55053504E+00
 1.87187393E+02 -6.49754425E+00
 1.87508933E+02 -6.43779122E+00
 1.87851318E+02 -6.37015665E+00
 1.88214658E+02 -6.29361182E+00
 1.88599084E+02 -6.20674307E+00
 1.89003964E+02 -6.10805202E+00
 1.89428034E+02 -5.99593984E+00
 1.89869419E+02 -5.86853482E+00
 1.90324922E+02 -5.72433800E+00
 1.90791294E+02 -5.56147478E+00
 1.91263907E+02 -5.37857449E+00
 1.91737097E+02 -5.17497471E+00
 1.92205493E+02 -4.95009664E+00
 1.92662966E+02 -4.70401807E+00
 1.93103291E+02 -4.43846759E+00
 1.93520711E+02 -4.15514969E+00
 1.93910691E+02 -3.85642982E+00
 1.94269257E+02 -3.54556486E+00
 1.94593417E+02 -3.22592925E+00
 1.94881425E+02 -2.90097030E+00
 1.95132297E+02 -2.57488160E+00
 1.95346664E+02 -2.25095573E+00
 1.95526346E+02 -1.93144117E+00
 1.95672960E+02 -1.61887230E+00
 1.95788439E+02 -1.31701383E+00
 1.95876496E+02 -1.02621040E+00
 1.95939474E+02 -7.48525212E-01
 1.95980586E+02 -4.84743449E-01
 1.96003325E+02 -2.34959272E-01
 1.96009939E+02 -9.90804088E-06
