TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.15147610E+02 -3.24676589E-01
 2.15140903E+02 -8.89098008E-02
 2.15117960E+02 1.61778482E-01
 2.15076495E+02 4.26451951E-01
 2.15012941E+02 7.05073496E-01
 2.14923992E+02 9.96828154E-01
 2.14807473E+02 1.29956093E+00
 2.14659540E+02 1.61305374E+00
 2.14478223E+02 1.93343521E+00
 2.14261980E+02 2.25807457E+00
 2.14009046E+02 2.58474513E+00
 2.13718697E+02 2.91018710E+00
 2.13391936E+02 3.23022677E+00
 2.13030528E+02 3.54134427E+00
 2.12637612E+02 3.84011871E+00
 2.12217165E+02 4.12331034E+00
 2.11773755E+02 4.38856329E+00
 2.11313198E+02 4.63422328E+00
 2.10841737E+02 4.85858350E+00
 2.10365556E+02 5.06152494E+00
 2.09890082E+02 5.24372393E+00
 2.09420998E+02 5.40586146E+00
 2.08962968E+02 5.54929544E+00
 2.08519205E+02 5.67597941E+00
 2.08092961E+02 5.78737288E+00
 2.07686057E+02 5.88541313E+00
 2.07299755E+02 5.97165779E+00
 2.06934742E+02 6.04764762E+00
 2.06590779E+02 6.11478407E+00
 2.06267900E+02 6.17408369E+00
 2.05965197E+02 6.22670294E+00
 2.05681945E+02 6.27345631E+00
 2.05416806E+02 6.31512233E+00
 2.05152261E+02 6.35479416E+00
 2.04871981E+02 6.39473072E+00
 2.04575799E+02 6.43438281E+00
 2.04263101E+02 6.47330400E+00
 2.03934074E+02 6.51094971E+00
 2.03589200E+02 6.54600676E+00
 2.03229742E+02 6.57684321E+00
 2.02856240E+02 6.60206401E+00
 2.02469752E+02 6.61722099E+00
 2.02076353E+02 6.61816206E+00
 2.01676081E+02 6.59789277E+00
 2.01281698E+02 6.52544254E+00
 2.00915180E+02 6.36495725E+00
 2.00614261E+02 6.10525784E+00
 2.00402031E+02 5.75810217E+00
 2.00300133E+02 5.35578851E+00
 2.00274997E+02 4.93146681E+00
 2.00281983E+02 4.50334310E+00
 2.00304331E+02 4.07444377E+00
 2.00333219E+02 3.65042686E+00
 2.00363705E+02 3.23424446E+00
 2.00393504E+02 2.82929308E+00
 2.00420961E+02 2.43791058E+00
 2.00445298E+02 2.06205894E+00
 2.00466068E+02 1.70295687E+00
 2.00483196E+02 1.36134994E+00
 2.00496869E+02 1.03756754E+00
 2.00507254E+02 7.31527964E-01
 2.00514741E+02 4.42909216E-01
 2.00519608E+02 1.71149018E-01
 2.00522302E+02 -8.44511827E-02
 2.00523138E+02 -3.24656742E-01
 2.00522302E+02 -5.64864795E-01
 2.00519608E+02 -8.20462520E-01
 2.00514741E+02 -1.09222277E+00
 2.00507254E+02 -1.38084145E+00
 2.00496869E+02 -1.68688349E+00
 2.00483196E+02 -2.01066335E+00
 2.00466068E+02 -2.35227275E+00
 2.00445298E+02 -2.71137250E+00
 2.00420961E+02 -3.08722414E+00
 2.00393504E+02 -3.47860635E+00
 2.00363705E+02 -3.88355802E+00
 2.00333219E+02 -4.29974012E+00
 2.00304331E+02 -4.72375732E+00
 2.00281983E+02 -5.15265897E+00
 2.00274997E+02 -5.58078327E+00
 2.00300133E+02 -6.00510497E+00
 2.00402031E+02 -6.40742095E+00
 2.00614261E+02 -6.75457836E+00
 2.00915180E+02 -7.01428068E+00
 2.01281698E+02 -7.17477119E+00
 2.01676044E+02 -7.24722374E+00
 2.02076316E+02 -7.26749536E+00
 2.02469715E+02 -7.26655429E+00
 2.02856203E+02 -7.25139731E+00
 2.03229705E+02 -7.22617651E+00
 2.03589200E+02 -7.19534296E+00
 2.03934037E+02 -7.16028591E+00
 2.04263101E+02 -7.12264019E+00
 2.04575762E+02 -7.08372133E+00
 2.04871944E+02 -7.04406924E+00
 2.05152205E+02 -7.00412745E+00
 2.05416750E+02 -6.96445794E+00
 2.05681889E+02 -6.92279483E+00
 2.05965197E+02 -6.87603855E+00
 2.06267863E+02 -6.82341989E+00
 2.06590779E+02 -6.76412259E+00
 2.06934705E+02 -6.69698556E+00
 2.07299755E+02 -6.62099340E+00
 2.07686020E+02 -6.53475165E+00
 2.08092924E+02 -6.43671140E+00
 2.08519168E+02 -6.32531793E+00
 2.08962931E+02 -6.19863338E+00
 2.09420961E+02 -6.05520230E+00
 2.09890082E+02 -5.89306477E+00
 2.10365556E+02 -5.71086578E+00
 2.10841681E+02 -5.50792434E+00
 2.11313161E+02 -5.28356644E+00
 2.11773718E+02 -5.03790645E+00
 2.12217165E+02 -4.77265350E+00
 2.12637612E+02 -4.48946449E+00
 2.13030528E+02 -4.19068975E+00
 2.13391936E+02 -3.87957255E+00
 2.13718660E+02 -3.55953520E+00
 2.14009046E+02 -3.23409323E+00
 2.14261980E+02 -2.90742514E+00
 2.14478223E+02 -2.58278578E+00
 2.14659540E+02 -2.26240445E+00
 2.14807436E+02 -1.94891149E+00
 2.14923992E+02 -1.64617887E+00
 2.15012885E+02 -1.35442413E+00
 2.15076495E+02 -1.07580513E+00
 2.15117960E+02 -8.11131642E-01
 2.15140903E+02 -5.60443332E-01
 2.15147610E+02 -3.24676589E-01
