TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.33646305E+02 6.49323425E-01
 2.33639580E+02 8.85803555E-01
 2.33616432E+02 1.13728203E+00
 2.33574614E+02 1.40273077E+00
 2.33510540E+02 1.68216972E+00
 2.33420885E+02 1.97475421E+00
 2.33303419E+02 2.27824488E+00
 2.33154352E+02 2.59254045E+00
 2.32971605E+02 2.91368462E+00
 2.32753764E+02 3.23895068E+00
 2.32498991E+02 3.56611659E+00
 2.32206636E+02 3.89196234E+00
 2.31877609E+02 4.21234395E+00
 2.31513748E+02 4.52367916E+00
 2.31118250E+02 4.82249830E+00
 2.30695220E+02 5.10557121E+00
 2.30249117E+02 5.37055652E+00
 2.29785904E+02 5.61584264E+00
 2.29311785E+02 5.83974713E+00
 2.28833060E+02 6.04211382E+00
 2.28355189E+02 6.22369569E+00
 2.27883764E+02 6.38520681E+00
 2.27423579E+02 6.52797200E+00
 2.26977773E+02 6.65403188E+00
 2.26549653E+02 6.76479893E+00
 2.26141058E+02 6.86227141E+00
 2.25753251E+02 6.94796628E+00
 2.25386771E+02 7.02347310E+00
 2.25041544E+02 7.09016659E+00
 2.24717421E+02 7.14905983E+00
 2.24413640E+02 7.20134932E+00
 2.24129441E+02 7.24780081E+00
 2.23863428E+02 7.28918932E+00
 2.23598048E+02 7.32862545E+00
 2.23316895E+02 7.36835418E+00
 2.23019932E+02 7.40780308E+00
 2.22706324E+02 7.44656867E+00
 2.22376312E+02 7.48416214E+00
 2.22030602E+02 7.51926157E+00
 2.21670457E+02 7.55024606E+00
 2.21296212E+02 7.57588834E+00
 2.20908702E+02 7.59177855E+00
 2.20514913E+02 7.59400496E+00
 2.20113916E+02 7.57570489E+00
 2.19719774E+02 7.50428514E+00
 2.19354446E+02 7.34294760E+00
 2.19057484E+02 7.08140494E+00
 2.18850158E+02 6.73202054E+00
 2.18757419E+02 6.32831995E+00
 2.18740495E+02 5.90366850E+00
 2.18753740E+02 5.47608005E+00
 2.18781087E+02 5.04747042E+00
 2.18813857E+02 4.62379749E+00
 2.18847390E+02 4.20784818E+00
 2.18879566E+02 3.80307502E+00
 2.18908937E+02 3.41180138E+00
 2.18934779E+02 3.03603160E+00
 2.18956682E+02 2.67697408E+00
 2.18974758E+02 2.33538951E+00
 2.18989062E+02 2.01161952E+00
 2.19000005E+02 1.70557500E+00
 2.19007807E+02 1.41694885E+00
 2.19012935E+02 1.14517873E+00
 2.19015777E+02 8.89563699E-01
 2.19016613E+02 6.49343237E-01
 2.19015777E+02 4.09122810E-01
 2.19012935E+02 1.53507742E-01
 2.19007807E+02 -1.18264883E-01
 2.19000005E+02 -4.06888566E-01
 2.18989062E+02 -7.12932972E-01
 2.18974758E+02 -1.03670296E+00
 2.18956682E+02 -1.37828776E+00
 2.18934779E+02 -1.73734512E+00
 2.18908937E+02 -2.11311506E+00
 2.18879566E+02 -2.50439102E+00
 2.18847390E+02 -2.90916156E+00
 2.18813857E+02 -3.32511116E+00
 2.18781087E+02 -3.74878641E+00
 2.18753740E+02 -4.17739576E+00
 2.18740495E+02 -4.60498217E+00
 2.18757419E+02 -5.02963595E+00
 2.18850158E+02 -5.43333654E+00
 2.19057484E+02 -5.78272616E+00
 2.19354390E+02 -6.04427114E+00
 2.19719774E+02 -6.20561390E+00
 2.20113916E+02 -6.27703597E+00
 2.20514876E+02 -6.29533837E+00
 2.20908702E+02 -6.29311428E+00
 2.21296212E+02 -6.27722407E+00
 2.21670420E+02 -6.25157947E+00
 2.22030564E+02 -6.22059730E+00
 2.22376275E+02 -6.18549555E+00
 2.22706324E+02 -6.14790208E+00
 2.23019895E+02 -6.10914172E+00
 2.23316895E+02 -6.06969049E+00
 2.23598010E+02 -6.02995886E+00
 2.23863391E+02 -5.99052506E+00
 2.24129403E+02 -5.94913944E+00
 2.24413640E+02 -5.90268796E+00
 2.24717421E+02 -5.85039556E+00
 2.25041488E+02 -5.79150465E+00
 2.25386771E+02 -5.72481115E+00
 2.25753214E+02 -5.64930201E+00
 2.26141002E+02 -5.56361004E+00
 2.26549653E+02 -5.46613699E+00
 2.26977773E+02 -5.35536993E+00
 2.27423542E+02 -5.22931238E+00
 2.27883708E+02 -5.08654777E+00
 2.28355133E+02 -4.92503665E+00
 2.28833060E+02 -4.74345478E+00
 2.29311785E+02 -4.54109041E+00
 2.29785866E+02 -4.31718592E+00
 2.30249080E+02 -4.07190241E+00
 2.30695183E+02 -3.80691449E+00
 2.31118250E+02 -3.52384419E+00
 2.31513711E+02 -3.22502766E+00
 2.31877609E+02 -2.91369217E+00
 2.32206599E+02 -2.59331084E+00
 2.32498954E+02 -2.26746742E+00
 2.32753708E+02 -1.94030151E+00
 2.32971605E+02 -1.61503545E+00
 2.33154315E+02 -1.29389346E+00
 2.33303419E+02 -9.79597961E-01
 2.33420885E+02 -6.76107282E-01
 2.33510540E+02 -3.83522911E-01
 2.33574614E+02 -1.04081485E-01
 2.33616432E+02 1.61364822E-01
 2.33639580E+02 4.12843296E-01
 2.33646305E+02 6.49323425E-01
