TITLE     = ""
VARIABLES = "x"
"z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.52782471E+02 6.49323425E-01
 2.52775691E+02 8.86467413E-01
 2.52752376E+02 1.13869146E+00
 2.52710260E+02 1.40485862E+00
 2.52645648E+02 1.68506783E+00
 2.52555323E+02 1.97842749E+00
 2.52437022E+02 2.28262179E+00
 2.52286859E+02 2.59767019E+00
 2.52102774E+02 2.91953539E+00
 2.51883410E+02 3.24539333E+00
 2.51626946E+02 3.57301758E+00
 2.51332752E+02 3.89922762E+00
 2.51001625E+02 4.21992854E+00
 2.50635461E+02 4.53146955E+00
 2.50237641E+02 4.83032817E+00
 2.49812159E+02 5.11329193E+00
 2.49363640E+02 5.37802761E+00
 2.48897919E+02 5.62295669E+00
 2.48421423E+02 5.84644493E+00
 2.47940356E+02 6.04827925E+00
 2.47460256E+02 6.22928638E+00
 2.46986695E+02 6.39022044E+00
 2.46524578E+02 6.53237082E+00
 2.46076933E+02 6.65785363E+00
 2.45647159E+02 6.76804362E+00
 2.45236966E+02 6.86499128E+00
 2.44847785E+02 6.95017817E+00
 2.44480041E+02 7.02524145E+00
 2.44133607E+02 7.09151637E+00
 2.43808481E+02 7.15003051E+00
 2.43503697E+02 7.20202102E+00
 2.43218624E+02 7.24817990E+00
 2.42951869E+02 7.28929556E+00
 2.42685689E+02 7.32850412E+00
 2.42403830E+02 7.36803023E+00
 2.42106162E+02 7.40726607E+00
 2.41791755E+02 7.44584763E+00
 2.41460777E+02 7.48335460E+00
 2.41114324E+02 7.51844648E+00
 2.40753658E+02 7.54949076E+00
 2.40378819E+02 7.57540300E+00
 2.39990232E+02 7.59184764E+00
 2.39596015E+02 7.59511207E+00
 2.39194498E+02 7.57832316E+00
 2.38800746E+02 7.50744855E+00
 2.38436607E+02 7.34490928E+00
 2.38143602E+02 7.08155356E+00
 2.37940698E+02 6.73016511E+00
 2.37856356E+02 6.32536496E+00
 2.37846491E+02 5.90053760E+00
 2.37864957E+02 5.47358311E+00
 2.37896539E+02 5.04531310E+00
 2.37932523E+02 4.62203378E+00
 2.37968564E+02 4.20639158E+00
 2.38002710E+02 3.80188113E+00
 2.38033623E+02 3.41080806E+00
 2.38060653E+02 3.03522405E+00
 2.38083559E+02 2.67631545E+00
 2.38102360E+02 2.33485685E+00
 2.38117222E+02 2.01120094E+00
 2.38128554E+02 1.70526049E+00
 2.38136673E+02 1.41672592E+00
 2.38141948E+02 1.14503759E+00
 2.38144884E+02 8.89496791E-01
 2.38145794E+02 6.49343237E-01
 2.38144884E+02 4.09189682E-01
 2.38141948E+02 1.53648924E-01
 2.38136673E+02 -1.18039412E-01
 2.38128554E+02 -4.06573981E-01
 2.38117222E+02 -7.12514396E-01
 2.38102360E+02 -1.03617045E+00
 2.38083559E+02 -1.37762883E+00
 2.38060653E+02 -1.73653773E+00
 2.38033623E+02 -2.11212435E+00
 2.38002710E+02 -2.50319451E+00
 2.37968564E+02 -2.90770525E+00
 2.37932523E+02 -3.32334745E+00
 2.37896539E+02 -3.74662880E+00
 2.37864957E+02 -4.17489649E+00
 2.37846491E+02 -4.60185359E+00
 2.37856356E+02 -5.02667863E+00
 2.37940698E+02 -5.43148110E+00
 2.38143602E+02 -5.78287246E+00
 2.38436570E+02 -6.04623282E+00
 2.38800746E+02 -6.20877674E+00
 2.39194461E+02 -6.27965657E+00
 2.39595978E+02 -6.29644548E+00
 2.39990194E+02 -6.29318337E+00
 2.40378819E+02 -6.27673873E+00
 2.40753621E+02 -6.25082650E+00
 2.41114324E+02 -6.21978221E+00
 2.41460740E+02 -6.18469033E+00
 2.41791755E+02 -6.14718104E+00
 2.42106162E+02 -6.10860645E+00
 2.42403793E+02 -6.06936829E+00
 2.42685689E+02 -6.02983753E+00
 2.42951831E+02 -5.99063188E+00
 2.43218587E+02 -5.94952086E+00
 2.43503660E+02 -5.90335907E+00
 2.43808481E+02 -5.85136682E+00
 2.44133570E+02 -5.79285500E+00
 2.44480041E+02 -5.72658008E+00
 2.44847747E+02 -5.65151681E+00
 2.45236929E+02 -5.56633224E+00
 2.45647159E+02 -5.46938226E+00
 2.46076895E+02 -5.35919459E+00
 2.46524541E+02 -5.23371178E+00
 2.46986658E+02 -5.09156139E+00
 2.47460256E+02 -4.93062734E+00
 2.47940356E+02 -4.74962254E+00
 2.48421423E+02 -4.54778820E+00
 2.48897919E+02 -4.32429997E+00
 2.49363603E+02 -4.07937321E+00
 2.49812159E+02 -3.81463782E+00
 2.50237604E+02 -3.53167406E+00
 2.50635461E+02 -3.23281515E+00
 2.51001625E+02 -2.92127675E+00
 2.51332715E+02 -2.60057584E+00
 2.51626946E+02 -2.27436841E+00
 2.51883372E+02 -1.94674183E+00
 2.52102774E+02 -1.62088608E+00
 2.52286822E+02 -1.29902334E+00
 2.52436984E+02 -9.83974866E-01
 2.52555323E+02 -6.79780707E-01
 2.52645648E+02 -3.86421012E-01
 2.52710205E+02 -1.06211737E-01
 2.52752376E+02 1.59955394E-01
 2.52775691E+02 4.12179438E-01
 2.52782471E+02 6.49323425E-01
