TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -3.55731010E+01 6.26621246E-01
 -3.56093025E+01 9.09781456E-01
 -3.56642342E+01 1.20910168E+00
 -3.57410622E+01 1.52453899E+00
 -3.58428001E+01 1.85565948E+00
 -3.59724998E+01 2.20141888E+00
 -3.61331749E+01 2.56062031E+00
 -3.63273621E+01 2.93126106E+00
 -3.65574074E+01 3.31133842E+00
 -3.68248940E+01 3.69805813E+00
 -3.71304321E+01 4.08825874E+00
 -3.74745369E+01 4.47882176E+00
 -3.78551483E+01 4.86556053E+00
 -3.82710838E+01 5.24519920E+00
 -3.87179756E+01 5.61344147E+00
 -3.91922379E+01 5.96687794E+00
 -3.96880531E+01 6.30204201E+00
 -4.01998997E+01 6.61610126E+00
 -4.07213020E+01 6.90688133E+00
 -4.12460232E+01 7.17298031E+00
 -4.17684841E+01 7.41365910E+00
 -4.22825622E+01 7.62897968E+00
 -4.27842426E+01 7.81983852E+00
 -4.32695580E+01 7.98738003E+00
 -4.37353420E+01 8.13327789E+00
 -4.41797638E+01 8.25955868E+00
 -4.46016026E+01 8.36818218E+00
 -4.50002575E+01 8.46114159E+00
 -4.53755570E+01 8.54037762E+00
 -4.57279396E+01 8.60770226E+00
 -4.60582447E+01 8.66474152E+00
 -4.63676166E+01 8.71290207E+00
 -4.66572762E+01 8.75343800E+00
 -4.69458962E+01 8.78945828E+00
 -4.72517014E+01 8.82277966E+00
 -4.75750828E+01 8.85233879E+00
 -4.79162598E+01 8.87663841E+00
 -4.82750034E+01 8.89348030E+00
 -4.86505222E+01 8.89959812E+00
 -4.90416432E+01 8.89019966E+00
 -4.94466782E+01 8.85767937E+00
 -4.98614025E+01 8.78987789E+00
 -5.02758789E+01 8.67097855E+00
 -5.06741428E+01 8.48733902E+00
 -5.10400963E+01 8.23093891E+00
 -5.13566589E+01 7.89958000E+00
 -5.16040420E+01 7.50132084E+00
 -5.17733002E+01 7.04889774E+00
 -5.18640423E+01 6.56246185E+00
 -5.18930435E+01 6.06053829E+00
 -5.18823433E+01 5.55603981E+00
 -5.18528366E+01 5.05395889E+00
 -5.18195248E+01 4.55813885E+00
 -5.17920590E+01 4.07241821E+00
 -5.17748356E+01 3.60005856E+00
 -5.17680836E+01 3.14362049E+00
 -5.17695999E+01 2.70522118E+00
 -5.17762184E+01 2.28640079E+00
 -5.17848396E+01 1.88804150E+00
 -5.17930603E+01 1.51045799E+00
 -5.17992782E+01 1.15352154E+00
 -5.18026447E+01 8.16879272E-01
 -5.18028832E+01 4.99858856E-01
 -5.18000984E+01 2.01759338E-01
 -5.17946243E+01 -7.83586502E-02
 -5.17862988E+01 -3.58338356E-01
 -5.17743588E+01 -6.56061172E-01
 -5.17584038E+01 -9.72318649E-01
 -5.17381764E+01 -1.30787849E+00
 -5.17138004E+01 -1.66326046E+00
 -5.16858196E+01 -2.03889847E+00
 -5.16553020E+01 -2.43485928E+00
 -5.16239166E+01 -2.85091877E+00
 -5.15934754E+01 -3.28629971E+00
 -5.15654564E+01 -3.73971939E+00
 -5.15397167E+01 -4.20919895E+00
 -5.15133572E+01 -4.69195843E+00
 -5.14794159E+01 -5.18417835E+00
 -5.14262390E+01 -5.68054199E+00
 -5.13378430E+01 -6.17378235E+00
 -5.11965180E+01 -6.65153980E+00
 -5.09889793E+01 -7.09685802E+00
 -5.07121372E+01 -7.49132156E+00
 -5.03730011E+01 -7.82197952E+00
 -4.99876404E+01 -8.08110237E+00
 -4.95709992E+01 -8.26998234E+00
 -4.91394043E+01 -8.39551926E+00
 -4.87065411E+01 -8.46973896E+00
 -4.82815361E+01 -8.50637913E+00
 -4.78697395E+01 -8.51667881E+00
 -4.74737644E+01 -8.50843906E+00
 -4.70951176E+01 -8.48696232E+00
 -4.67346764E+01 -8.45593929E+00
 -4.63928223E+01 -8.41800213E+00
 -4.60694599E+01 -8.37500095E+00
 -4.57643223E+01 -8.32833767E+00
 -4.54769039E+01 -8.27916145E+00
 -4.51890373E+01 -8.22484016E+00
 -4.48822594E+01 -8.16137791E+00
 -4.45554829E+01 -8.08735848E+00
 -4.42077446E+01 -8.00121784E+00
 -4.38384819E+01 -7.90128231E+00
 -4.34474373E+01 -7.78567791E+00
 -4.30349159E+01 -7.65245914E+00
 -4.26019764E+01 -7.49969959E+00
 -4.21499443E+01 -7.32550144E+00
 -4.16808987E+01 -7.12803841E+00
 -4.11983395E+01 -6.90577984E+00
 -4.07063198E+01 -6.65780068E+00
 -4.02092362E+01 -6.38350010E+00
 -3.97132874E+01 -6.08302116E+00
 -3.92242050E+01 -5.75732231E+00
 -3.87484169E+01 -5.40798187E+00
 -3.82925606E+01 -5.03747940E+00
 -3.78621292E+01 -4.64876175E+00
 -3.74630928E+01 -4.24571991E+00
 -3.70989609E+01 -3.83190155E+00
 -3.67737579E+01 -3.41201782E+00
 -3.64890289E+01 -2.99004078E+00
 -3.62454033E+01 -2.57009983E+00
 -3.60428429E+01 -2.15643883E+00
 -3.58793068E+01 -1.75218105E+00
 -3.57527161E+01 -1.36067867E+00
 -3.56597519E+01 -9.84201431E-01
 -3.55970192E+01 -6.24661446E-01
 -3.55606461E+01 -2.83341408E-01
 -3.55469513E+01 3.90386581E-02
 -3.55522156E+01 3.42302322E-01
 -3.55731010E+01 6.26621246E-01
