TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -1.29361916E+01 7.13238716E-01
 -1.29746056E+01 9.97118950E-01
 -1.30312347E+01 1.29717827E+00
 -1.31092262E+01 1.61342144E+00
 -1.32114983E+01 1.94541931E+00
 -1.33412361E+01 2.29216099E+00
 -1.35014915E+01 2.65240192E+00
 -1.36950684E+01 3.02415848E+00
 -1.39242744E+01 3.40519905E+00
 -1.41911507E+01 3.79268169E+00
 -1.44962883E+01 4.18310166E+00
 -1.48404312E+01 4.57332134E+00
 -1.52215767E+01 4.95883942E+00
 -1.56385612E+01 5.33638000E+00
 -1.60870361E+01 5.70158005E+00
 -1.65631676E+01 6.05102062E+00
 -1.70610619E+01 6.38152122E+00
 -1.75750732E+01 6.69032097E+00
 -1.80985641E+01 6.97552204E+00
 -1.86252022E+01 7.23589897E+00
 -1.91493034E+01 7.47089863E+00
 -1.96647453E+01 7.68080234E+00
 -2.01675415E+01 7.86650181E+00
 -2.06536674E+01 8.02917957E+00
 -2.11199570E+01 8.17063808E+00
 -2.15646935E+01 8.29281807E+00
 -2.19866943E+01 8.39767933E+00
 -2.23853493E+01 8.48715782E+00
 -2.27605057E+01 8.56319904E+00
 -2.31126404E+01 8.62758160E+00
 -2.34426117E+01 8.68185997E+00
 -2.37516403E+01 8.72745991E+00
 -2.40409279E+01 8.76555920E+00
 -2.43291473E+01 8.79909992E+00
 -2.46344185E+01 8.82974148E+00
 -2.49571800E+01 8.85633946E+00
 -2.52976418E+01 8.87730122E+00
 -2.56555557E+01 8.89028072E+00
 -2.60300446E+01 8.89175892E+00
 -2.64197159E+01 8.87678146E+00
 -2.68229485E+01 8.83739948E+00
 -2.72349548E+01 8.76068115E+00
 -2.76449585E+01 8.63081932E+00
 -2.80365944E+01 8.43587875E+00
 -2.83945084E+01 8.16880226E+00
 -2.87004280E+01 7.82755852E+00
 -2.89353561E+01 7.42137909E+00
 -2.90926552E+01 6.96368218E+00
 -2.91720963E+01 6.47434235E+00
 -2.91925812E+01 5.97117901E+00
 -2.91755867E+01 5.46607971E+00
 -2.91413116E+01 4.96356010E+00
 -2.91040802E+01 4.46737766E+00
 -2.90732574E+01 3.98141861E+00
 -2.90529442E+01 3.50877762E+00
 -2.90433121E+01 3.05202007E+00
 -2.90421867E+01 2.61333942E+00
 -2.90463829E+01 2.19428062E+00
 -2.90527725E+01 1.79570198E+00
 -2.90589523E+01 1.41791821E+00
 -2.90633202E+01 1.06085777E+00
 -2.90649796E+01 7.24101066E-01
 -2.90636826E+01 4.07037735E-01
 -2.90595055E+01 1.08900070E-01
 -2.90527916E+01 -1.71217918E-01
 -2.90433693E+01 -4.51178551E-01
 -2.90303993E+01 -7.48858452E-01
 -2.90135574E+01 -1.06507778E+00
 -2.89927483E+01 -1.40056133E+00
 -2.89681816E+01 -1.75588131E+00
 -2.89405632E+01 -2.13143826E+00
 -2.89111710E+01 -2.52734184E+00
 -2.88817215E+01 -2.94332027E+00
 -2.88539124E+01 -3.37863922E+00
 -2.88288689E+01 -3.83192062E+00
 -2.88058281E+01 -4.30119991E+00
 -2.87810516E+01 -4.78365898E+00
 -2.87466812E+01 -5.27540207E+00
 -2.86903572E+01 -5.77084064E+00
 -2.85959816E+01 -6.26235962E+00
 -2.84458160E+01 -6.73686028E+00
 -2.82287216E+01 -7.17691898E+00
 -2.79426384E+01 -7.56445885E+00
 -2.75958824E+01 -7.88725853E+00
 -2.72049713E+01 -8.13848019E+00
 -2.67843246E+01 -8.32014084E+00
 -2.63504601E+01 -8.43954086E+00
 -2.59161377E+01 -8.50914002E+00
 -2.54903221E+01 -8.54248047E+00
 -2.50781059E+01 -8.55028152E+00
 -2.46817970E+01 -8.53990078E+00
 -2.43029594E+01 -8.51652145E+00
 -2.39425087E+01 -8.48378182E+00
 -2.36007118E+01 -8.44419956E+00
 -2.32774734E+01 -8.39962006E+00
 -2.29724884E+01 -8.35147858E+00
 -2.26852798E+01 -8.30088138E+00
 -2.23977089E+01 -8.24512005E+00
 -2.20912743E+01 -8.18012238E+00
 -2.17649269E+01 -8.10445786E+00
 -2.14177132E+01 -8.01658154E+00
 -2.10490990E+01 -7.91481972E+00
 -2.06588364E+01 -7.79734135E+00
 -2.02472305E+01 -7.66211986E+00
 -1.98154068E+01 -7.50730038E+00
 -1.93646431E+01 -7.33098030E+00
 -1.88971329E+01 -7.13129997E+00
 -1.84164238E+01 -6.90666199E+00
 -1.79266167E+01 -6.65612221E+00
 -1.74321747E+01 -6.37894154E+00
 -1.69395256E+01 -6.07511997E+00
 -1.64544487E+01 -5.74555874E+00
 -1.59835815E+01 -5.39164066E+00
 -1.55336952E+01 -5.01587868E+00
 -1.51103020E+01 -4.62113857E+00
 -1.47196007E+01 -4.21152115E+00
 -1.43648338E+01 -3.79067898E+00
 -1.40499115E+01 -3.36366177E+00
 -1.37761688E+01 -2.93479919E+00
 -1.35437202E+01 -2.50840187E+00
 -1.33522224E+01 -2.08903790E+00
 -1.31991959E+01 -1.67992115E+00
 -1.30822754E+01 -1.28446102E+00
 -1.29978561E+01 -9.04879570E-01
 -1.29424667E+01 -5.42979240E-01
 -1.29121399E+01 -1.99899673E-01
 -1.29033661E+01 1.23820305E-01
 -1.29124069E+01 4.28099632E-01
 -1.29361916E+01 7.13238716E-01
