TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.85340881E+00 8.44640732E-01
 6.82680130E+00 1.14225864E+00
 6.78783417E+00 1.45803928E+00
 6.73416138E+00 1.79252148E+00
 6.66343689E+00 2.14600086E+00
 6.57291412E+00 2.51821995E+00
 6.45975113E+00 2.90867805E+00
 6.32089615E+00 3.31602097E+00
 6.15337372E+00 3.73839855E+00
 5.95409393E+00 4.17317867E+00
 5.72093964E+00 4.61644173E+00
 5.45129776E+00 5.06422043E+00
 5.14486313E+00 5.51064014E+00
 4.80085373E+00 5.95036030E+00
 4.42123413E+00 6.37685776E+00
 4.00836944E+00 6.78425789E+00
 3.56678009E+00 7.16691971E+00
 3.10157776E+00 7.52031803E+00
 2.61949539E+00 7.84113884E+00
 2.12720871E+00 8.12756062E+00
 1.63141251E+00 8.37915897E+00
 1.13906860E+00 8.59685898E+00
 6.55212402E-01 8.78260136E+00
 1.84898376E-01 8.93889904E+00
 -2.68135071E-01 9.06881809E+00
 -7.01503754E-01 9.17548180E+00
 -1.11345291E+00 9.26194191E+00
 -1.50314331E+00 9.33105946E+00
 -1.87017441E+00 9.38551903E+00
 -2.21488953E+00 9.42763805E+00
 -2.53793716E+00 9.45941925E+00
 -2.84040451E+00 9.48257923E+00
 -3.12351227E+00 9.49850082E+00
 -3.40547562E+00 9.50878143E+00
 -3.70397568E+00 9.51342106E+00
 -4.01935577E+00 9.51086044E+00
 -4.35163498E+00 9.49892044E+00
 -4.70037460E+00 9.47437763E+00
 -5.06412506E+00 9.43264008E+00
 -5.44059754E+00 9.36756134E+00
 -5.82672119E+00 9.27045822E+00
 -6.21526718E+00 9.12916184E+00
 -6.59296036E+00 8.93115997E+00
 -6.94276810E+00 8.66993904E+00
 -7.25025177E+00 8.34308148E+00
 -7.49963760E+00 7.95293808E+00
 -7.67915726E+00 7.51148224E+00
 -7.79001236E+00 7.03137875E+00
 -7.83849716E+00 6.52862072E+00
 -7.84660339E+00 6.01615906E+00
 -7.83243179E+00 5.50231934E+00
 -7.81148910E+00 4.99082088E+00
 -7.79327392E+00 4.48587894E+00
 -7.78308868E+00 3.99171829E+00
 -7.78184891E+00 3.51161957E+00
 -7.78789520E+00 3.04813862E+00
 -7.79859543E+00 2.60332108E+00
 -7.81108856E+00 2.17852116E+00
 -7.82291412E+00 1.77452087E+00
 -7.83239365E+00 1.39160156E+00
 -7.83853531E+00 1.02965832E+00
 -7.84090042E+00 6.88319206E-01
 -7.83950806E+00 3.66959572E-01
 -7.83470154E+00 6.47783280E-02
 -7.82693863E+00 -2.19078064E-01
 -7.81606674E+00 -5.02758026E-01
 -7.80115128E+00 -8.04362297E-01
 -7.78179169E+00 -1.12465858E+00
 -7.75775910E+00 -1.46438122E+00
 -7.72905350E+00 -1.82412148E+00
 -7.69611359E+00 -2.20421791E+00
 -7.65977860E+00 -2.60478020E+00
 -7.62128830E+00 -3.02554131E+00
 -7.58199692E+00 -3.46578121E+00
 -7.54316330E+00 -3.92416000E+00
 -7.50501633E+00 -4.39877987E+00
 -7.46589661E+00 -4.88691807E+00
 -7.42101669E+00 -5.38474083E+00
 -7.36188888E+00 -5.88707924E+00
 -7.27628708E+00 -6.38768196E+00
 -7.14817047E+00 -6.87623978E+00
 -6.96498871E+00 -7.33873844E+00
 -6.71985626E+00 -7.75956154E+00
 -6.41525268E+00 -8.12674046E+00
 -6.06281280E+00 -8.43083858E+00
 -5.67426682E+00 -8.67043972E+00
 -5.26561737E+00 -8.84841919E+00
 -4.85031128E+00 -8.97356033E+00
 -4.43904877E+00 -9.05672073E+00
 -4.03846741E+00 -9.10789966E+00
 -3.65194321E+00 -9.13504124E+00
 -3.28172684E+00 -9.14408207E+00
 -2.92911530E+00 -9.13936138E+00
 -2.59462357E+00 -9.12405968E+00
 -2.27825165E+00 -9.10049915E+00
 -1.97980881E+00 -9.07048226E+00
 -1.69885635E+00 -9.03543949E+00
 -1.41767502E+00 -8.99382114E+00
 -1.11829758E+00 -8.94217968E+00
 -7.99789429E-01 -8.87872219E+00
 -4.61483002E-01 -8.80134106E+00
 -1.03187561E-01 -8.70769978E+00
 2.74963379E-01 -8.59518051E+00
 6.72187805E-01 -8.46087932E+00
 1.08669281E+00 -8.30187798E+00
 1.51639938E+00 -8.11515808E+00
 1.95819855E+00 -7.89780140E+00
 2.40753174E+00 -7.64733791E+00
 2.85934448E+00 -7.36211777E+00
 3.30808640E+00 -7.04127788E+00
 3.74689102E+00 -6.68529987E+00
 4.16969299E+00 -6.29615784E+00
 4.57040787E+00 -5.87694168E+00
 4.94318008E+00 -5.43262005E+00
 5.28448105E+00 -4.96836186E+00
 5.59051514E+00 -4.49086189E+00
 5.86040497E+00 -4.00616169E+00
 6.09329224E+00 -3.52076054E+00
 6.29030228E+00 -3.04016113E+00
 6.45338058E+00 -2.56917953E+00
 6.58462524E+00 -2.11207867E+00
 6.68729782E+00 -1.67156219E+00
 6.76431656E+00 -1.25008106E+00
 6.81892395E+00 -8.48817825E-01
 6.85405731E+00 -4.68540192E-01
 6.87271118E+00 -1.09481812E-01
 6.87728882E+00 2.28681564E-01
 6.87019348E+00 5.46460152E-01
 6.85340881E+00 8.44640732E-01
