TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.77100754E+01 1.10429764E+00
 1.76932526E+01 1.41707897E+00
 1.76681328E+01 1.74950123E+00
 1.76330566E+01 2.10234165E+00
 1.75864220E+01 2.47632027E+00
 1.75262451E+01 2.87166119E+00
 1.74504662E+01 3.28849792E+00
 1.73568726E+01 3.72615814E+00
 1.72431946E+01 4.18365955E+00
 1.71069336E+01 4.65911865E+00
 1.69461823E+01 5.14977932E+00
 1.67584991E+01 5.65226078E+00
 1.65428543E+01 6.16176128E+00
 1.62977600E+01 6.67322159E+00
 1.60233307E+01 7.18038082E+00
 1.57200241E+01 7.67667770E+00
 1.53894806E+01 8.15549850E+00
 1.50343132E+01 8.61010075E+00
 1.46581078E+01 9.03481960E+00
 1.42651749E+01 9.42460060E+00
 1.38605118E+01 9.77595806E+00
 1.34496117E+01 1.00867414E+01
 1.30375671E+01 1.03563976E+01
 1.26294708E+01 1.05858183E+01
 1.22298813E+01 1.07768202E+01
 1.18423462E+01 1.09321213E+01
 1.14696312E+01 1.10550404E+01
 1.11137772E+01 1.11489582E+01
 1.07761574E+01 1.12171984E+01
 1.04573631E+01 1.12629223E+01
 1.01575279E+01 1.12890816E+01
 9.87632752E+00 1.12983179E+01
 9.61320877E+00 1.12929392E+01
 9.35178757E+00 1.12732792E+01
 9.07640457E+00 1.12358379E+01
 8.78797531E+00 1.11763382E+01
 8.48827362E+00 1.10900402E+01
 8.18027496E+00 1.09716177E+01
 7.86853790E+00 1.08155012E+01
 7.55855560E+00 1.06164980E+01
 7.25629806E+00 1.03710604E+01
 6.96849823E+00 1.00776196E+01
 6.70223236E+00 9.73711968E+00
 6.46234512E+00 9.35525894E+00
 6.24620438E+00 8.93754006E+00
 6.04995728E+00 8.48780155E+00
 5.87013245E+00 8.01263809E+00
 5.70047378E+00 7.51565933E+00
 5.54185867E+00 7.00113773E+00
 5.39167404E+00 6.47717953E+00
 5.25226593E+00 5.94882012E+00
 5.12409210E+00 5.42037964E+00
 5.00854492E+00 4.89665985E+00
 4.90663528E+00 4.38216210E+00
 4.81897354E+00 3.88048172E+00
 4.74548340E+00 3.39449883E+00
 4.68563080E+00 2.92672157E+00
 4.63861466E+00 2.47886181E+00
 4.60342407E+00 2.05214024E+00
 4.57883835E+00 1.64715767E+00
 4.56365585E+00 1.26411915E+00
 4.55667496E+00 9.02738571E-01
 4.55671310E+00 5.62520027E-01
 4.56260681E+00 2.42657661E-01
 4.57334518E+00 -5.77211380E-02
 4.58909988E+00 -3.57780457E-01
 4.61137772E+00 -6.76560402E-01
 4.64130402E+00 -1.01480007E+00
 4.68002319E+00 -1.37308121E+00
 4.72877502E+00 -1.75176144E+00
 4.78878021E+00 -2.15089798E+00
 4.86127853E+00 -2.57013798E+00
 4.94733810E+00 -3.00871849E+00
 5.04785538E+00 -3.46529961E+00
 5.16338348E+00 -3.93802166E+00
 5.29407501E+00 -4.42446232E+00
 5.43947220E+00 -4.92162228E+00
 5.59877396E+00 -5.42583942E+00
 5.77083588E+00 -5.93259812E+00
 5.95443726E+00 -6.43780232E+00
 6.14919662E+00 -6.93538189E+00
 6.35457992E+00 -7.41995812E+00
 6.57310486E+00 -7.88437843E+00
 6.80845261E+00 -8.32427978E+00
 7.06487656E+00 -8.73219967E+00
 7.34643936E+00 -9.10150051E+00
 7.65335083E+00 -9.42520142E+00
 7.98059464E+00 -9.69818115E+00
 8.32151413E+00 -9.91884232E+00
 8.66800308E+00 -1.00887585E+01
 9.01311874E+00 -1.02124214E+01
 9.35102463E+00 -1.02957582E+01
 9.67723846E+00 -1.03450584E+01
 9.98893738E+00 -1.03664017E+01
 1.02845383E+01 -1.03653193E+01
 1.05632782E+01 -1.03465796E+01
 1.08249664E+01 -1.03142214E+01
 1.10857964E+01 -1.02682781E+01
 1.13619614E+01 -1.02050781E+01
 1.16536713E+01 -1.01220608E+01
 1.19608116E+01 -1.00164223E+01
 1.22827721E+01 -9.88513946E+00
 1.26183510E+01 -9.72529888E+00
 1.29658127E+01 -9.53400135E+00
 1.33227348E+01 -9.30836201E+00
 1.36861420E+01 -9.04602051E+00
 1.40525246E+01 -8.74544144E+00
 1.44179535E+01 -8.40586186E+00
 1.47777176E+01 -8.02792072E+00
 1.51280022E+01 -7.61310100E+00
 1.54640961E+01 -7.16444016E+00
 1.57820511E+01 -6.68645859E+00
 1.60787201E+01 -6.18383884E+00
 1.63509941E+01 -5.66286087E+00
 1.65972328E+01 -5.12976170E+00
 1.68158913E+01 -4.59115982E+00
 1.70071983E+01 -4.05303955E+00
 1.71712685E+01 -3.52109909E+00
 1.73094177E+01 -3.00024033E+00
 1.74234962E+01 -2.49450207E+00
 1.75151825E+01 -2.00707912E+00
 1.75870323E+01 -1.54007912E+00
 1.76411819E+01 -1.09509945E+00
 1.76798820E+01 -6.72798157E-01
 1.77052116E+01 -2.73418427E-01
 1.77193260E+01 1.03278160E-01
 1.77237320E+01 4.57878113E-01
 1.77202415E+01 7.91239738E-01
 1.77100754E+01 1.10429764E+00
