TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.29449844E+01 1.89050198E+00
 2.29299736E+01 2.21858025E+00
 2.29074287E+01 2.56730080E+00
 2.28757477E+01 2.93745995E+00
 2.28335381E+01 3.32990170E+00
 2.27791595E+01 3.74489784E+00
 2.27108765E+01 4.18275833E+00
 2.26269341E+01 4.64285850E+00
 2.25255966E+01 5.12450218E+00
 2.24051094E+01 5.62590122E+00
 2.22642326E+01 6.14481926E+00
 2.21015549E+01 6.67801857E+00
 2.19167328E+01 7.22144127E+00
 2.17091751E+01 7.77026176E+00
 2.14793777E+01 8.31908226E+00
 2.12279510E+01 8.86149883E+00
 2.09561348E+01 9.39146042E+00
 2.06654549E+01 9.90218162E+00
 2.03578377E+01 1.03877020E+01
 2.00355148E+01 1.08421183E+01
 1.97009277E+01 1.12606382E+01
 1.93569756E+01 1.16391993E+01
 1.90064240E+01 1.19749403E+01
 1.86523819E+01 1.22660398E+01
 1.82982826E+01 1.25115824E+01
 1.79471588E+01 1.27118206E+01
 1.76023483E+01 1.28679419E+01
 1.72670937E+01 1.29820013E+01
 1.69444275E+01 1.30570793E+01
 1.66369247E+01 1.30970383E+01
 1.63466454E+01 1.31062794E+01
 1.60748291E+01 1.30894995E+01
 1.58220863E+01 1.30513811E+01
 1.55735397E+01 1.29920197E+01
 1.53152275E+01 1.29062605E+01
 1.50489044E+01 1.27905607E+01
 1.47765732E+01 1.26418400E+01
 1.45007706E+01 1.24579191E+01
 1.42241287E+01 1.22374201E+01
 1.39484215E+01 1.19787979E+01
 1.36750603E+01 1.16816998E+01
 1.34050560E+01 1.13472223E+01
 1.31398010E+01 1.09767008E+01
 1.28817368E+01 1.05729389E+01
 1.26304817E+01 1.01384401E+01
 1.23859787E+01 9.67358112E+00
 1.21505928E+01 9.18193817E+00
 1.19233322E+01 8.66732120E+00
 1.17074585E+01 8.13089848E+00
 1.15041161E+01 7.58334160E+00
 1.13158989E+01 7.02775955E+00
 1.11440468E+01 6.47027969E+00
 1.09899139E+01 5.91599941E+00
 1.08545876E+01 5.36995888E+00
 1.07383347E+01 4.83640194E+00
 1.06409645E+01 4.31868076E+00
 1.05617142E+01 3.81964207E+00
 1.04994392E+01 3.34136009E+00
 1.04526138E+01 2.88531780E+00
 1.04195976E+01 2.45230198E+00
 1.03986740E+01 2.04257965E+00
 1.03881836E+01 1.65599823E+00
 1.03865433E+01 1.29201889E+00
 1.03922272E+01 9.49878693E-01
 1.04039383E+01 6.28600120E-01
 1.04217911E+01 3.07722092E-01
 1.04475021E+01 -3.31401825E-02
 1.04824638E+01 -3.94701958E-01
 1.05281067E+01 -7.77540207E-01
 1.05859184E+01 -1.18196011E+00
 1.06574440E+01 -1.60798073E+00
 1.07441139E+01 -2.05510139E+00
 1.08472824E+01 -2.52237797E+00
 1.09679413E+01 -3.00824165E+00
 1.11067581E+01 -3.51061821E+00
 1.12640381E+01 -4.02664184E+00
 1.14394951E+01 -4.55284119E+00
 1.16324615E+01 -5.08512020E+00
 1.18418121E+01 -5.61810017E+00
 1.20663261E+01 -6.14719868E+00
 1.23045349E+01 -6.66555882E+00
 1.25546455E+01 -7.16914177E+00
 1.28151512E+01 -7.64976025E+00
 1.30856705E+01 -8.10542107E+00
 1.33654404E+01 -8.53208065E+00
 1.36537743E+01 -8.92595768E+00
 1.39509392E+01 -9.28475857E+00
 1.42542839E+01 -9.60388184E+00
 1.45647812E+01 -9.88070011E+00
 1.48786926E+01 -1.01128006E+01
 1.51942444E+01 -1.03000402E+01
 1.55082893E+01 -1.04431391E+01
 1.58161545E+01 -1.05438995E+01
 1.61143112E+01 -1.06063223E+01
 1.63998222E+01 -1.06352377E+01
 1.66702461E+01 -1.06357002E+01
 1.69239998E+01 -1.06127024E+01
 1.71756935E+01 -1.05676603E+01
 1.74398422E+01 -1.04964209E+01
 1.77153969E+01 -1.03956604E+01
 1.80007553E+01 -1.02626181E+01
 1.82938957E+01 -1.00952196E+01
 1.85936546E+01 -9.89126206E+00
 1.88982964E+01 -9.64881897E+00
 1.92045784E+01 -9.36751842E+00
 1.95123291E+01 -9.04603958E+00
 1.98182487E+01 -8.68534088E+00
 2.01207733E+01 -8.28559876E+00
 2.04169083E+01 -7.84937858E+00
 2.07052040E+01 -7.37860203E+00
 2.09824944E+01 -6.87751770E+00
 2.12465858E+01 -6.35094166E+00
 2.14954376E+01 -5.80346108E+00
 2.17266273E+01 -5.24127960E+00
 2.19384193E+01 -4.67060089E+00
 2.21291351E+01 -4.09731865E+00
 2.22982979E+01 -3.52732182E+00
 2.24452400E+01 -2.96566010E+00
 2.25704193E+01 -2.41695881E+00
 2.26748848E+01 -1.88518047E+00
 2.27596283E+01 -1.37316227E+00
 2.28265572E+01 -8.82978439E-01
 2.28773689E+01 -4.16121483E-01
 2.29139709E+01 2.68220901E-02
 2.29381943E+01 4.45680618E-01
 2.29519463E+01 8.40678215E-01
 2.29566002E+01 1.21255875E+00
 2.29538727E+01 1.56216145E+00
 2.29449844E+01 1.89050198E+00
