TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.50341225E+01 4.26186085E+00
 2.50200462E+01 4.60559845E+00
 2.49984550E+01 4.97097969E+00
 2.49678802E+01 5.35875797E+00
 2.49269676E+01 5.76988220E+00
 2.48741531E+01 6.20461941E+00
 2.48079109E+01 6.66334152E+00
 2.47266197E+01 7.14540005E+00
 2.46288490E+01 7.65019894E+00
 2.45131493E+01 8.17585945E+00
 2.43786049E+01 8.72039795E+00
 2.42242050E+01 9.28021908E+00
 2.40496445E+01 9.85169888E+00
 2.38546944E+01 1.04295015E+01
 2.36397743E+01 1.10084200E+01
 2.34053040E+01 1.15817404E+01
 2.31523514E+01 1.21431589E+01
 2.28820038E+01 1.26857185E+01
 2.25958824E+01 1.32032013E+01
 2.22957802E+01 1.36894798E+01
 2.19836617E+01 1.41396189E+01
 2.16617966E+01 1.45491982E+01
 2.13322830E+01 1.49150419E+01
 2.09974289E+01 1.52347612E+01
 2.06594467E+01 1.55062819E+01
 2.03206825E+01 1.57283592E+01
 1.99840927E+01 1.59008408E+01
 1.96535492E+01 1.60247803E+01
 1.93331528E+01 1.61034012E+01
 1.90267944E+01 1.61412621E+01
 1.87373924E+01 1.61438799E+01
 1.84668541E+01 1.61173010E+01
 1.82160950E+01 1.60671377E+01
 1.79704666E+01 1.59938192E+01
 1.77162552E+01 1.58919382E+01
 1.74551582E+01 1.57585382E+01
 1.71886063E+01 1.55909586E+01
 1.69185638E+01 1.53878212E+01
 1.66465378E+01 1.51483822E+01
 1.63735199E+01 1.48716593E+01
 1.61003876E+01 1.45565224E+01
 1.58284760E+01 1.42032623E+01
 1.55594635E+01 1.38130999E+01
 1.52959251E+01 1.33870602E+01
 1.50388145E+01 1.29276180E+01
 1.47883606E+01 1.24359608E+01
 1.45475388E+01 1.19147015E+01
 1.43163681E+01 1.13699818E+01
 1.40967178E+01 1.08006382E+01
 1.38910675E+01 1.02210379E+01
 1.37005234E+01 9.63203907E+00
 1.35266495E+01 9.04181957E+00
 1.33703232E+01 8.45530033E+00
 1.32327461E+01 7.87787914E+00
 1.31141090E+01 7.31411934E+00
 1.30144119E+01 6.76747799E+00
 1.29331589E+01 6.24080181E+00
 1.28693008E+01 5.73627949E+00
 1.28215027E+01 5.25534153E+00
 1.27881432E+01 4.79877949E+00
 1.27675247E+01 4.36684132E+00
 1.27578735E+01 3.95936012E+00
 1.27576065E+01 3.57573986E+00
 1.27650833E+01 3.21516037E+00
 1.27788925E+01 2.87660122E+00
 1.27992249E+01 2.53849983E+00
 1.28279686E+01 2.17936039E+00
 1.28664970E+01 1.79838181E+00
 1.29162979E+01 1.39493942E+00
 1.29788589E+01 9.68699455E-01
 1.30555534E+01 5.19599914E-01
 1.31477737E+01 4.80794907E-02
 1.32566261E+01 -4.44979668E-01
 1.33829308E+01 -9.57999230E-01
 1.35271645E+01 -1.48893833E+00
 1.36894798E+01 -2.03474045E+00
 1.38694954E+01 -2.59175777E+00
 1.40666389E+01 -3.15581799E+00
 1.42799759E+01 -3.72089863E+00
 1.45083046E+01 -4.28199768E+00
 1.47504234E+01 -4.83150005E+00
 1.50050545E+01 -5.36622048E+00
 1.52698135E+01 -5.87557793E+00
 1.55443573E+01 -6.35856152E+00
 1.58269691E+01 -6.81032181E+00
 1.61167526E+01 -7.22775936E+00
 1.64126015E+01 -7.60797978E+00
 1.67123795E+01 -7.94888020E+00
 1.70154762E+01 -8.24744224E+00
 1.73208618E+01 -8.50244045E+00
 1.76277351E+01 -8.71156216E+00
 1.79343796E+01 -8.87400150E+00
 1.82368660E+01 -8.99087906E+00
 1.85311890E+01 -9.06509876E+00
 1.88138962E+01 -9.10083771E+00
 1.90819359E+01 -9.10329819E+00
 1.93331528E+01 -9.07775879E+00
 1.95814705E+01 -9.02594090E+00
 1.98403931E+01 -8.94313812E+00
 2.01077080E+01 -8.82562160E+00
 2.03810310E+01 -8.67030144E+00
 2.06579399E+01 -8.47578049E+00
 2.09374237E+01 -8.24110031E+00
 2.12186050E+01 -7.96599865E+00
 2.15000534E+01 -7.65113830E+00
 2.17820549E+01 -7.29561806E+00
 2.20620537E+01 -6.90070152E+00
 2.23393059E+01 -6.46662235E+00
 2.26113319E+01 -5.99602222E+00
 2.28769875E+01 -5.49129963E+00
 2.31337357E+01 -4.95617866E+00
 2.33795357E+01 -4.39621925E+00
 2.36128235E+01 -3.81584167E+00
 2.38311577E+01 -3.22150230E+00
 2.40329933E+01 -2.61973858E+00
 2.42165756E+01 -2.01615810E+00
 2.43809319E+01 -1.41722202E+00
 2.45252037E+01 -8.27560425E-01
 2.46493149E+01 -2.51960754E-01
 2.47537994E+01 3.05480957E-01
 2.48392868E+01 8.42118263E-01
 2.49073792E+01 1.35575771E+00
 2.49595451E+01 1.84495926E+00
 2.49975395E+01 2.30907917E+00
 2.50230980E+01 2.74796009E+00
 2.50380516E+01 3.16187859E+00
 2.50438118E+01 3.55152130E+00
 2.50420952E+01 3.91784191E+00
 2.50341225E+01 4.26186085E+00
