TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.62285423E+01 3.64140987E+01
 2.62361526E+01 3.67679596E+01
 2.62358475E+01 3.71443558E+01
 2.62259293E+01 3.75440025E+01
 2.62049866E+01 3.79678154E+01
 2.61713409E+01 3.84160233E+01
 2.61232948E+01 3.88889790E+01
 2.60591125E+01 3.93859768E+01
 2.59770584E+01 3.99063396E+01
 2.58752441E+01 4.04479027E+01
 2.57520676E+01 4.10087013E+01
 2.56057358E+01 4.15842247E+01
 2.54348564E+01 4.21710396E+01
 2.52383804E+01 4.27625370E+01
 2.50156021E+01 4.33533001E+01
 2.47665977E+01 4.39355755E+01
 2.44921684E+01 4.45026970E+01
 2.41937447E+01 4.50467586E+01
 2.38736534E+01 4.55615616E+01
 2.35348892E+01 4.60403156E+01
 2.31807518E+01 4.64783573E+01
 2.28150749E+01 4.68713760E+01
 2.24416924E+01 4.72164440E+01
 2.20644188E+01 4.75122356E+01
 2.16872787E+01 4.77578640E+01
 2.13141632E+01 4.79541778E+01
 2.09487152E+01 4.81029797E+01
 2.05949593E+01 4.82073593E+01
 2.02558136E+01 4.82712841E+01
 1.99337387E+01 4.83001042E+01
 1.96304893E+01 4.82987595E+01
 1.93465424E+01 4.82725620E+01
 1.90820312E+01 4.82267189E+01
 1.88211632E+01 4.81604767E+01
 1.85481453E+01 4.80687428E+01
 1.82643509E+01 4.79488754E+01
 1.79704475E+01 4.77974033E+01
 1.76678276E+01 4.76110363E+01
 1.73598289E+01 4.73891163E+01
 1.70464706E+01 4.71278381E+01
 1.67311668E+01 4.68272591E+01
 1.64156723E+01 4.64843178E+01
 1.61034775E+01 4.61008644E+01
 1.57976913E+01 4.56779194E+01
 1.55013466E+01 4.52146816E+01
 1.52168655E+01 4.47163963E+01
 1.49475479E+01 4.41834354E+01
 1.46965027E+01 4.36244202E+01
 1.44638252E+01 4.30360031E+01
 1.42544556E+01 4.24371242E+01
 1.40671921E+01 4.18253040E+01
 1.39034081E+01 4.12121582E+01
 1.37621880E+01 4.06021786E+01
 1.36433029E+01 4.00017643E+01
 1.35454750E+01 3.94160557E+01
 1.34680748E+01 3.88486385E+01
 1.34101486E+01 3.83026028E+01
 1.33707428E+01 3.77801037E+01
 1.33488464E+01 3.72825623E+01
 1.33429718E+01 3.68107986E+01
 1.33514404E+01 3.63650227E+01
 1.33722878E+01 3.59450436E+01
 1.34035683E+01 3.55502415E+01
 1.34433174E+01 3.51797771E+01
 1.34897614E+01 3.48326206E+01
 1.35448074E+01 3.44866562E+01
 1.36127281E+01 3.41199589E+01
 1.36952400E+01 3.37318802E+01
 1.37940788E+01 3.33218384E+01
 1.39107132E+01 3.28896046E+01
 1.40464592E+01 3.24351025E+01
 1.42020798E+01 3.19586754E+01
 1.43777657E+01 3.14609432E+01
 1.45730591E+01 3.09430599E+01
 1.47867775E+01 3.04063988E+01
 1.50171280E+01 2.98532772E+01
 1.52616692E+01 2.92868233E+01
 1.55177689E+01 2.87099838E+01
 1.57827568E+01 2.81286240E+01
 1.60534859E+01 2.75469589E+01
 1.63273811E+01 2.69732571E+01
 1.66028023E+01 2.64068222E+01
 1.68740082E+01 2.58623791E+01
 1.71404839E+01 2.53378582E+01
 1.73978806E+01 2.48385620E+01
 1.76441383E+01 2.43655014E+01
 1.78793907E+01 2.39235783E+01
 1.81052208E+01 2.35144424E+01
 1.83226395E+01 2.31413364E+01
 1.85436249E+01 2.28076363E+01
 1.87823677E+01 2.25263786E+01
 1.90415192E+01 2.23091602E+01
 1.93145561E+01 2.21553230E+01
 1.95896912E+01 2.20621204E+01
 1.98568535E+01 2.20236397E+01
 2.01103592E+01 2.20333958E+01
 2.03462219E+01 2.20801830E+01
 2.05734634E+01 2.21643162E+01
 2.08012772E+01 2.22929192E+01
 2.10242081E+01 2.24718571E+01
 2.12336922E+01 2.26980591E+01
 2.14293480E+01 2.29722404E+01
 2.16182518E+01 2.32903194E+01
 2.18094635E+01 2.36397839E+01
 2.20113564E+01 2.40235996E+01
 2.22243690E+01 2.44433212E+01
 2.24488449E+01 2.48943043E+01
 2.26882935E+01 2.53770828E+01
 2.29382515E+01 2.58900356E+01
 2.31970978E+01 2.64302826E+01
 2.34619141E+01 2.69961834E+01
 2.37291145E+01 2.75811768E+01
 2.39966393E+01 2.81820011E+01
 2.42603683E+01 2.87928963E+01
 2.45171356E+01 2.94071007E+01
 2.47630692E+01 3.00208378E+01
 2.49944687E+01 3.06276608E+01
 2.52079964E+01 3.12242603E+01
 2.54010963E+01 3.18068027E+01
 2.55720329E+01 3.23713207E+01
 2.57200813E+01 3.29158020E+01
 2.58456612E+01 3.34379959E+01
 2.59497452E+01 3.39365196E+01
 2.60339928E+01 3.44104576E+01
 2.61003113E+01 3.48595810E+01
 2.61509323E+01 3.52838230E+01
 2.61877632E+01 3.56838036E+01
 2.62130356E+01 3.60602188E+01
 2.62285423E+01 3.64140987E+01
