TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -3.30528259E+01 5.74641228E-01
 -3.30784798E+01 7.95621872E-01
 -3.31172752E+01 1.02950096E+00
 -3.31713676E+01 1.27624035E+00
 -3.32430840E+01 1.53572083E+00
 -3.33345604E+01 1.80737972E+00
 -3.34479523E+01 2.09023952E+00
 -3.35855865E+01 2.38327980E+00
 -3.37487602E+01 2.68459797E+00
 -3.39392853E+01 2.99248219E+00
 -3.41576195E+01 3.30436230E+00
 -3.44041634E+01 3.61758232E+00
 -3.46783257E+01 3.92926216E+00
 -3.49784470E+01 4.23595905E+00
 -3.53029823E+01 4.53472138E+00
 -3.56480408E+01 4.82202053E+00
 -3.60108566E+01 5.09511948E+00
 -3.63868141E+01 5.35113812E+00
 -3.67715073E+01 5.58812142E+00
 -3.71603203E+01 5.80450058E+00
 -3.75492287E+01 5.99939823E+00
 -3.79336357E+01 6.17259979E+00
 -3.83099937E+01 6.32468224E+00
 -3.86757278E+01 6.45664215E+00
 -3.90281868E+01 6.56963825E+00
 -3.93654633E+01 6.66535854E+00
 -3.96865463E+01 6.74565792E+00
 -3.99908638E+01 6.81238174E+00
 -4.02781773E+01 6.86724186E+00
 -4.05486202E+01 6.91180229E+00
 -4.08026981E+01 6.94756031E+00
 -4.10410786E+01 6.97586060E+00
 -4.12646198E+01 6.99778080E+00
 -4.14875794E+01 7.01518059E+00
 -4.17241382E+01 7.02867985E+00
 -4.19746208E+01 7.03711986E+00
 -4.22391987E+01 7.03901768E+00
 -4.25177193E+01 7.03241825E+00
 -4.28098011E+01 7.01459885E+00
 -4.31144810E+01 6.98175907E+00
 -4.34298229E+01 6.92842007E+00
 -4.37520981E+01 6.84751988E+00
 -4.40754986E+01 6.73150062E+00
 -4.43918419E+01 6.57395840E+00
 -4.46922588E+01 6.37073994E+00
 -4.49681759E+01 6.11989975E+00
 -4.52091598E+01 5.82448006E+00
 -4.54089832E+01 5.49064159E+00
 -4.55669784E+01 5.12723923E+00
 -4.56872845E+01 4.74542141E+00
 -4.57791805E+01 4.35475826E+00
 -4.58539200E+01 3.96316051E+00
 -4.59191608E+01 3.57550144E+00
 -4.59796238E+01 3.19548130E+00
 -4.60365963E+01 2.82588005E+00
 -4.60896587E+01 2.46891975E+00
 -4.61373806E+01 2.12605953E+00
 -4.61785221E+01 1.79825783E+00
 -4.62121964E+01 1.48613930E+00
 -4.62381840E+01 1.18989944E+00
 -4.62565994E+01 9.09619331E-01
 -4.62679768E+01 6.45079613E-01
 -4.62730408E+01 3.95898819E-01
 -4.62726021E+01 1.61581039E-01
 -4.62674808E+01 -5.85412979E-02
 -4.62578201E+01 -2.78458595E-01
 -4.62425423E+01 -5.12142181E-01
 -4.62207794E+01 -7.60140419E-01
 -4.61916447E+01 -1.02287769E+00
 -4.61542797E+01 -1.30067825E+00
 -4.61080646E+01 -1.59358025E+00
 -4.60525417E+01 -1.90155983E+00
 -4.59876156E+01 -2.22414017E+00
 -4.59134006E+01 -2.56065845E+00
 -4.58302021E+01 -2.90996075E+00
 -4.57378769E+01 -3.27023983E+00
 -4.56353378E+01 -3.63905907E+00
 -4.55195999E+01 -4.01286125E+00
 -4.53856182E+01 -4.38662052E+00
 -4.52258206E+01 -4.75319862E+00
 -4.50341034E+01 -5.10357857E+00
 -4.48058033E+01 -5.42747974E+00
 -4.45413399E+01 -5.71628094E+00
 -4.42459583E+01 -5.96312046E+00
 -4.39270592E+01 -6.16504192E+00
 -4.35928822E+01 -6.32249832E+00
 -4.32523632E+01 -6.43877983E+00
 -4.29127979E+01 -6.51964188E+00
 -4.25796414E+01 -6.57179832E+00
 -4.22569180E+01 -6.60160065E+00
 -4.19470596E+01 -6.61429882E+00
 -4.16513634E+01 -6.61389828E+00
 -4.13704014E+01 -6.60346031E+00
 -4.11043644E+01 -6.58530235E+00
 -4.08532238E+01 -6.56122208E+00
 -4.06166840E+01 -6.53260231E+00
 -4.03942013E+01 -6.50055885E+00
 -4.01716995E+01 -6.46358013E+00
 -3.99349594E+01 -6.41881943E+00
 -3.96833229E+01 -6.36506081E+00
 -3.94162560E+01 -6.30095959E+00
 -3.91334915E+01 -6.22501850E+00
 -3.88350677E+01 -6.13564014E+00
 -3.85212708E+01 -6.03117943E+00
 -3.81929588E+01 -5.91000080E+00
 -3.78513527E+01 -5.77040196E+00
 -3.74985123E+01 -5.61096192E+00
 -3.71371078E+01 -5.43062210E+00
 -3.67699242E+01 -5.22865772E+00
 -3.64007568E+01 -5.00480175E+00
 -3.60340881E+01 -4.75945950E+00
 -3.56741524E+01 -4.49366093E+00
 -3.53256798E+01 -4.20914173E+00
 -3.49930382E+01 -3.90806198E+00
 -3.46809578E+01 -3.59340191E+00
 -3.43922615E+01 -3.26797962E+00
 -3.41307640E+01 -2.93566227E+00
 -3.38977623E+01 -2.59945869E+00
 -3.36950493E+01 -2.26325989E+00
 -3.35223389E+01 -1.92999840E+00
 -3.33794022E+01 -1.60297871E+00
 -3.32646179E+01 -1.28459930E+00
 -3.31760979E+01 -9.77177620E-01
 -3.31114769E+01 -6.82339668E-01
 -3.30680466E+01 -4.01358604E-01
 -3.30430603E+01 -1.35002136E-01
 -3.30339432E+01 1.16419792E-01
 -3.30379295E+01 3.52859497E-01
 -3.30528259E+01 5.74641228E-01
