TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 9.47811127E+00 8.34097862E-01
 9.45922852E+00 1.06595993E+00
 9.43174362E+00 1.31207943E+00
 9.39405441E+00 1.57279968E+00
 9.34438706E+00 1.84845924E+00
 9.28096771E+00 2.13908195E+00
 9.20173645E+00 2.44410038E+00
 9.10444260E+00 2.76308060E+00
 8.98721695E+00 3.09430122E+00
 8.84752274E+00 3.43627930E+00
 8.68396759E+00 3.78615856E+00
 8.49460602E+00 4.14092064E+00
 8.27878952E+00 4.49667931E+00
 8.03615570E+00 4.84908104E+00
 7.76723862E+00 5.19343853E+00
 7.47398376E+00 5.52504063E+00
 7.15864182E+00 5.83926201E+00
 6.82477951E+00 6.13215923E+00
 6.47686005E+00 6.40046120E+00
 6.11934662E+00 6.64199829E+00
 5.75689316E+00 6.85554028E+00
 5.39468765E+00 7.04102039E+00
 5.03686905E+00 7.19944000E+00
 4.68675614E+00 7.33233929E+00
 4.34776306E+00 7.44170189E+00
 4.02219772E+00 7.53012180E+00
 3.71149063E+00 7.60024071E+00
 3.41661453E+00 7.65451908E+00
 3.13798904E+00 7.69519806E+00
 2.87565231E+00 7.72438049E+00
 2.62926102E+00 7.74387836E+00
 2.39816666E+00 7.75527954E+00
 2.18164444E+00 7.75981903E+00
 1.96586609E+00 7.75825977E+00
 1.73723221E+00 7.74961948E+00
 1.49564743E+00 7.73200035E+00
 1.24124527E+00 7.70296097E+00
 9.74674225E-01 7.65942097E+00
 6.97097778E-01 7.59768009E+00
 4.10461426E-01 7.51331806E+00
 1.18141174E-01 7.40109920E+00
 -1.74865723E-01 7.25543976E+00
 -4.61826324E-01 7.07173824E+00
 -7.34901428E-01 6.84790134E+00
 -9.87453461E-01 6.58386230E+00
 -1.21419907E+00 6.28098011E+00
 -1.41006470E+00 5.94498158E+00
 -1.57522202E+00 5.58206081E+00
 -1.71377182E+00 5.19956112E+00
 -1.83015823E+00 4.80542183E+00
 -1.93023682E+00 4.40587998E+00
 -2.01875687E+00 4.00690079E+00
 -2.09732056E+00 3.61187935E+00
 -2.16754913E+00 3.22430134E+00
 -2.22997665E+00 2.84696102E+00
 -2.28471756E+00 2.48213768E+00
 -2.33129501E+00 2.13148117E+00
 -2.36951828E+00 1.79609776E+00
 -2.39931107E+00 1.47672176E+00
 -2.42097855E+00 1.17368221E+00
 -2.43501663E+00 8.87079239E-01
 -2.44213104E+00 6.16679192E-01
 -2.44319916E+00 3.62100601E-01
 -2.43907928E+00 1.22780800E-01
 -2.43064880E+00 -1.01938248E-01
 -2.41777420E+00 -3.26399803E-01
 -2.39927292E+00 -5.64842224E-01
 -2.37424850E+00 -8.17780495E-01
 -2.34178543E+00 -1.08572006E+00
 -2.30102539E+00 -1.36889935E+00
 -2.25118637E+00 -1.66739941E+00
 -2.19163895E+00 -1.98108196E+00
 -2.12192535E+00 -2.30939865E+00
 -2.04170227E+00 -2.65158176E+00
 -1.95066452E+00 -3.00625801E+00
 -1.84827805E+00 -3.37152004E+00
 -1.73387527E+00 -3.74482155E+00
 -1.60621643E+00 -4.12302017E+00
 -1.46358490E+00 -4.50205803E+00
 -1.30233765E+00 -4.87664223E+00
 -1.11942291E+00 -5.24024010E+00
 -9.10434723E-01 -5.58455944E+00
 -6.73332214E-01 -5.90280056E+00
 -4.09698486E-01 -6.18748188E+00
 -1.22795105E-01 -6.43392086E+00
 1.82266235E-01 -6.63961887E+00
 4.97589111E-01 -6.80443764E+00
 8.16516876E-01 -6.93133831E+00
 1.13309860E+00 -7.02476025E+00
 1.44233704E+00 -7.08963871E+00
 1.74087524E+00 -7.13106155E+00
 2.02680588E+00 -7.15363979E+00
 2.29896545E+00 -7.16132164E+00
 2.55683899E+00 -7.15730190E+00
 2.80027390E+00 -7.14404106E+00
 3.02946091E+00 -7.12354183E+00
 3.24480057E+00 -7.09742069E+00
 3.45996857E+00 -7.06473827E+00
 3.68856430E+00 -7.02281952E+00
 3.93106461E+00 -6.97013855E+00
 4.18773651E+00 -6.90492153E+00
 4.45858002E+00 -6.82518005E+00
 4.74315643E+00 -6.72875881E+00
 5.04066467E+00 -6.61330223E+00
 5.34973144E+00 -6.47654056E+00
 5.66837311E+00 -6.31634235E+00
 5.99390030E+00 -6.13071918E+00
 6.32305145E+00 -5.91812134E+00
 6.65208816E+00 -5.67783832E+00
 6.97669983E+00 -5.40987968E+00
 7.29257584E+00 -5.11509895E+00
 7.59489060E+00 -4.79588032E+00
 7.88026810E+00 -4.45477962E+00
 8.14453125E+00 -4.09614086E+00
 8.38529587E+00 -3.72399807E+00
 8.60076904E+00 -3.34358215E+00
 8.78978729E+00 -2.95941830E+00
 8.95269394E+00 -2.57627964E+00
 9.09002304E+00 -2.19828129E+00
 9.20341492E+00 -1.82891846E+00
 9.29447174E+00 -1.47111893E+00
 9.36550140E+00 -1.12693787E+00
 9.41865921E+00 -7.97982216E-01
 9.45615768E+00 -4.85100746E-01
 9.48017120E+00 -1.88779831E-01
 9.49272156E+00 9.09185410E-02
 9.49541092E+00 3.54299545E-01
 9.49014664E+00 6.01801872E-01
 9.47811127E+00 8.34097862E-01
