TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.29885864E+01 2.52106190E+00
 2.29739571E+01 2.76896000E+00
 2.29526329E+01 3.03239822E+00
 2.29232597E+01 3.31175804E+00
 2.28844452E+01 3.60752106E+00
 2.28348160E+01 3.92005920E+00
 2.27728271E+01 4.24903870E+00
 2.26966858E+01 4.59424019E+00
 2.26050758E+01 4.95466232E+00
 2.24962044E+01 5.32882214E+00
 2.23689842E+01 5.71492195E+00
 2.22222328E+01 6.11003876E+00
 2.20555878E+01 6.51134014E+00
 2.18691063E+01 6.91490173E+00
 2.16633224E+01 7.31661796E+00
 2.14397240E+01 7.71245956E+00
 2.12000847E+01 8.09765816E+00
 2.09469032E+01 8.46829891E+00
 2.06827927E+01 8.82038116E+00
 2.04105568E+01 9.15033817E+00
 2.01325989E+01 9.45528030E+00
 1.98515320E+01 9.73261833E+00
 1.95692253E+01 9.98032093E+00
 1.92872429E+01 1.01967621E+01
 1.90073967E+01 1.03807402E+01
 1.87313080E+01 1.05316782E+01
 1.84608078E+01 1.06496620E+01
 1.81980133E+01 1.07358408E+01
 1.79451942E+01 1.07923985E+01
 1.77042961E+01 1.08223009E+01
 1.74768066E+01 1.08289814E+01
 1.72636223E+01 1.08160782E+01
 1.70651627E+01 1.07869816E+01
 1.68695068E+01 1.07417011E+01
 1.66654015E+01 1.06762981E+01
 1.64541626E+01 1.05882788E+01
 1.62373161E+01 1.04754400E+01
 1.60164070E+01 1.03358603E+01
 1.57926750E+01 1.01681995E+01
 1.55671120E+01 9.97206211E+00
 1.53401947E+01 9.74800110E+00
 1.51117325E+01 9.49717998E+00
 1.48814964E+01 9.22088146E+00
 1.46502113E+01 8.92067909E+00
 1.44189262E+01 8.59797954E+00
 1.41885757E+01 8.25345993E+00
 1.39625931E+01 7.88946152E+00
 1.37432480E+01 7.50733852E+00
 1.35328674E+01 7.11118221E+00
 1.33350945E+01 6.70363903E+00
 1.31527519E+01 6.28848076E+00
 1.29877853E+01 5.87113857E+00
 1.28416634E+01 5.45405865E+00
 1.27150536E+01 5.04178047E+00
 1.26077461E+01 4.63766098E+00
 1.25189400E+01 4.24476147E+00
 1.24476051E+01 3.86541843E+00
 1.23921204E+01 3.50155830E+00
 1.23508644E+01 3.15440178E+00
 1.23221016E+01 2.82464027E+00
 1.23041916E+01 2.51257896E+00
 1.22956085E+01 2.21809864E+00
 1.22947884E+01 1.94089890E+00
 1.23004341E+01 1.68035984E+00
 1.23114014E+01 1.43578053E+00
 1.23278046E+01 1.19160175E+00
 1.23512650E+01 9.32321548E-01
 1.23830032E+01 6.57439232E-01
 1.24244118E+01 3.66578102E-01
 1.24769402E+01 5.96189499E-02
 1.25421524E+01 -2.63338089E-01
 1.26215744E+01 -6.01778030E-01
 1.27167511E+01 -9.54737663E-01
 1.28291321E+01 -1.32075787E+00
 1.29598045E+01 -1.69795990E+00
 1.31094742E+01 -2.08372116E+00
 1.32781982E+01 -2.47516155E+00
 1.34653473E+01 -2.86893845E+00
 1.36695480E+01 -3.26193810E+00
 1.38887405E+01 -3.64952087E+00
 1.41201591E+01 -4.02972221E+00
 1.43606377E+01 -4.39700127E+00
 1.46081161E+01 -4.74942207E+00
 1.48592567E+01 -5.08428097E+00
 1.51115417E+01 -5.39857864E+00
 1.53648949E+01 -5.69071770E+00
 1.56178284E+01 -5.95757961E+00
 1.58718109E+01 -6.19534016E+00
 1.61282921E+01 -6.40058041E+00
 1.63857269E+01 -6.57038212E+00
 1.66421318E+01 -6.70445919E+00
 1.68951035E+01 -6.80411816E+00
 1.71414566E+01 -6.87146187E+00
 1.73783493E+01 -6.90964222E+00
 1.76036644E+01 -6.92254066E+00
 1.78160477E+01 -6.91421986E+00
 1.80147362E+01 -6.88854218E+00
 1.82114220E+01 -6.84621811E+00
 1.84173203E+01 -6.78380012E+00
 1.86314392E+01 -6.69909954E+00
 1.88529015E+01 -6.59008026E+00
 1.90808868E+01 -6.45505905E+00
 1.93144035E+01 -6.29315853E+00
 1.95525169E+01 -6.10439777E+00
 1.97951889E+01 -5.88863850E+00
 2.00421906E+01 -5.64559936E+00
 2.02916145E+01 -5.37578106E+00
 2.05419350E+01 -5.07964134E+00
 2.07922173E+01 -4.75763798E+00
 2.10384560E+01 -4.41217899E+00
 2.12791824E+01 -4.04396057E+00
 2.15102959E+01 -3.65724087E+00
 2.17297554E+01 -3.25379848E+00
 2.19340134E+01 -2.83904076E+00
 2.21213531E+01 -2.41569996E+00
 2.22899055E+01 -1.98966026E+00
 2.24386215E+01 -1.56395912E+00
 2.25672722E+01 -1.14369869E+00
 2.26762581E+01 -7.31859207E-01
 2.27665520E+01 -3.31878662E-01
 2.28393173E+01 5.39779663E-02
 2.28962326E+01 4.23860550E-01
 2.29389954E+01 7.76538849E-01
 2.29692841E+01 1.11139774E+00
 2.29887962E+01 1.42817974E+00
 2.29991531E+01 1.72699928E+00
 2.30016136E+01 2.00833797E+00
 2.29977798E+01 2.27278233E+00
 2.29885864E+01 2.52106190E+00
