TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.44158554E+01 5.97648144E+00
 2.44011688E+01 6.23129845E+00
 2.43795013E+01 6.50204182E+00
 2.43494987E+01 6.78914070E+00
 2.43097305E+01 7.09301948E+00
 2.42588615E+01 7.41407871E+00
 2.41953087E+01 7.75197983E+00
 2.41173172E+01 8.10644150E+00
 2.40236282E+01 8.47658157E+00
 2.39126015E+01 8.86072159E+00
 2.37834358E+01 9.25737858E+00
 2.36353111E+01 9.66341972E+00
 2.34680367E+01 1.00763416E+01
 2.32822037E+01 1.04922581E+01
 2.30789566E+01 1.09072018E+01
 2.28598595E+01 1.13176584E+01
 2.26271820E+01 1.17184782E+01
 2.23834991E+01 1.21063185E+01
 2.21313858E+01 1.24770784E+01
 2.18732643E+01 1.28269577E+01
 2.16110802E+01 1.31529617E+01
 2.13470078E+01 1.34523392E+01
 2.10822868E+01 1.37226820E+01
 2.08169746E+01 1.39615822E+01
 2.05512810E+01 1.41656399E+01
 2.02856064E+01 1.43327618E+01
 2.00220871E+01 1.44618177E+01
 1.97636986E+01 1.45537996E+01
 1.95135880E+01 1.46115208E+01
 1.92747879E+01 1.46388817E+01
 1.90493202E+01 1.46400785E+01
 1.88384819E+01 1.46194410E+01
 1.86427116E+01 1.45813417E+01
 1.84504890E+01 1.45255613E+01
 1.82509613E+01 1.44476795E+01
 1.80455017E+01 1.43452597E+01
 1.78356552E+01 1.42164803E+01
 1.76227188E+01 1.40602398E+01
 1.74072456E+01 1.38756990E+01
 1.71892166E+01 1.36630392E+01
 1.69684410E+01 1.34235191E+01
 1.67443848E+01 1.31580591E+01
 1.65170860E+01 1.28671598E+01
 1.62880325E+01 1.25517607E+01
 1.60585594E+01 1.22129583E+01
 1.58293152E+01 1.18520784E+01
 1.56032944E+01 1.14721012E+01
 1.53825760E+01 1.10739422E+01
 1.51700401E+01 1.06625223E+01
 1.49689674E+01 1.02401781E+01
 1.47822952E+01 9.81073856E+00
 1.46124458E+01 9.37982082E+00
 1.44611740E+01 8.94937992E+00
 1.43296814E+01 8.52434158E+00
 1.42178917E+01 8.10783863E+00
 1.41253090E+01 7.70296097E+00
 1.40509987E+01 7.31205940E+00
 1.39934921E+01 6.93709850E+00
 1.39510345E+01 6.57936096E+00
 1.39218712E+01 6.23953819E+00
 1.39043236E+01 5.91795921E+00
 1.38966179E+01 5.61453819E+00
 1.38972664E+01 5.32894134E+00
 1.39047432E+01 5.06053924E+00
 1.39178658E+01 4.80865955E+00
 1.39368248E+01 4.55719948E+00
 1.39634132E+01 4.29026127E+00
 1.39989853E+01 4.00735855E+00
 1.40449333E+01 3.70808125E+00
 1.41027832E+01 3.39231968E+00
 1.41740990E+01 3.06024075E+00
 1.42604637E+01 2.71230221E+00
 1.43633270E+01 2.34953880E+00
 1.44838905E+01 1.97336197E+00
 1.46231079E+01 1.58557892E+00
 1.47814941E+01 1.18882179E+00
 1.49585915E+01 7.85841942E-01
 1.51531029E+01 3.79819870E-01
 1.53635216E+01 -2.66408920E-02
 1.55872726E+01 -4.28061485E-01
 1.58216858E+01 -8.23459625E-01
 1.60629463E+01 -1.20694160E+00
 1.63086510E+01 -1.57639980E+00
 1.65563202E+01 -1.92900181E+00
 1.68040085E+01 -2.26106167E+00
 1.70502663E+01 -2.57048130E+00
 1.72936058E+01 -2.85647869E+00
 1.75352287E+01 -3.11533928E+00
 1.77776909E+01 -3.34239960E+00
 1.80223656E+01 -3.53370190E+00
 1.82685089E+01 -3.68676186E+00
 1.85136986E+01 -3.80144119E+00
 1.87544632E+01 -3.87976170E+00
 1.89869690E+01 -3.92516136E+00
 1.92085457E+01 -3.94176006E+00
 1.94174767E+01 -3.93380165E+00
 1.96127129E+01 -3.90575886E+00
 1.98052406E+01 -3.85809898E+00
 2.00053024E+01 -3.78662109E+00
 2.02112198E+01 -3.68857861E+00
 2.04211807E+01 -3.56167793E+00
 2.06335449E+01 -3.40476036E+00
 2.08476067E+01 -3.21763992E+00
 2.10638428E+01 -3.00164223E+00
 2.12837982E+01 -2.75891781E+00
 2.15090370E+01 -2.49040127E+00
 2.17390251E+01 -2.19637871E+00
 2.19721985E+01 -1.87742233E+00
 2.22076416E+01 -1.53441906E+00
 2.24424553E+01 -1.16923809E+00
 2.26748657E+01 -7.83319473E-01
 2.29009628E+01 -3.80358696E-01
 2.31181717E+01 3.80802155E-02
 2.33225441E+01 4.66580391E-01
 2.35120010E+01 9.02981758E-01
 2.36838913E+01 1.34123802E+00
 2.38367844E+01 1.77884102E+00
 2.39699173E+01 2.21055984E+00
 2.40834236E+01 2.63358116E+00
 2.41778946E+01 3.04440022E+00
 2.42543793E+01 3.44079971E+00
 2.43145180E+01 3.82081985E+00
 2.43599510E+01 4.18322086E+00
 2.43923569E+01 4.52740192E+00
 2.44135284E+01 4.85300064E+00
 2.44250679E+01 5.16017914E+00
 2.44282913E+01 5.44941902E+00
 2.44248962E+01 5.72125912E+00
 2.44158554E+01 5.97648144E+00
