TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.49510574E+01 1.81677198E+01
 2.49403191E+01 1.84275818E+01
 2.49224091E+01 1.87037182E+01
 2.48958778E+01 1.89965391E+01
 2.48593140E+01 1.93064404E+01
 2.48112106E+01 1.96338415E+01
 2.47500420E+01 1.99783993E+01
 2.46739960E+01 2.03397179E+01
 2.45818329E+01 2.07170963E+01
 2.44721985E+01 2.11086559E+01
 2.43442345E+01 2.15131569E+01
 2.41972733E+01 2.19272995E+01
 2.40313339E+01 2.23486805E+01
 2.38473129E+01 2.27735424E+01
 2.36461830E+01 2.31978035E+01
 2.34292984E+01 2.36178207E+01
 2.31988716E+01 2.40280437E+01
 2.29567528E+01 2.44252014E+01
 2.27054214E+01 2.48042965E+01
 2.24466515E+01 2.51614761E+01
 2.21820831E+01 2.54931355E+01
 2.19140053E+01 2.57958412E+01
 2.16435432E+01 2.60678577E+01
 2.13716888E+01 2.63062954E+01
 2.10989571E+01 2.65081787E+01
 2.08264542E+01 2.66720581E+01
 2.05572319E+01 2.67968559E+01
 2.02940178E+01 2.68846798E+01
 2.00401878E+01 2.69386387E+01
 1.97985458E+01 2.69628239E+01
 1.95706558E+01 2.69610977E+01
 1.93574905E+01 2.69385242E+01
 1.91593933E+01 2.68991184E+01
 1.89646339E+01 2.68423367E+01
 1.87619019E+01 2.67636967E+01
 1.85522652E+01 2.66606998E+01
 1.83375359E+01 2.65318775E+01
 1.81187439E+01 2.63756371E+01
 1.78962135E+01 2.61904621E+01
 1.76708412E+01 2.59769154E+01
 1.74429512E+01 2.57355595E+01
 1.72124672E+01 2.54661179E+01
 1.69805145E+01 2.51694012E+01
 1.67487717E+01 2.48462582E+01
 1.65180588E+01 2.44972610E+01
 1.62895584E+01 2.41253757E+01
 1.60655212E+01 2.37336826E+01
 1.58477592E+01 2.33224773E+01
 1.56391907E+01 2.28984833E+01
 1.54417801E+01 2.24638367E+01
 1.52584648E+01 2.20223618E+01
 1.50918961E+01 2.15801811E+01
 1.49436760E+01 2.11389637E+01
 1.48151970E+01 2.07037354E+01
 1.47067833E+01 2.02775383E+01
 1.46181870E+01 1.98634386E+01
 1.45485878E+01 1.94637394E+01
 1.44964027E+01 1.90804815E+01
 1.44598961E+01 1.87149382E+01
 1.44372177E+01 1.83678007E+01
 1.44265366E+01 1.80394411E+01
 1.44260025E+01 1.77297211E+01
 1.44339371E+01 1.74383402E+01
 1.44488144E+01 1.71646404E+01
 1.44692993E+01 1.69079208E+01
 1.44960213E+01 1.66517591E+01
 1.45312881E+01 1.63800192E+01
 1.45764732E+01 1.60921812E+01
 1.46331215E+01 1.57879019E+01
 1.47027206E+01 1.54670811E+01
 1.47869110E+01 1.51299000E+01
 1.48872375E+01 1.47768402E+01
 1.50050163E+01 1.44089794E+01
 1.51412582E+01 1.40277004E+01
 1.52965736E+01 1.36346006E+01
 1.54712105E+01 1.32322979E+01
 1.56640816E+01 1.28233194E+01
 1.58728981E+01 1.24104595E+01
 1.60958862E+01 1.19956589E+01
 1.63291740E+01 1.15848589E+01
 1.65700531E+01 1.11776018E+01
 1.68140221E+01 1.07806206E+01
 1.70577240E+01 1.03955603E+01
 1.72986603E+01 1.00243187E+01
 1.75357819E+01 9.67189789E+00
 1.77670860E+01 9.34169769E+00
 1.79903793E+01 9.03172016E+00
 1.82067871E+01 8.74529838E+00
 1.84233093E+01 8.48988056E+00
 1.86466026E+01 8.27273846E+00
 1.88776779E+01 8.09951782E+00
 1.91126442E+01 7.97140122E+00
 1.93466759E+01 7.88516045E+00
 1.95738792E+01 7.83661842E+00
 1.97904015E+01 7.82053948E+00
 1.99941444E+01 7.83294201E+00
 2.01839828E+01 7.86818028E+00
 2.03703117E+01 7.92578220E+00
 2.05618286E+01 8.01102162E+00
 2.07553864E+01 8.12674046E+00
 2.09484291E+01 8.27626228E+00
 2.11384583E+01 8.46030235E+00
 2.13249588E+01 8.67670059E+00
 2.15118217E+01 8.92258167E+00
 2.17050552E+01 9.19322014E+00
 2.19079781E+01 9.48569775E+00
 2.21201515E+01 9.80144024E+00
 2.23396873E+01 1.01416397E+01
 2.25649834E+01 1.05031395E+01
 2.27949905E+01 1.08840609E+01
 2.30277443E+01 1.12839413E+01
 2.32579231E+01 1.16985416E+01
 2.34831810E+01 1.21267796E+01
 2.36985970E+01 1.25639820E+01
 2.39010429E+01 1.30079985E+01
 2.40875053E+01 1.34529781E+01
 2.42556572E+01 1.38972998E+01
 2.44036674E+01 1.43355179E+01
 2.45316124E+01 1.47650003E+01
 2.46398163E+01 1.51822805E+01
 2.47289276E+01 1.55851793E+01
 2.48004150E+01 1.59716606E+01
 2.48560333E+01 1.63404417E+01
 2.48974419E+01 1.66908598E+01
 2.49264908E+01 1.70225191E+01
 2.49448967E+01 1.73355198E+01
 2.49540520E+01 1.76303196E+01
 2.49557495E+01 1.79074812E+01
 2.49510574E+01 1.81677198E+01
