TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.33890724E+01 -5.10578156E-01
 2.33810043E+01 -8.65721702E-01
 2.33645248E+01 -1.24335766E+00
 2.33382225E+01 -1.64445877E+00
 2.33001709E+01 -2.06984043E+00
 2.32485771E+01 -2.51986027E+00
 2.31812286E+01 -2.99481869E+00
 2.30958939E+01 -3.49403858E+00
 2.29904175E+01 -4.01671886E+00
 2.28623199E+01 -4.56091881E+00
 2.27098083E+01 -5.12375832E+00
 2.25307846E+01 -5.70199966E+00
 2.23238182E+01 -6.29077911E+00
 2.20884132E+01 -6.88469887E+00
 2.18242073E+01 -7.47742176E+00
 2.15313911E+01 -8.06223869E+00
 2.12117958E+01 -8.63177776E+00
 2.08669853E+01 -9.17905808E+00
 2.04997826E+01 -9.69719887E+00
 2.01134109E+01 -1.01802206E+01
 1.97119141E+01 -1.06230593E+01
 1.92995834E+01 -1.10220385E+01
 1.88808250E+01 -1.13750601E+01
 1.84605980E+01 -1.16811419E+01
 1.80433273E+01 -1.19410610E+01
 1.76329422E+01 -1.21564198E+01
 1.72333336E+01 -1.23297787E+01
 1.68472862E+01 -1.24645376E+01
 1.64771461E+01 -1.25642014E+01
 1.61245346E+01 -1.26324177E+01
 1.57905769E+01 -1.26730013E+01
 1.54758644E+01 -1.26897001E+01
 1.51804352E+01 -1.26861620E+01
 1.48863029E+01 -1.26636600E+01
 1.45759583E+01 -1.26185799E+01
 1.42504311E+01 -1.25466204E+01
 1.39114189E+01 -1.24435616E+01
 1.35613823E+01 -1.23052216E+01
 1.32032013E+01 -1.21274996E+01
 1.28402710E+01 -1.19071007E+01
 1.24767113E+01 -1.16420984E+01
 1.21159554E+01 -1.13312578E+01
 1.17616081E+01 -1.09755182E+01
 1.14155197E+01 -1.05760622E+01
 1.10811424E+01 -1.01366997E+01
 1.07584381E+01 -9.66038227E+00
 1.04500961E+01 -9.15195942E+00
 1.01563072E+01 -8.61445904E+00
 9.87934112E+00 -8.05593968E+00
 9.62041855E+00 -7.48149872E+00
 9.38156128E+00 -6.89626217E+00
 9.16427612E+00 -6.30737782E+00
 8.96951676E+00 -5.72060108E+00
 8.79802704E+00 -5.14111996E+00
 8.64967346E+00 -4.57377911E+00
 8.52390289E+00 -4.02247906E+00
 8.41953278E+00 -3.49040031E+00
 8.33496094E+00 -2.97994137E+00
 8.26837540E+00 -2.49268055E+00
 8.21781158E+00 -2.02956200E+00
 8.18128586E+00 -1.59095764E+00
 8.15681458E+00 -1.17673874E+00
 8.14266205E+00 -7.86361694E-01
 8.13722610E+00 -4.19039726E-01
 8.13898086E+00 -7.38382340E-02
 8.14737320E+00 2.71258354E-01
 8.16366196E+00 6.38141632E-01
 8.18931580E+00 1.02774143E+00
 8.22595596E+00 1.44072056E+00
 8.27535629E+00 1.87759876E+00
 8.33948135E+00 2.33838081E+00
 8.42021942E+00 2.82266140E+00
 8.51943970E+00 3.32942009E+00
 8.63889694E+00 3.85700226E+00
 8.78007889E+00 4.40296173E+00
 8.94393921E+00 4.96407986E+00
 9.13091660E+00 5.53647995E+00
 9.34099197E+00 6.11539841E+00
 9.57344055E+00 6.69538021E+00
 9.82715607E+00 7.27081776E+00
 1.01007271E+01 7.83443928E+00
 1.03922272E+01 8.38121891E+00
 1.07009315E+01 8.90572071E+00
 1.10243607E+01 9.40025806E+00
 1.13624382E+01 9.86112118E+00
 1.17128372E+01 1.02833223E+01
 1.20750237E+01 1.06636190E+01
 1.24454308E+01 1.09982204E+01
 1.28215027E+01 1.12858200E+01
 1.31994629E+01 1.15258789E+01
 1.35748291E+01 1.17200994E+01
 1.39437294E+01 1.18712378E+01
 1.43022919E+01 1.19827414E+01
 1.46476555E+01 1.20591784E+01
 1.49776268E+01 1.21054983E+01
 1.52906418E+01 1.21262598E+01
 1.55858612E+01 1.21257782E+01
 1.58810234E+01 1.21063185E+01
 1.61940384E+01 1.20653582E+01
 1.65247536E+01 1.19995594E+01
 1.68724823E+01 1.19052601E+01
 1.72359657E+01 1.17787600E+01
 1.76133537E+01 1.16167021E+01
 1.80024910E+01 1.14159393E+01
 1.84004974E+01 1.11733007E+01
 1.88035011E+01 1.08867407E+01
 1.92082787E+01 1.05547190E+01
 1.96098518E+01 1.01773596E+01
 2.00046730E+01 9.75522041E+00
 2.03878212E+01 9.29138184E+00
 2.07556152E+01 8.78918171E+00
 2.11045837E+01 8.25376034E+00
 2.14313316E+01 7.69105911E+00
 2.17333794E+01 7.10793972E+00
 2.20085716E+01 6.51127815E+00
 2.22562027E+01 5.90826034E+00
 2.24752617E+01 5.30551910E+00
 2.26660156E+01 4.70923901E+00
 2.28297234E+01 4.12469864E+00
 2.29674911E+01 3.55634212E+00
 2.30811882E+01 3.00787926E+00
 2.31731415E+01 2.48174191E+00
 2.32454109E+01 1.97961807E+00
 2.33004379E+01 1.50263786E+00
 2.33404350E+01 1.05095863E+00
 2.33674622E+01 6.24518394E-01
 2.33834267E+01 2.22721100E-01
 2.33901405E+01 -1.55301094E-01
 2.33890724E+01 -5.10578156E-01
