TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.68401718E+01 -2.70770073E+00
 2.68331909E+01 -3.08586121E+00
 2.68179321E+01 -3.48795891E+00
 2.67929649E+01 -3.91506195E+00
 2.67564774E+01 -4.36796188E+00
 2.67068291E+01 -4.84715938E+00
 2.66420746E+01 -5.35294056E+00
 2.65603828E+01 -5.88469982E+00
 2.64599228E+01 -6.44176006E+00
 2.63389778E+01 -7.02201843E+00
 2.61964035E+01 -7.62316227E+00
 2.60309219E+01 -8.24160099E+00
 2.58419228E+01 -8.87248039E+00
 2.56294441E+01 -9.51159954E+00
 2.53935623E+01 -1.01516581E+01
 2.51350021E+01 -1.07860804E+01
 2.48548508E+01 -1.14085388E+01
 2.45544243E+01 -1.20106602E+01
 2.42354393E+01 -1.25863409E+01
 2.38999557E+01 -1.31282616E+01
 2.35498619E+01 -1.36318779E+01
 2.31881714E+01 -1.40913582E+01
 2.28168869E+01 -1.45042992E+01
 2.24394608E+01 -1.48672581E+01
 2.20585251E+01 -1.51797199E+01
 2.16775513E+01 -1.54409599E+01
 2.13001251E+01 -1.56521988E+01
 2.09297943E+01 -1.58154821E+01
 2.05700874E+01 -1.59341192E+01
 2.02240753E+01 -1.60121202E+01
 1.98944092E+01 -1.60544014E+01
 1.95828629E+01 -1.60658407E+01
 1.92904663E+01 -1.60516977E+01
 1.90001106E+01 -1.60137177E+01
 1.86951447E+01 -1.59477806E+01
 1.83767891E+01 -1.58499193E+01
 1.80470276E+01 -1.57163000E+01
 1.77082634E+01 -1.55438805E+01
 1.73628807E+01 -1.53298616E+01
 1.70132828E+01 -1.50718021E+01
 1.66624451E+01 -1.47687387E+01
 1.63124657E+01 -1.44200420E+01
 1.59662247E+01 -1.40259600E+01
 1.56254196E+01 -1.35875416E+01
 1.52933121E+01 -1.31076002E+01
 1.49713516E+01 -1.25887012E+01
 1.46618462E+01 -1.20357418E+01
 1.43655205E+01 -1.14490986E+01
 1.40859604E+01 -1.08415985E+01
 1.38247681E+01 -1.02184391E+01
 1.35820007E+01 -9.58221912E+00
 1.33600998E+01 -8.94288063E+00
 1.31597328E+01 -8.30634117E+00
 1.29817581E+01 -7.67829895E+00
 1.28262329E+01 -7.06391811E+00
 1.26931000E+01 -6.46721840E+00
 1.25815582E+01 -5.89168072E+00
 1.24905205E+01 -5.33959866E+00
 1.24184608E+01 -4.81272221E+00
 1.23636055E+01 -4.31200028E+00
 1.23240662E+01 -3.83773804E+00
 1.22979164E+01 -3.38985920E+00
 1.22833252E+01 -2.96778202E+00
 1.22784805E+01 -2.57068157E+00
 1.22817612E+01 -2.19749928E+00
 1.22925568E+01 -1.82449818E+00
 1.23123550E+01 -1.42796040E+00
 1.23427773E+01 -1.00691795E+00
 1.23855591E+01 -5.60641289E-01
 1.24424934E+01 -8.86201858E-02
 1.25154495E+01 4.09159660E-01
 1.26061249E+01 9.32297707E-01
 1.27162170E+01 1.47982121E+00
 1.28470039E+01 2.04998016E+00
 1.29994011E+01 2.64029980E+00
 1.31739426E+01 3.24748039E+00
 1.33706284E+01 3.86744022E+00
 1.35891342E+01 4.49510098E+00
 1.38283730E+01 5.12447834E+00
 1.40875626E+01 5.75002194E+00
 1.43642235E+01 6.36141777E+00
 1.46580315E+01 6.95685864E+00
 1.49676514E+01 7.52943993E+00
 1.52897263E+01 8.06940079E+00
 1.56232643E+01 8.57376099E+00
 1.59660339E+01 9.03835774E+00
 1.63171577E+01 9.46020126E+00
 1.66732979E+01 9.83679772E+00
 1.70330811E+01 1.01660395E+01
 1.73935127E+01 1.04479980E+01
 1.77524757E+01 1.06825399E+01
 1.81069565E+01 1.08708811E+01
 1.84535789E+01 1.10153198E+01
 1.87900352E+01 1.11190987E+01
 1.91132164E+01 1.11857605E+01
 1.94210243E+01 1.12195778E+01
 1.97119713E+01 1.12256622E+01
 2.00025749E+01 1.12064791E+01
 2.03095436E+01 1.11586618E+01
 2.06313705E+01 1.10774612E+01
 2.09659576E+01 1.09583616E+01
 2.13103676E+01 1.07979822E+01
 2.16621780E+01 1.05929184E+01
 2.20179749E+01 1.03411818E+01
 2.23752975E+01 1.00412607E+01
 2.27315140E+01 9.69326019E+00
 2.30842781E+01 9.29699898E+00
 2.34311485E+01 8.85513782E+00
 2.37704086E+01 8.36850166E+00
 2.40988159E+01 7.84255982E+00
 2.44154549E+01 7.27965832E+00
 2.47174835E+01 6.68655872E+00
 2.50030136E+01 6.06877804E+00
 2.52699661E+01 5.43379784E+00
 2.55168724E+01 4.78747845E+00
 2.57421875E+01 4.13819790E+00
 2.59448242E+01 3.49157810E+00
 2.61243057E+01 2.85324097E+00
 2.62804985E+01 2.22908020E+00
 2.64140129E+01 1.62303925E+00
 2.65256882E+01 1.03849888E+00
 2.66170692E+01 4.78157997E-01
 2.66897774E+01 -5.64622879E-02
 2.67457199E+01 -5.64260483E-01
 2.67868805E+01 -1.04514122E+00
 2.68151474E+01 -1.49913788E+00
 2.68323135E+01 -1.92694187E+00
 2.68401527E+01 -2.32944012E+00
 2.68401718E+01 -2.70770073E+00
