TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.70384407E+01 -7.90706158E+00
 2.70354080E+01 -8.29333782E+00
 2.70241928E+01 -8.70413780E+00
 2.70034599E+01 -9.14050102E+00
 2.69713593E+01 -9.60326195E+00
 2.69263077E+01 -1.00929213E+01
 2.68663788E+01 -1.06097984E+01
 2.67898178E+01 -1.11532784E+01
 2.66948891E+01 -1.17227411E+01
 2.65799522E+01 -1.23159409E+01
 2.64438438E+01 -1.29307222E+01
 2.62853241E+01 -1.35632181E+01
 2.61038971E+01 -1.42085791E+01
 2.58988190E+01 -1.48626184E+01
 2.56706238E+01 -1.55176020E+01
 2.54191589E+01 -1.61665821E+01
 2.51453018E+01 -1.68032217E+01
 2.48500633E+01 -1.74190187E+01
 2.45350456E+01 -1.80067396E+01
 2.42018509E+01 -1.85602808E+01
 2.38531876E+01 -1.90730810E+01
 2.34910011E+01 -1.95415211E+01
 2.31190872E+01 -1.99607992E+01
 2.27396202E+01 -2.03297997E+01
 2.23566818E+01 -2.06464386E+01
 2.19733810E+01 -2.09113789E+01
 2.15936279E+01 -2.11253357E+01
 2.12210655E+01 -2.12910366E+01
 2.08591461E+01 -2.14115238E+01
 2.05110931E+01 -2.14913845E+01
 2.01793480E+01 -2.15349960E+01
 1.98657417E+01 -2.15481377E+01
 1.95713043E+01 -2.15351391E+01
 1.92786598E+01 -2.14982796E+01
 1.89710617E+01 -2.14334965E+01
 1.86496735E+01 -2.13364792E+01
 1.83163643E+01 -2.12036037E+01
 1.79735184E+01 -2.10311031E+01
 1.76238060E+01 -2.08164024E+01
 1.72694778E+01 -2.05566216E+01
 1.69138145E+01 -2.02505016E+01
 1.65592957E+01 -1.98971605E+01
 1.62090111E+01 -1.94967794E+01
 1.58650398E+01 -1.90498590E+01
 1.55311966E+01 -1.85599184E+01
 1.52087021E+01 -1.80286407E+01
 1.49009132E+01 -1.74621582E+01
 1.46071625E+01 -1.68590403E+01
 1.43326759E+01 -1.62348795E+01
 1.40781593E+01 -1.55952978E+01
 1.38427544E+01 -1.49410582E+01
 1.36290550E+01 -1.42838812E+01
 1.34369087E+01 -1.36297607E+01
 1.32670593E+01 -1.29846001E+01
 1.31192398E+01 -1.23537588E+01
 1.29932785E+01 -1.17413616E+01
 1.28882980E+01 -1.11509418E+01
 1.28033257E+01 -1.05848217E+01
 1.27368736E+01 -1.00447416E+01
 1.26873016E+01 -9.53157902E+00
 1.26527786E+01 -9.04568195E+00
 1.26314354E+01 -8.58689785E+00
 1.26214218E+01 -8.15460205E+00
 1.26210022E+01 -7.74794102E+00
 1.26284790E+01 -7.36588001E+00
 1.26435852E+01 -6.98401928E+00
 1.26679993E+01 -6.57814026E+00
 1.27034187E+01 -6.14721775E+00
 1.27515221E+01 -5.69052219E+00
 1.28141022E+01 -5.20748138E+00
 1.28929329E+01 -4.69810009E+00
 1.29896736E+01 -4.16269779E+00
 1.31057549E+01 -3.60229969E+00
 1.32423401E+01 -3.01857948E+00
 1.34000969E+01 -2.41394043E+00
 1.35793495E+01 -1.79172039E+00
 1.37796974E+01 -1.15600109E+00
 1.40005684E+01 -5.11779785E-01
 1.42408180E+01 1.34940147E-01
 1.44993401E+01 7.78460503E-01
 1.47732353E+01 1.40781879E+00
 1.50630188E+01 2.02204227E+00
 1.53669739E+01 2.61499882E+00
 1.56816864E+01 3.17383766E+00
 1.60061073E+01 3.69798183E+00
 1.63387489E+01 4.18181896E+00
 1.66785240E+01 4.62297916E+00
 1.70229530E+01 5.01850128E+00
 1.73712349E+01 5.36622048E+00
 1.77209663E+01 5.66539764E+00
 1.80709076E+01 5.91576099E+00
 1.84177589E+01 6.11715794E+00
 1.87593079E+01 6.27220154E+00
 1.90918922E+01 6.38281822E+00
 1.94125748E+01 6.45276070E+00
 1.97183800E+01 6.48749828E+00
 2.00074387E+01 6.49099827E+00
 2.02959442E+01 6.46687984E+00
 2.05994606E+01 6.41104221E+00
 2.09166336E+01 6.31842136E+00
 2.12443542E+01 6.18532181E+00
 2.15795326E+01 6.00769997E+00
 2.19196320E+01 5.78335762E+00
 2.22614670E+01 5.51095962E+00
 2.26035881E+01 5.18958092E+00
 2.29435349E+01 4.82034206E+00
 2.32804871E+01 4.40276146E+00
 2.36121178E+01 3.94052029E+00
 2.39373589E+01 3.43389988E+00
 2.42539978E+01 2.88871765E+00
 2.45602798E+01 2.30721951E+00
 2.48547935E+01 1.69633865E+00
 2.51346588E+01 1.06108189E+00
 2.53987885E+01 4.09898758E-01
 2.56448555E+01 -2.52699852E-01
 2.58714485E+01 -9.16738510E-01
 2.60771561E+01 -1.57772064E+00
 2.62611389E+01 -2.22996235E+00
 2.64229393E+01 -2.86719799E+00
 2.65626335E+01 -3.48576069E+00
 2.66807938E+01 -4.08242226E+00
 2.67786980E+01 -4.65429783E+00
 2.68577957E+01 -5.19998074E+00
 2.69198036E+01 -5.71834087E+00
 2.69665909E+01 -6.20925903E+00
 2.70001221E+01 -6.67280197E+00
 2.70221329E+01 -7.10966110E+00
 2.70343971E+01 -7.52069950E+00
 2.70384407E+01 -7.90706158E+00
