TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -3.34493399E+01 5.49478531E-01
 -3.34711218E+01 7.69500732E-01
 -3.35045576E+01 1.00262165E+00
 -3.35516119E+01 1.24892235E+00
 -3.36144781E+01 1.50834084E+00
 -3.36952734E+01 1.78055763E+00
 -3.37961912E+01 2.06459999E+00
 -3.39196348E+01 2.35958099E+00
 -3.40672636E+01 2.66362190E+00
 -3.42410421E+01 2.97485828E+00
 -3.44419432E+01 3.29071999E+00
 -3.46705580E+01 3.60822201E+00
 -3.49268675E+01 3.92434120E+00
 -3.52092505E+01 4.23542023E+00
 -3.55165243E+01 4.53829765E+00
 -3.58450270E+01 4.82944012E+00
 -3.61917830E+01 5.10600090E+00
 -3.65524626E+01 5.36536217E+00
 -3.69224310E+01 5.60547829E+00
 -3.72972631E+01 5.82511902E+00
 -3.76727629E+01 6.02352142E+00
 -3.80444479E+01 6.20049954E+00
 -3.84088469E+01 6.35665894E+00
 -3.87633848E+01 6.49288178E+00
 -3.91054106E+01 6.61019802E+00
 -3.94332266E+01 6.71006203E+00
 -3.97458029E+01 6.79403782E+00
 -4.00425863E+01 6.86364174E+00
 -4.03233004E+01 6.92029953E+00
 -4.05880404E+01 6.96544170E+00
 -4.08372164E+01 7.00037956E+00
 -4.10714388E+01 7.02638149E+00
 -4.12913752E+01 7.04455852E+00
 -4.15110636E+01 7.05644131E+00
 -4.17443800E+01 7.06188202E+00
 -4.19916773E+01 7.05912113E+00
 -4.22530413E+01 7.04607964E+00
 -4.25281572E+01 7.02022076E+00
 -4.28163576E+01 6.97872162E+00
 -4.31164789E+01 6.91830158E+00
 -4.34266043E+01 6.83527946E+00
 -4.37438631E+01 6.72579765E+00
 -4.40641832E+01 6.58626080E+00
 -4.43823576E+01 6.41392231E+00
 -4.46934557E+01 6.20647907E+00
 -4.49911642E+01 5.96312046E+00
 -4.52687216E+01 5.68555832E+00
 -4.55216360E+01 5.37631988E+00
 -4.57460832E+01 5.04045963E+00
 -4.59389162E+01 4.68406200E+00
 -4.61011839E+01 4.31342125E+00
 -4.62335444E+01 3.93564224E+00
 -4.63392592E+01 3.55634212E+00
 -4.64216185E+01 3.18106174E+00
 -4.64845038E+01 2.81370163E+00
 -4.65313768E+01 2.45761871E+00
 -4.65654230E+01 2.11495876E+00
 -4.65892840E+01 1.78730011E+00
 -4.66050577E+01 1.47550106E+00
 -4.66144991E+01 1.17991924E+00
 -4.66188955E+01 9.00602341E-01
 -4.66192770E+01 6.37221336E-01
 -4.66164827E+01 3.89280319E-01
 -4.66111040E+01 1.56202316E-01
 -4.66036177E+01 -6.27613068E-02
 -4.65938044E+01 -2.81620026E-01
 -4.65807200E+01 -5.14340401E-01
 -4.65637159E+01 -7.61561394E-01
 -4.65420008E+01 -1.02382183E+00
 -4.65145445E+01 -1.30152225E+00
 -4.64800406E+01 -1.59482002E+00
 -4.64368772E+01 -1.90353870E+00
 -4.63830996E+01 -2.22702026E+00
 -4.63161802E+01 -2.56405830E+00
 -4.62332773E+01 -2.91275978E+00
 -4.61310816E+01 -3.27025890E+00
 -4.60061788E+01 -3.63282204E+00
 -4.58550787E+01 -3.99558067E+00
 -4.56752634E+01 -4.35282230E+00
 -4.54647780E+01 -4.69793796E+00
 -4.52236414E+01 -5.02449989E+00
 -4.49538374E+01 -5.32599926E+00
 -4.46585226E+01 -5.59750080E+00
 -4.43427992E+01 -5.83536148E+00
 -4.40131044E+01 -6.03769779E+00
 -4.36749601E+01 -6.20495796E+00
 -4.33343554E+01 -6.33863926E+00
 -4.29968977E+01 -6.44147873E+00
 -4.26665831E+01 -6.51716232E+00
 -4.23464155E+01 -6.56949997E+00
 -4.20387983E+01 -6.60212040E+00
 -4.17452192E+01 -6.61839962E+00
 -4.14664412E+01 -6.62141800E+00
 -4.12027407E+01 -6.61382198E+00
 -4.09540796E+01 -6.59786224E+00
 -4.07201433E+01 -6.57536030E+00
 -4.05003786E+01 -6.54781818E+00
 -4.02808618E+01 -6.51430130E+00
 -4.00476599E+01 -6.47225857E+00
 -3.98001623E+01 -6.42049790E+00
 -3.95379210E+01 -6.35774136E+00
 -3.92606688E+01 -6.28255844E+00
 -3.89684629E+01 -6.19346142E+00
 -3.86617041E+01 -6.08890057E+00
 -3.83411932E+01 -5.96732140E+00
 -3.80082464E+01 -5.82719803E+00
 -3.76646948E+01 -5.66709995E+00
 -3.73133993E+01 -5.48592091E+00
 -3.69572592E+01 -5.28292179E+00
 -3.65998983E+01 -5.05770206E+00
 -3.62459135E+01 -4.81056213E+00
 -3.58997107E+01 -4.54244137E+00
 -3.55659056E+01 -4.25494194E+00
 -3.52489233E+01 -3.95033836E+00
 -3.49532270E+01 -3.63163948E+00
 -3.46815634E+01 -3.30202103E+00
 -3.44372892E+01 -2.96542168E+00
 -3.42213011E+01 -2.62536049E+00
 -3.40347815E+01 -2.28588104E+00
 -3.38770819E+01 -1.95020199E+00
 -3.37473249E+01 -1.62161827E+00
 -3.36436605E+01 -1.30259991E+00
 -3.35639143E+01 -9.95302200E-01
 -3.35057211E+01 -7.01217651E-01
 -3.34663725E+01 -4.21361923E-01
 -3.34434080E+01 -1.56359673E-01
 -3.34344244E+01 9.36794281E-02
 -3.34370565E+01 3.28841209E-01
 -3.34493399E+01 5.49478531E-01
