TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -1.17111778E+01 6.26640320E-01
 -1.17347527E+01 8.47101212E-01
 -1.17697334E+01 1.08064175E+00
 -1.18181229E+01 1.32731915E+00
 -1.18820572E+01 1.58716202E+00
 -1.19636536E+01 1.85977936E+00
 -1.20651054E+01 2.14424133E+00
 -1.21888351E+01 2.43968010E+00
 -1.23365593E+01 2.74412155E+00
 -1.25104332E+01 3.05572033E+00
 -1.27113342E+01 3.37175846E+00
 -1.29401588E+01 3.68922234E+00
 -1.31967354E+01 4.00494099E+00
 -1.34797668E+01 4.31518078E+00
 -1.37878799E+01 4.61668014E+00
 -1.41175270E+01 4.90585804E+00
 -1.44656563E+01 5.17982006E+00
 -1.48278999E+01 5.43603897E+00
 -1.51995277E+01 5.67252159E+00
 -1.55760193E+01 5.88813782E+00
 -1.59531593E+01 6.08222008E+00
 -1.63263130E+01 6.25473976E+00
 -1.66921043E+01 6.40637875E+00
 -1.70478630E+01 6.53808117E+00
 -1.73909187E+01 6.65095806E+00
 -1.77195740E+01 6.74655914E+00
 -1.80328941E+01 6.82643890E+00
 -1.83302307E+01 6.89209938E+00
 -1.86113548E+01 6.94501877E+00
 -1.88764000E+01 6.98659897E+00
 -1.91258049E+01 7.01819897E+00
 -1.93601227E+01 7.04103947E+00
 -1.95800781E+01 7.05622196E+00
 -1.97997093E+01 7.06510067E+00
 -2.00328636E+01 7.06731796E+00
 -2.02799034E+01 7.06111908E+00
 -2.05408478E+01 7.04438210E+00
 -2.08153534E+01 7.01459885E+00
 -2.11027145E+01 6.96891785E+00
 -2.14017487E+01 6.90410137E+00
 -2.17103958E+01 6.81645870E+00
 -2.20258141E+01 6.70211792E+00
 -2.23438454E+01 6.55764103E+00
 -2.26591873E+01 6.38038158E+00
 -2.29670525E+01 6.16806030E+00
 -2.32609177E+01 5.92000008E+00
 -2.35342598E+01 5.63811779E+00
 -2.37826729E+01 5.32495976E+00
 -2.40024948E+01 4.98573780E+00
 -2.41905594E+01 4.62647915E+00
 -2.43484116E+01 4.25354004E+00
 -2.44765472E+01 3.87400150E+00
 -2.45784950E+01 3.49328041E+00
 -2.46574974E+01 3.11697960E+00
 -2.47174644E+01 2.74881840E+00
 -2.47617912E+01 2.39215851E+00
 -2.47936058E+01 2.04904079E+00
 -2.48154831E+01 1.72101974E+00
 -2.48294640E+01 1.40895844E+00
 -2.48372078E+01 1.11318111E+00
 -2.48399925E+01 8.33721161E-01
 -2.48388290E+01 5.70240021E-01
 -2.48344994E+01 3.22241783E-01
 -2.48275948E+01 8.91208649E-02
 -2.48186493E+01 -1.29861832E-01
 -2.48072624E+01 -3.48701477E-01
 -2.47924232E+01 -5.81359863E-01
 -2.47734642E+01 -8.28480720E-01
 -2.47495270E+01 -1.09062195E+00
 -2.47195625E+01 -1.36809826E+00
 -2.46822929E+01 -1.66108131E+00
 -2.46360779E+01 -1.96938038E+00
 -2.45789146E+01 -2.29231834E+00
 -2.45083618E+01 -2.62864113E+00
 -2.44215393E+01 -2.97637939E+00
 -2.43152046E+01 -3.33271980E+00
 -2.41860390E+01 -3.69378090E+00
 -2.40305138E+01 -4.05476093E+00
 -2.38464546E+01 -4.40981865E+00
 -2.36317062E+01 -4.75245953E+00
 -2.33867073E+01 -5.07619858E+00
 -2.31132889E+01 -5.37457943E+00
 -2.28147507E+01 -5.64280033E+00
 -2.24963379E+01 -5.87721825E+00
 -2.21644211E+01 -6.07619762E+00
 -2.18244171E+01 -6.24015808E+00
 -2.14824677E+01 -6.37060166E+00
 -2.11440086E+01 -6.47044182E+00
 -2.08128929E+01 -6.54339790E+00
 -2.04922485E+01 -6.59319878E+00
 -2.01843452E+01 -6.62347794E+00
 -1.98905945E+01 -6.63762092E+00
 -1.96117973E+01 -6.63871765E+00
 -1.93481827E+01 -6.62940025E+00
 -1.90996361E+01 -6.61183834E+00
 -1.88658524E+01 -6.58785820E+00
 -1.86463356E+01 -6.55898094E+00
 -1.84270859E+01 -6.52411938E+00
 -1.81942177E+01 -6.48067951E+00
 -1.79471397E+01 -6.42747879E+00
 -1.76853943E+01 -6.36315823E+00
 -1.74087524E+01 -6.28633976E+00
 -1.71173286E+01 -6.19547844E+00
 -1.68114853E+01 -6.08901978E+00
 -1.64920998E+01 -5.96538067E+00
 -1.61605072E+01 -5.82300186E+00
 -1.58186150E+01 -5.66038132E+00
 -1.54693031E+01 -5.47639847E+00
 -1.51155663E+01 -5.27026176E+00
 -1.47611237E+01 -5.04149914E+00
 -1.44106865E+01 -4.79037762E+00
 -1.40686226E+01 -4.51791763E+00
 -1.37396431E+01 -4.22565937E+00
 -1.34282494E+01 -3.91600132E+00
 -1.31388092E+01 -3.59206200E+00
 -1.28739166E+01 -3.25716019E+00
 -1.26369476E+01 -2.91545868E+00
 -1.24283791E+01 -2.57058144E+00
 -1.22494125E+01 -2.22675800E+00
 -1.20989799E+01 -1.88722134E+00
 -1.19761848E+01 -1.55538082E+00
 -1.18788719E+01 -1.23363972E+00
 -1.18049049E+01 -9.24181938E-01
 -1.17517662E+01 -6.28380776E-01
 -1.17168045E+01 -3.47180367E-01
 -1.16975403E+01 -8.11195374E-02
 -1.16916466E+01 1.69720650E-01
 -1.16968155E+01 4.05502319E-01
 -1.17111778E+01 6.26640320E-01
