TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.95703506E+00 7.64141083E-01
 6.93756104E+00 9.91082192E-01
 6.90912247E+00 1.23186111E+00
 6.87007904E+00 1.48680210E+00
 6.81858063E+00 1.75611973E+00
 6.75283432E+00 2.03983784E+00
 6.67078018E+00 2.33726025E+00
 6.57003403E+00 2.64788151E+00
 6.44886017E+00 2.96998024E+00
 6.30474090E+00 3.30192089E+00
 6.13630295E+00 3.64098072E+00
 5.94186783E+00 3.98402214E+00
 5.72080612E+00 4.32740212E+00
 5.47319412E+00 4.66680050E+00
 5.19966126E+00 4.99797821E+00
 4.90251541E+00 5.31638146E+00
 4.58417892E+00 5.61801910E+00
 4.24860001E+00 5.89923859E+00
 3.89995575E+00 6.15727902E+00
 3.54305267E+00 6.39029980E+00
 3.18229675E+00 6.59743786E+00
 2.82251358E+00 6.77859783E+00
 2.46768951E+00 6.93458080E+00
 2.12087631E+00 7.06679821E+00
 1.78520203E+00 7.17691898E+00
 1.46270752E+00 7.26696014E+00
 1.15463257E+00 7.33890057E+00
 8.61873627E-01 7.39476204E+00
 5.84888458E-01 7.43651867E+00
 3.23657990E-01 7.46597767E+00
 7.79151916E-02 7.48477936E+00
 -1.52835846E-01 7.49442100E+00
 -3.69262695E-01 7.49616146E+00
 -5.85079193E-01 7.49070168E+00
 -8.13884735E-01 7.47672081E+00
 -1.05579376E+00 7.45234013E+00
 -1.31069183E+00 7.41534233E+00
 -1.57802582E+00 7.36316204E+00
 -1.85684204E+00 7.29293823E+00
 -2.14563370E+00 7.20163822E+00
 -2.44220734E+00 7.08591938E+00
 -2.74339676E+00 6.94253922E+00
 -3.04510117E+00 6.76869869E+00
 -3.34228516E+00 6.56260014E+00
 -3.63046646E+00 6.32287979E+00
 -3.90375137E+00 6.04979992E+00
 -4.15710449E+00 5.74594021E+00
 -4.38669205E+00 5.41431904E+00
 -4.59041596E+00 5.06015778E+00
 -4.76589203E+00 4.68922138E+00
 -4.91527557E+00 4.30734158E+00
 -5.03894806E+00 3.92094135E+00
 -5.14005661E+00 3.53477955E+00
 -5.22111893E+00 3.15398216E+00
 -5.28505325E+00 2.78185844E+00
 -5.33439636E+00 2.42156029E+00
 -5.37145615E+00 2.07499981E+00
 -5.39825440E+00 1.74367905E+00
 -5.41639328E+00 1.42841816E+00
 -5.42739868E+00 1.12959862E+00
 -5.43241501E+00 8.47258568E-01
 -5.43249130E+00 5.81059456E-01
 -5.42850494E+00 3.30538750E-01
 -5.42116165E+00 9.50622558E-02
 -5.41112900E+00 -1.26080513E-01
 -5.39800644E+00 -3.47042084E-01
 -5.38063049E+00 -5.81879616E-01
 -5.35827637E+00 -8.31198692E-01
 -5.33004761E+00 -1.09556198E+00
 -5.29485702E+00 -1.37527943E+00
 -5.25152206E+00 -1.67047977E+00
 -5.19861221E+00 -1.98093891E+00
 -5.13448715E+00 -2.30604172E+00
 -5.05716324E+00 -2.64460087E+00
 -4.96448517E+00 -2.99481869E+00
 -4.85397339E+00 -3.35410118E+00
 -4.72307205E+00 -3.71893883E+00
 -4.56895828E+00 -4.08504009E+00
 -4.38982010E+00 -4.44715977E+00
 -4.18354034E+00 -4.79934216E+00
 -3.95021439E+00 -5.13556004E+00
 -3.69073868E+00 -5.44966221E+00
 -3.40780258E+00 -5.73657990E+00
 -3.10514450E+00 -5.99239826E+00
 -2.78856277E+00 -6.21461868E+00
 -2.46282578E+00 -6.40292168E+00
 -2.13354111E+00 -6.55794144E+00
 -1.80612564E+00 -6.68163776E+00
 -1.48445129E+00 -6.77708149E+00
 -1.17176056E+00 -6.84758186E+00
 -8.70647430E-01 -6.89641952E+00
 -5.82714081E-01 -6.92696094E+00
 -3.08971405E-01 -6.94225788E+00
 -4.98580933E-02 -6.94501877E+00
 1.94587708E-01 -6.93759918E+00
 4.24556732E-01 -6.92195892E+00
 6.40525818E-01 -6.89983845E+00
 8.56113434E-01 -6.87064171E+00
 1.08495712E+00 -6.83199882E+00
 1.32747650E+00 -6.78246021E+00
 1.58397675E+00 -6.72039986E+00
 1.85447693E+00 -6.64402008E+00
 2.13861465E+00 -6.55136108E+00
 2.43568420E+00 -6.44038200E+00
 2.74442673E+00 -6.30916119E+00
 3.06306839E+00 -6.15580082E+00
 3.38930130E+00 -5.97836018E+00
 3.71986389E+00 -5.77541828E+00
 4.05103684E+00 -5.54637909E+00
 4.37917709E+00 -5.29079914E+00
 4.69936371E+00 -5.00956058E+00
 5.00711441E+00 -4.70451832E+00
 5.29867172E+00 -4.37791824E+00
 5.56970596E+00 -4.03378010E+00
 5.81756592E+00 -3.67576122E+00
 6.04013443E+00 -3.30883980E+00
 6.23601914E+00 -2.93735981E+00
 6.40539169E+00 -2.56601810E+00
 6.54851914E+00 -2.19888210E+00
 6.66700363E+00 -1.83941841E+00
 6.76240921E+00 -1.49065971E+00
 6.83698654E+00 -1.15471840E+00
 6.89294815E+00 -8.33258629E-01
 6.93252564E+00 -5.27300835E-01
 6.95798874E+00 -2.37321854E-01
 6.97143555E+00 3.65018845E-02
 6.97458267E+00 2.94380188E-01
 6.96931839E+00 5.36742210E-01
 6.95703506E+00 7.64141083E-01
