TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.79533768E+01 1.13463879E+00
 1.79385948E+01 1.36881828E+00
 1.79170799E+01 1.61759853E+00
 1.78874969E+01 1.88144207E+00
 1.78484726E+01 2.16072083E+00
 1.77985382E+01 2.45575905E+00
 1.77360916E+01 2.76619911E+00
 1.76592064E+01 3.09182167E+00
 1.75663376E+01 3.43145847E+00
 1.74554062E+01 3.78369808E+00
 1.73249626E+01 4.14653778E+00
 1.71733475E+01 4.51694012E+00
 1.69994354E+01 4.89173889E+00
 1.68026924E+01 5.26673794E+00
 1.65828514E+01 5.63744068E+00
 1.63408661E+01 5.99909782E+00
 1.60779572E+01 6.34674072E+00
 1.57964325E+01 6.67583942E+00
 1.54993248E+01 6.98219776E+00
 1.51900864E+01 7.26252079E+00
 1.48723602E+01 7.51441956E+00
 1.45506287E+01 7.73635864E+00
 1.42284966E+01 7.92811870E+00
 1.39094353E+01 8.09011936E+00
 1.35969543E+01 8.22351932E+00
 1.32936287E+01 8.33025932E+00
 1.30014420E+01 8.41256142E+00
 1.27219582E+01 8.47280026E+00
 1.24562454E+01 8.51347923E+00
 1.22048950E+01 8.53713989E+00
 1.19681358E+01 8.54621887E+00
 1.17458344E+01 8.54290008E+00
 1.15376854E+01 8.52923870E+00
 1.13306236E+01 8.50532055E+00
 1.11119843E+01 8.46854210E+00
 1.08819580E+01 8.41668129E+00
 1.06411743E+01 8.34727764E+00
 1.03906631E+01 8.25778008E+00
 1.01317596E+01 8.14561844E+00
 9.86627579E+00 8.00827980E+00
 9.59659576E+00 7.84364224E+00
 9.32548523E+00 7.64994144E+00
 9.05597687E+00 7.42619991E+00
 8.79156113E+00 7.17259884E+00
 8.53481293E+00 6.88968182E+00
 8.28874588E+00 6.57901764E+00
 8.05624008E+00 6.24422073E+00
 7.83874512E+00 5.88768005E+00
 7.63782501E+00 5.51464081E+00
 7.45525360E+00 5.12864113E+00
 7.29072571E+00 4.73507881E+00
 7.14534760E+00 4.33832168E+00
 7.01843262E+00 3.94256115E+00
 6.90980911E+00 3.55212212E+00
 6.81848526E+00 3.17001820E+00
 6.74348831E+00 2.79930115E+00
 6.68352127E+00 2.44197845E+00
 6.63711548E+00 2.09971905E+00
 6.60291672E+00 1.77350044E+00
 6.57930374E+00 1.46389961E+00
 6.56494141E+00 1.17109776E+00
 6.55841827E+00 8.94899368E-01
 6.55849457E+00 6.34899140E-01
 6.56410217E+00 3.90539169E-01
 6.57417297E+00 1.61118507E-01
 6.58893585E+00 -6.80208206E-02
 6.60978317E+00 -3.11398506E-01
 6.63770676E+00 -5.69558144E-01
 6.67388916E+00 -8.42981338E-01
 6.71953201E+00 -1.13182068E+00
 6.77604675E+00 -1.43616199E+00
 6.84471130E+00 -1.75559998E+00
 6.92699432E+00 -2.08943844E+00
 7.02421188E+00 -2.43641853E+00
 7.13771820E+00 -2.79473782E+00
 7.26858139E+00 -3.16215992E+00
 7.41775513E+00 -3.53549957E+00
 7.58602142E+00 -3.91133785E+00
 7.77345657E+00 -4.28540230E+00
 7.98044205E+00 -4.65313912E+00
 8.20617676E+00 -5.00964165E+00
 8.45006943E+00 -5.35024166E+00
 8.71009827E+00 -5.66977978E+00
 8.98557663E+00 -5.96476078E+00
 9.27177429E+00 -6.23095989E+00
 9.56731796E+00 -6.46664143E+00
 9.86827850E+00 -6.67002201E+00
 1.01699829E+01 -6.84088230E+00
 1.04694557E+01 -6.98066234E+00
 1.07635880E+01 -7.09102154E+00
 1.10491943E+01 -7.17413902E+00
 1.13241386E+01 -7.23303795E+00
 1.15868950E+01 -7.27089882E+00
 1.18364716E+01 -7.29080200E+00
 1.20722771E+01 -7.29549885E+00
 1.22941780E+01 -7.28762150E+00
 1.25023460E+01 -7.26955891E+00
 1.27097321E+01 -7.24135876E+00
 1.29291344E+01 -7.20046043E+00
 1.31606483E+01 -7.14481830E+00
 1.34040642E+01 -7.07223892E+00
 1.36588669E+01 -6.98058128E+00
 1.39240074E+01 -6.86778068E+00
 1.41982841E+01 -6.73175812E+00
 1.44801331E+01 -6.57023907E+00
 1.47672844E+01 -6.38150215E+00
 1.50565720E+01 -6.16467953E+00
 1.53456688E+01 -5.91894150E+00
 1.56311226E+01 -5.64447880E+00
 1.59086227E+01 -5.34276009E+00
 1.61761093E+01 -5.01488209E+00
 1.64286995E+01 -4.66509819E+00
 1.66651154E+01 -4.29557800E+00
 1.68817329E+01 -3.91223907E+00
 1.70778465E+01 -3.51819992E+00
 1.72519684E+01 -3.11974049E+00
 1.74040413E+01 -2.72021770E+00
 1.75344849E+01 -2.32490063E+00
 1.76441383E+01 -1.93694115E+00
 1.77344131E+01 -1.55970097E+00
 1.78068733E+01 -1.19559765E+00
 1.78632736E+01 -8.46400261E-01
 1.79055405E+01 -5.13319969E-01
 1.79353333E+01 -1.97057724E-01
 1.79544640E+01 1.02219582E-01
 1.79644966E+01 3.84521484E-01
 1.79667473E+01 6.50300980E-01
 1.79627228E+01 9.00101662E-01
 1.79533768E+01 1.13463879E+00
