TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.24082756E+01 2.04174042E+00
 2.23946762E+01 2.28149891E+00
 2.23749924E+01 2.53627777E+00
 2.23480606E+01 2.80657768E+00
 2.23126030E+01 3.09278011E+00
 2.22673798E+01 3.39536190E+00
 2.22109604E+01 3.71404171E+00
 2.21417046E+01 4.04860020E+00
 2.20582771E+01 4.39822197E+00
 2.19589424E+01 4.76140022E+00
 2.18424225E+01 5.13654232E+00
 2.17073441E+01 5.52065849E+00
 2.15527344E+01 5.91090202E+00
 2.13780022E+01 6.30331993E+00
 2.11828804E+01 6.69332028E+00
 2.09677315E+01 7.07657814E+00
 2.07334137E+01 7.44775772E+00
 2.04814148E+01 7.80220032E+00
 2.02136993E+01 8.13526154E+00
 1.99328613E+01 8.44285965E+00
 1.96416283E+01 8.72178078E+00
 1.93434525E+01 8.96957874E+00
 1.90417290E+01 9.18491840E+00
 1.87396240E+01 9.36744213E+00
 1.84407043E+01 9.51764107E+00
 1.81479073E+01 9.63699818E+00
 1.78638268E+01 9.72764015E+00
 1.75905418E+01 9.79218006E+00
 1.73296928E+01 9.83352184E+00
 1.70824432E+01 9.85467911E+00
 1.68493462E+01 9.85857964E+00
 1.66306305E+01 9.84809876E+00
 1.64261436E+01 9.82580185E+00
 1.62232018E+01 9.79154110E+00
 1.60095406E+01 9.74225998E+00
 1.57856178E+01 9.67567921E+00
 1.55521965E+01 9.58946228E+00
 1.53103256E+01 9.48123932E+00
 1.50613403E+01 9.34874058E+00
 1.48070526E+01 9.19003964E+00
 1.45495033E+01 9.00355816E+00
 1.42907906E+01 8.78819942E+00
 1.40333748E+01 8.54343891E+00
 1.37801170E+01 8.26983929E+00
 1.35328865E+01 7.96830177E+00
 1.32941818E+01 7.64029980E+00
 1.30666542E+01 7.28940010E+00
 1.28517342E+01 6.91751957E+00
 1.26514244E+01 6.53024197E+00
 1.24673843E+01 6.12994194E+00
 1.23002243E+01 5.72294235E+00
 1.21510887E+01 5.31260014E+00
 1.20199203E+01 4.90362167E+00
 1.19067955E+01 4.50012207E+00
 1.18110275E+01 4.10520077E+00
 1.17318344E+01 3.72196198E+00
 1.16680908E+01 3.35247993E+00
 1.16184235E+01 2.99849987E+00
 1.15814209E+01 2.66104221E+00
 1.15555954E+01 2.34069824E+00
 1.15395164E+01 2.03772068E+00
 1.15317535E+01 1.75189972E+00
 1.15310287E+01 1.48283958E+00
 1.15361404E+01 1.22998238E+00
 1.15460396E+01 9.92560387E-01
 1.15608788E+01 7.55481720E-01
 1.15820885E+01 5.03678322E-01
 1.16106606E+01 2.36601830E-01
 1.16478539E+01 -4.62198258E-02
 1.16949272E+01 -3.44958305E-01
 1.17531967E+01 -6.59618378E-01
 1.18240166E+01 -9.89818573E-01
 1.19087982E+01 -1.33478165E+00
 1.20087814E+01 -1.69325829E+00
 1.21251488E+01 -2.06336021E+00
 1.22588539E+01 -2.44281769E+00
 1.24106216E+01 -2.82845974E+00
 1.25808907E+01 -3.21671963E+00
 1.27695084E+01 -3.60367775E+00
 1.29763222E+01 -3.98451805E+00
 1.32003021E+01 -4.35478210E+00
 1.34405136E+01 -4.70982075E+00
 1.36949158E+01 -5.04504204E+00
 1.39624214E+01 -5.35652161E+00
 1.42395782E+01 -5.64082146E+00
 1.45245934E+01 -5.89540005E+00
 1.48146248E+01 -6.11852169E+00
 1.51058388E+01 -6.30918026E+00
 1.53957558E+01 -6.46790028E+00
 1.56814766E+01 -6.59562111E+00
 1.59600449E+01 -6.69404030E+00
 1.62291336E+01 -6.76583767E+00
 1.64871216E+01 -6.81392193E+00
 1.67325974E+01 -6.84112072E+00
 1.69647408E+01 -6.85038090E+00
 1.71832275E+01 -6.84452057E+00
 1.73880196E+01 -6.82630062E+00
 1.75916862E+01 -6.79595947E+00
 1.78064919E+01 -6.75067902E+00
 1.80321884E+01 -6.68807983E+00
 1.82682419E+01 -6.60572052E+00
 1.85136795E+01 -6.50112152E+00
 1.87669563E+01 -6.37221813E+00
 1.90265656E+01 -6.21699810E+00
 1.92907524E+01 -6.03357792E+00
 1.95570946E+01 -5.82077980E+00
 1.98228073E+01 -5.57829857E+00
 2.00858307E+01 -5.30593872E+00
 2.03431320E+01 -5.00480175E+00
 2.05917168E+01 -4.67669964E+00
 2.08298874E+01 -4.32384014E+00
 2.10540390E+01 -3.95041943E+00
 2.12633133E+01 -3.55912209E+00
 2.14549446E+01 -3.15596104E+00
 2.16286087E+01 -2.74390221E+00
 2.17829895E+01 -2.32937813E+00
 2.19181442E+01 -1.91527843E+00
 2.20343399E+01 -1.50691986E+00
 2.21322823E+01 -1.10712051E+00
 2.22130966E+01 -7.19161034E-01
 2.22780418E+01 -3.45220566E-01
 2.23286438E+01 1.29985809E-02
 2.23665428E+01 3.54399681E-01
 2.23932266E+01 6.78400993E-01
 2.24102402E+01 9.84840393E-01
 2.24190712E+01 1.27384186E+00
 2.24208450E+01 1.54592037E+00
 2.24169540E+01 1.80163860E+00
 2.24082756E+01 2.04174042E+00
