TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.44209146E+01 7.59992123E+00
 2.44086695E+01 7.84719944E+00
 2.43906069E+01 8.10999870E+00
 2.43656206E+01 8.38883877E+00
 2.43325663E+01 8.68410110E+00
 2.42902231E+01 8.99633884E+00
 2.42373133E+01 9.32529926E+00
 2.41723871E+01 9.67072010E+00
 2.40942049E+01 1.00320387E+01
 2.40012026E+01 1.04074383E+01
 2.38921213E+01 1.07958221E+01
 2.37658167E+01 1.11938190E+01
 2.36215067E+01 1.15988016E+01
 2.34584475E+01 1.20069599E+01
 2.32762957E+01 1.24133587E+01
 2.30753374E+01 1.28140211E+01
 2.28562784E+01 1.32031202E+01
 2.26198626E+01 1.35763407E+01
 2.23680544E+01 1.39281797E+01
 2.21024752E+01 1.42549181E+01
 2.18257952E+01 1.45524216E+01
 2.15406275E+01 1.48179579E+01
 2.12499285E+01 1.50497389E+01
 2.09570742E+01 1.52465391E+01
 2.06651735E+01 1.54088783E+01
 2.03776407E+01 1.55376387E+01
 2.00972414E+01 1.56348610E+01
 1.98265123E+01 1.57033205E+01
 1.95675135E+01 1.57461214E+01
 1.93216181E+01 1.57665014E+01
 1.90897226E+01 1.57679796E+01
 1.88722849E+01 1.57536411E+01
 1.86692286E+01 1.57263422E+01
 1.84680223E+01 1.56860590E+01
 1.82566881E+01 1.56292582E+01
 1.80357981E+01 1.55535412E+01
 1.78061724E+01 1.54565620E+01
 1.75689936E+01 1.53360796E+01
 1.73258257E+01 1.51900387E+01
 1.70781755E+01 1.50163794E+01
 1.68281984E+01 1.48139191E+01
 1.65778971E+01 1.45817614E+01
 1.63294268E+01 1.43194008E+01
 1.60853243E+01 1.40276384E+01
 1.58477068E+01 1.37076807E+01
 1.56184626E+01 1.33605814E+01
 1.54005289E+01 1.29907990E+01
 1.51947069E+01 1.25992823E+01
 1.50036097E+01 1.21932793E+01
 1.48279810E+01 1.17733622E+01
 1.46691561E+01 1.13480186E+01
 1.45275354E+01 1.09191418E+01
 1.44034052E+01 1.04924822E+01
 1.42966318E+01 1.00719213E+01
 1.42065668E+01 9.66065884E+00
 1.41324663E+01 9.26189900E+00
 1.40732241E+01 8.87767792E+00
 1.40275431E+01 8.50979805E+00
 1.39941263E+01 8.15921784E+00
 1.39714861E+01 7.82660008E+00
 1.39582682E+01 7.51207828E+00
 1.39530611E+01 7.21543789E+00
 1.39546633E+01 6.93627834E+00
 1.39618921E+01 6.67396068E+00
 1.39737177E+01 6.42772198E+00
 1.39903879E+01 6.18182182E+00
 1.40134287E+01 5.92070103E+00
 1.40438318E+01 5.64373970E+00
 1.40828371E+01 5.35048008E+00
 1.41315889E+01 5.04069805E+00
 1.41913462E+01 4.71436024E+00
 1.42633677E+01 4.37185764E+00
 1.43488741E+01 4.01391983E+00
 1.44490671E+01 3.64180088E+00
 1.45648813E+01 3.25739861E+00
 1.46971369E+01 2.86292076E+00
 1.48463678E+01 2.46153831E+00
 1.50127840E+01 2.05701828E+00
 1.51963282E+01 1.65284157E+00
 1.53965425E+01 1.25455856E+00
 1.56126070E+01 8.65879059E-01
 1.58433771E+01 4.92300987E-01
 1.60876322E+01 1.37619972E-01
 1.63434649E+01 -1.92861557E-01
 1.66091967E+01 -4.97059822E-01
 1.68824244E+01 -7.70540238E-01
 1.71613359E+01 -1.01212025E+00
 1.74427843E+01 -1.22004032E+00
 1.77242327E+01 -1.39386177E+00
 1.80031633E+01 -1.53436184E+00
 1.82762766E+01 -1.64274216E+00
 1.85413408E+01 -1.72145844E+00
 1.87961245E+01 -1.77336216E+00
 1.90388536E+01 -1.80146217E+00
 1.92684221E+01 -1.80908203E+00
 1.94842577E+01 -1.79964066E+00
 1.96861887E+01 -1.77609921E+00
 1.98863459E+01 -1.73850060E+00
 2.00966692E+01 -1.68357849E+00
 2.03163576E+01 -1.60885811E+00
 2.05445910E+01 -1.51175976E+00
 2.07802629E+01 -1.38978004E+00
 2.10214663E+01 -1.24105930E+00
 2.12663889E+01 -1.06410027E+00
 2.15136194E+01 -8.57181549E-01
 2.17609453E+01 -6.19978905E-01
 2.20060396E+01 -3.52678299E-01
 2.22477007E+01 -5.52988052E-02
 2.24831629E+01 2.69899368E-01
 2.27108049E+01 6.21662140E-01
 2.29288149E+01 9.96680260E-01
 2.31346941E+01 1.39145851E+00
 2.33276796E+01 1.80255890E+00
 2.35054827E+01 2.22437859E+00
 2.36674356E+01 2.65401840E+00
 2.38124895E+01 3.08482170E+00
 2.39405680E+01 3.51441860E+00
 2.40513659E+01 3.93715858E+00
 2.41454554E+01 4.35068130E+00
 2.42237329E+01 4.75150108E+00
 2.42871523E+01 5.13760090E+00
 2.43369913E+01 5.50732136E+00
 2.43746805E+01 5.85956097E+00
 2.44015360E+01 6.19379997E+00
 2.44190836E+01 6.50990009E+00
 2.44286394E+01 6.80796146E+00
 2.44313097E+01 7.08856106E+00
 2.44284678E+01 7.35228062E+00
 2.44209146E+01 7.59992123E+00
