TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.51840782E+01 3.65585804E+01
 2.51792717E+01 3.68048000E+01
 2.51685905E+01 3.70666027E+01
 2.51507759E+01 3.73444366E+01
 2.51245308E+01 3.76386642E+01
 2.50885391E+01 3.79498196E+01
 2.50412941E+01 3.82776356E+01
 2.49810600E+01 3.86217403E+01
 2.49062729E+01 3.89815807E+01
 2.48151207E+01 3.93550396E+01
 2.47059250E+01 3.97410583E+01
 2.45772362E+01 4.01359367E+01
 2.44278908E+01 4.05369186E+01
 2.42568207E+01 4.09399605E+01
 2.40638924E+01 4.13396644E+01
 2.38491631E+01 4.17322445E+01
 2.36135674E+01 4.21113396E+01
 2.33585548E+01 4.24725246E+01
 2.30864334E+01 4.28107166E+01
 2.27997017E+01 4.31219768E+01
 2.25019455E+01 4.34024429E+01
 2.21961975E+01 4.36505413E+01
 2.18868828E+01 4.38640213E+01
 2.15769958E+01 4.40435791E+01
 2.12707520E+01 4.41895390E+01
 2.09709930E+01 4.43037605E+01
 2.06805229E+01 4.43887997E+01
 2.04016876E+01 4.44474220E+01
 2.01357651E+01 4.44826984E+01
 1.98839760E+01 4.44982242E+01
 1.96468735E+01 4.44966412E+01
 1.94245529E+01 4.44809246E+01
 1.92167282E+01 4.44540024E+01
 1.90105438E+01 4.44152355E+01
 1.87934875E+01 4.43611812E+01
 1.85657310E+01 4.42896843E+01
 1.83281517E+01 4.41984844E+01
 1.80817223E+01 4.40851402E+01
 1.78273010E+01 4.39469624E+01
 1.75672722E+01 4.37826634E+01
 1.73033524E+01 4.35899639E+01
 1.70375061E+01 4.33669758E+01
 1.67733192E+01 4.31146240E+01
 1.65127945E+01 4.28314400E+01
 1.62593842E+01 4.25189209E+01
 1.60156822E+01 4.21786404E+01
 1.57848167E+01 4.18140793E+01
 1.55686378E+01 4.14260197E+01
 1.53705215E+01 4.10230827E+01
 1.51904869E+01 4.06042576E+01
 1.50310707E+01 4.01797008E+01
 1.48919868E+01 3.97505760E+01
 1.47732735E+01 3.93235016E+01
 1.46744728E+01 3.89021969E+01
 1.45943832E+01 3.84902000E+01
 1.45317268E+01 3.80908585E+01
 1.44849014E+01 3.77062988E+01
 1.44522476E+01 3.73383617E+01
 1.44321251E+01 3.69879818E+01
 1.44228172E+01 3.66558647E+01
 1.44228363E+01 3.63420963E+01
 1.44306946E+01 3.60464382E+01
 1.44450951E+01 3.57684612E+01
 1.44648743E+01 3.55075169E+01
 1.44889259E+01 3.52628231E+01
 1.45182800E+01 3.50187206E+01
 1.45553207E+01 3.47597790E+01
 1.46011543E+01 3.44854641E+01
 1.46570778E+01 3.41954041E+01
 1.47243309E+01 3.38893986E+01
 1.48041725E+01 3.35675430E+01
 1.48977470E+01 3.32301807E+01
 1.50060272E+01 3.28780842E+01
 1.51297188E+01 3.25123787E+01
 1.52691078E+01 3.21347809E+01
 1.54241943E+01 3.17470837E+01
 1.55945206E+01 3.13520813E+01
 1.57789803E+01 3.09531021E+01
 1.59766006E+01 3.05525780E+01
 1.61859322E+01 3.01560211E+01
 1.64057732E+01 2.97661781E+01
 1.66346550E+01 2.93888378E+01
 1.68726349E+01 2.90268993E+01
 1.71177864E+01 2.86874962E+01
 1.73711967E+01 2.83715630E+01
 1.76310349E+01 2.80858421E+01
 1.78968620E+01 2.78321171E+01
 1.81673813E+01 2.76121426E+01
 1.84392166E+01 2.74289989E+01
 1.87108612E+01 2.72807980E+01
 1.89784431E+01 2.71673203E+01
 1.92390442E+01 2.70864582E+01
 1.94903374E+01 2.70349407E+01
 1.97298241E+01 2.70088387E+01
 1.99561310E+01 2.70053387E+01
 2.01686668E+01 2.70203972E+01
 2.03670311E+01 2.70501804E+01
 2.05627632E+01 2.70953560E+01
 2.07673454E+01 2.71599007E+01
 2.09803009E+01 2.72463226E+01
 2.11998749E+01 2.73565960E+01
 2.14241982E+01 2.74927425E+01
 2.16524887E+01 2.76579762E+01
 2.18824959E+01 2.78524399E+01
 2.21122742E+01 2.80760193E+01
 2.23415756E+01 2.83306217E+01
 2.25685883E+01 2.86143589E+01
 2.27927208E+01 2.89255047E+01
 2.30137444E+01 2.92628956E+01
 2.32305145E+01 2.96242046E+01
 2.34423256E+01 3.00047779E+01
 2.36481285E+01 3.04030418E+01
 2.38459969E+01 3.08143997E+01
 2.40340805E+01 3.12341404E+01
 2.42109680E+01 3.16601372E+01
 2.43737984E+01 3.20860767E+01
 2.45219612E+01 3.25103378E+01
 2.46538353E+01 3.29275036E+01
 2.47690392E+01 3.33358383E+01
 2.48676491E+01 3.37318611E+01
 2.49502373E+01 3.41137409E+01
 2.50177765E+01 3.44798374E+01
 2.50715637E+01 3.48289585E+01
 2.51128960E+01 3.51605988E+01
 2.51433945E+01 3.54744816E+01
 2.51645088E+01 3.57706833E+01
 2.51774216E+01 3.60496998E+01
 2.51836205E+01 3.63120842E+01
 2.51840782E+01 3.65585804E+01
