TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -1.55483055E+01 1.71422958E-02
 -1.55541611E+01 2.21700668E-01
 -1.55719948E+01 4.38861847E-01
 -1.56040573E+01 6.68759346E-01
 -1.56525040E+01 9.11340714E-01
 -1.57197380E+01 1.16583824E+00
 -1.58083153E+01 1.43154144E+00
 -1.59205437E+01 1.70728207E+00
 -1.60578537E+01 1.99090004E+00
 -1.62227440E+01 2.28097916E+00
 -1.64150620E+01 2.57445812E+00
 -1.66358948E+01 2.86908150E+00
 -1.68843651E+01 3.16182137E+00
 -1.71586990E+01 3.44952106E+00
 -1.74574280E+01 3.72951984E+00
 -1.77765656E+01 3.99874210E+00
 -1.81129074E+01 4.25481796E+00
 -1.84621429E+01 4.49560166E+00
 -1.88198280E+01 4.71938133E+00
 -1.91811371E+01 4.92509842E+00
 -1.95420456E+01 5.11233807E+00
 -1.98987961E+01 5.28098106E+00
 -2.02475739E+01 5.43146134E+00
 -2.05856133E+01 5.56478024E+00
 -2.09109116E+01 5.68212032E+00
 -2.12220764E+01 5.78474045E+00
 -2.15178871E+01 5.87398052E+00
 -2.17977524E+01 5.95126152E+00
 -2.20616531E+01 6.01796150E+00
 -2.23099136E+01 6.07535839E+00
 -2.25430870E+01 6.12453938E+00
 -2.27618408E+01 6.16650104E+00
 -2.29669380E+01 6.20203972E+00
 -2.31714821E+01 6.23370170E+00
 -2.33884239E+01 6.26289844E+00
 -2.36180878E+01 6.28851890E+00
 -2.38607025E+01 6.30909920E+00
 -2.41163254E+01 6.32256031E+00
 -2.43847847E+01 6.32604122E+00
 -2.46652985E+01 6.31537914E+00
 -2.49559021E+01 6.28489971E+00
 -2.52528763E+01 6.22776032E+00
 -2.55506516E+01 6.13724232E+00
 -2.58419800E+01 6.00793838E+00
 -2.61189079E+01 5.83652020E+00
 -2.63742828E+01 5.62146187E+00
 -2.65990067E+01 5.36409855E+00
 -2.67855453E+01 5.06959915E+00
 -2.69293594E+01 4.74458218E+00
 -2.70328522E+01 4.39877987E+00
 -2.70991135E+01 4.04250145E+00
 -2.71384811E+01 3.68360043E+00
 -2.71598625E+01 3.32839966E+00
 -2.71706390E+01 2.98006058E+00
 -2.71763420E+01 2.64128208E+00
 -2.71802521E+01 2.31393814E+00
 -2.71842766E+01 1.99955940E+00
 -2.71887589E+01 1.69909954E+00
 -2.71935272E+01 1.41310215E+00
 -2.71980858E+01 1.14183903E+00
 -2.72020149E+01 8.85319710E-01
 -2.72050476E+01 6.43281937E-01
 -2.72071075E+01 4.15320396E-01
 -2.72081566E+01 2.00901031E-01
 -2.72083473E+01 -6.38961792E-04
 -2.72076988E+01 -2.02159882E-01
 -2.72061539E+01 -4.16579246E-01
 -2.72035980E+01 -6.44521713E-01
 -2.71999741E+01 -8.86540413E-01
 -2.71954346E+01 -1.14304066E+00
 -2.71901894E+01 -1.41426086E+00
 -2.71846199E+01 -1.70023918E+00
 -2.71792603E+01 -2.00066090E+00
 -2.71742249E+01 -2.31500149E+00
 -2.71690941E+01 -2.64227867E+00
 -2.71619987E+01 -2.98099995E+00
 -2.71495819E+01 -3.32923889E+00
 -2.71263313E+01 -3.68428230E+00
 -2.70848274E+01 -4.04287815E+00
 -2.70162773E+01 -4.39866066E+00
 -2.69103813E+01 -4.74366188E+00
 -2.67642403E+01 -5.06765842E+00
 -2.65756989E+01 -5.36089897E+00
 -2.63492775E+01 -5.61687946E+00
 -2.60924339E+01 -5.83054066E+00
 -2.58144569E+01 -6.00056172E+00
 -2.55223465E+01 -6.12854004E+00
 -2.52240181E+01 -6.21794224E+00
 -2.49266815E+01 -6.27414226E+00
 -2.46358871E+01 -6.30387783E+00
 -2.43552589E+01 -6.31393910E+00
 -2.40867424E+01 -6.30996227E+00
 -2.38310814E+01 -6.29608154E+00
 -2.35884476E+01 -6.27511978E+00
 -2.33587837E+01 -6.24911785E+00
 -2.31418800E+01 -6.21957779E+00
 -2.29373550E+01 -6.18758202E+00
 -2.27323151E+01 -6.15168095E+00
 -2.25136375E+01 -6.10933781E+00
 -2.22805786E+01 -6.05971813E+00
 -2.20324516E+01 -6.00187778E+00
 -2.17687225E+01 -5.93465805E+00
 -2.14890289E+01 -5.85681915E+00
 -2.11934662E+01 -5.76694012E+00
 -2.08826256E+01 -5.66363812E+00
 -2.05576706E+01 -5.54560184E+00
 -2.02200890E+01 -5.41152000E+00
 -1.98717690E+01 -5.26021957E+00
 -1.95155716E+01 -5.09071827E+00
 -1.91553879E+01 -4.90262032E+00
 -1.87947845E+01 -4.69600201E+00
 -1.84379196E+01 -4.47130203E+00
 -1.80896378E+01 -4.22959804E+00
 -1.77543449E+01 -3.97257805E+00
 -1.74363136E+01 -3.70244026E+00
 -1.71388435E+01 -3.42152119E+00
 -1.68658638E+01 -3.13293934E+00
 -1.66187668E+01 -2.83932209E+00
 -1.63994980E+01 -2.54394054E+00
 -1.62086678E+01 -2.24966049E+00
 -1.60454369E+01 -1.95893764E+00
 -1.59097862E+01 -1.67471886E+00
 -1.57991982E+01 -1.39848232E+00
 -1.57122803E+01 -1.13237858E+00
 -1.56466484E+01 -8.77537727E-01
 -1.55997849E+01 -6.34741783E-01
 -1.55691910E+01 -4.04701233E-01
 -1.55528259E+01 -1.87439919E-01
 -1.55483055E+01 1.71422958E-02
