TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.39289284E+01 2.54821777E-02
 1.39260483E+01 2.45800018E-01
 1.39172363E+01 4.80098724E-01
 1.39012909E+01 7.29041100E-01
 1.38770294E+01 9.93218422E-01
 1.38430786E+01 1.27274036E+00
 1.37976456E+01 1.56767845E+00
 1.37389946E+01 1.87788010E+00
 1.36657333E+01 2.20225811E+00
 1.35753632E+01 2.53977776E+00
 1.34667778E+01 2.88844109E+00
 1.33379936E+01 3.24557781E+00
 1.31879044E+01 3.60826015E+00
 1.30159760E+01 3.97242069E+00
 1.28216171E+01 4.33400154E+00
 1.26059341E+01 4.68828201E+00
 1.23700714E+01 5.03071785E+00
 1.21160889E+01 5.35707950E+00
 1.18470573E+01 5.66326141E+00
 1.15664482E+01 5.94627857E+00
 1.12777519E+01 6.20401859E+00
 1.09851074E+01 6.43511772E+00
 1.06922150E+01 6.63948059E+00
 1.04026413E+01 6.81766033E+00
 1.01192474E+01 6.97090149E+00
 9.84428406E+00 7.10095882E+00
 9.57967758E+00 7.20975876E+00
 9.32676315E+00 7.29929924E+00
 9.08624649E+00 7.37155914E+00
 8.85837555E+00 7.42839813E+00
 8.64318848E+00 7.47148037E+00
 8.44038010E+00 7.50237942E+00
 8.24966431E+00 7.52245903E+00
 8.05912018E+00 7.53335953E+00
 7.85699844E+00 7.53424168E+00
 7.64347076E+00 7.52225876E+00
 7.41922378E+00 7.49412060E+00
 7.18538284E+00 7.44606018E+00
 6.94381714E+00 7.37403870E+00
 6.69740677E+00 7.27404118E+00
 6.45025253E+00 7.14250088E+00
 6.20773316E+00 6.97683811E+00
 5.97530365E+00 6.77591801E+00
 5.75792313E+00 6.54061794E+00
 5.55959702E+00 6.27364159E+00
 5.37990570E+00 5.97789764E+00
 5.21852493E+00 5.65790176E+00
 5.07326126E+00 5.31941891E+00
 4.94167328E+00 4.96531963E+00
 4.81973648E+00 4.60174084E+00
 4.70865250E+00 4.23272133E+00
 4.60685730E+00 3.86295795E+00
 4.51505661E+00 3.49646091E+00
 4.43372726E+00 3.13568115E+00
 4.36279297E+00 2.78332233E+00
 4.30189133E+00 2.44170189E+00
 4.25052643E+00 2.11259842E+00
 4.20812607E+00 1.79719925E+00
 4.17396546E+00 1.49630070E+00
 4.14730072E+00 1.21039867E+00
 4.12729263E+00 9.39679146E-01
 4.11308288E+00 6.83979988E-01
 4.10390854E+00 4.43019867E-01
 4.09898758E+00 2.16240883E-01
 4.09767151E+00 3.08036804E-03
 4.09957886E+00 -2.10080147E-01
 4.10509110E+00 -4.36840057E-01
 4.11493301E+00 -6.77762032E-01
 4.12984848E+00 -9.33399200E-01
 4.15060043E+00 -1.20406151E+00
 4.17804718E+00 -1.48982048E+00
 4.21304703E+00 -1.79059982E+00
 4.25632477E+00 -2.10581779E+00
 4.30862427E+00 -2.43472099E+00
 4.37047958E+00 -2.77607918E+00
 4.44242478E+00 -3.12814236E+00
 4.52484131E+00 -3.48857880E+00
 4.61769104E+00 -3.85468006E+00
 4.72061157E+00 -4.22398090E+00
 4.83282089E+00 -4.59249973E+00
 4.95592117E+00 -4.95545864E+00
 5.08878708E+00 -5.30891895E+00
 5.23527145E+00 -5.64668178E+00
 5.39802551E+00 -5.96581936E+00
 5.57914734E+00 -6.26061916E+00
 5.77880859E+00 -6.52649880E+00
 5.99742890E+00 -6.76054001E+00
 6.23096466E+00 -6.96013928E+00
 6.47438049E+00 -7.12441921E+00
 6.72222138E+00 -7.25458145E+00
 6.96916580E+00 -7.35321998E+00
 7.21109390E+00 -7.42393970E+00
 7.44520187E+00 -7.47077942E+00
 7.66962051E+00 -7.49780178E+00
 7.88320541E+00 -7.50872135E+00
 8.08532715E+00 -7.50688076E+00
 8.27585220E+00 -7.49509812E+00
 8.46649170E+00 -7.47416020E+00
 8.66918564E+00 -7.44235992E+00
 8.88422012E+00 -7.39830017E+00
 9.11184311E+00 -7.34047890E+00
 9.35207367E+00 -7.26714134E+00
 9.60464478E+00 -7.17648029E+00
 9.86881256E+00 -7.06649780E+00
 1.01432228E+01 -6.93523884E+00
 1.04259682E+01 -6.78071976E+00
 1.07147789E+01 -6.60121918E+00
 1.10067749E+01 -6.39554024E+00
 1.12984848E+01 -6.16312027E+00
 1.15860748E+01 -5.90410232E+00
 1.18655014E+01 -5.61989784E+00
 1.21333694E+01 -5.31253815E+00
 1.23860359E+01 -4.98517990E+00
 1.26206398E+01 -4.64178085E+00
 1.28350258E+01 -4.28668022E+00
 1.30281448E+01 -3.92436028E+00
 1.31987572E+01 -3.55961800E+00
 1.33477020E+01 -3.19637775E+00
 1.34752846E+01 -2.83884048E+00
 1.35828018E+01 -2.48980045E+00
 1.36721039E+01 -2.15203762E+00
 1.37443733E+01 -1.82744026E+00
 1.38021278E+01 -1.51706219E+00
 1.38466644E+01 -1.22201920E+00
 1.38797951E+01 -9.42378044E-01
 1.39033127E+01 -6.78138733E-01
 1.39185143E+01 -4.29201126E-01
 1.39266586E+01 -1.94859505E-01
 1.39289284E+01 2.54821777E-02
