TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.43208313E+01 3.07927990E+01
 2.43354034E+01 3.10690212E+01
 2.43448448E+01 3.13630199E+01
 2.43479156E+01 3.16755390E+01
 2.43433952E+01 3.20073795E+01
 2.43301964E+01 3.23589802E+01
 2.43070030E+01 3.27301598E+01
 2.42728996E+01 3.31210804E+01
 2.42270470E+01 3.35315990E+01
 2.41683197E+01 3.39591980E+01
 2.40959549E+01 3.44043446E+01
 2.40087891E+01 3.48624611E+01
 2.39062881E+01 3.53310776E+01
 2.37882614E+01 3.58082962E+01
 2.36541557E+01 3.62862778E+01
 2.35032845E+01 3.67626953E+01
 2.33374977E+01 3.72316647E+01
 2.31569290E+01 3.76884365E+01
 2.29620361E+01 3.81251812E+01
 2.27569389E+01 3.85410404E+01
 2.25437164E+01 3.89330769E+01
 2.23209953E+01 3.92950630E+01
 2.20954132E+01 3.96198559E+01
 2.18704224E+01 3.99123001E+01
 2.16388130E+01 4.01815987E+01
 2.14071274E+01 4.04106236E+01
 2.11804199E+01 4.05917168E+01
 2.09482002E+01 4.07425022E+01
 2.07221794E+01 4.08545780E+01
 2.05088234E+01 4.09297562E+01
 2.03054810E+01 4.09755993E+01
 2.01119232E+01 4.09964180E+01
 1.99304008E+01 4.10023785E+01
 1.97513580E+01 4.09930420E+01
 1.95610809E+01 4.09595585E+01
 1.93585014E+01 4.09002972E+01
 1.91421127E+01 4.08095837E+01
 1.89213753E+01 4.06872845E+01
 1.87011909E+01 4.05361176E+01
 1.84727859E+01 4.03386021E+01
 1.82456398E+01 4.01012993E+01
 1.80238724E+01 3.98357391E+01
 1.78008842E+01 3.95402622E+01
 1.75780106E+01 3.92127419E+01
 1.73612595E+01 3.88512039E+01
 1.71526718E+01 3.84621811E+01
 1.69494629E+01 3.80464172E+01
 1.67601013E+01 3.76163769E+01
 1.65815544E+01 3.71562004E+01
 1.64191818E+01 3.66951180E+01
 1.62702751E+01 3.62185574E+01
 1.61386681E+01 3.57423973E+01
 1.60221481E+01 3.52694988E+01
 1.59209251E+01 3.48027420E+01
 1.58349800E+01 3.43467617E+01
 1.57630539E+01 3.39050388E+01
 1.57044792E+01 3.34793758E+01
 1.56585312E+01 3.30715179E+01
 1.56243706E+01 3.26826763E+01
 1.56012154E+01 3.23133373E+01
 1.55881882E+01 3.19635963E+01
 1.55841255E+01 3.16333771E+01
 1.55877495E+01 3.13222980E+01
 1.55978012E+01 3.10297585E+01
 1.56131172E+01 3.07549381E+01
 1.56340981E+01 3.04803371E+01
 1.56626129E+01 3.01885223E+01
 1.56998825E+01 2.98787403E+01
 1.57471466E+01 2.95503998E+01
 1.58053398E+01 2.92031574E+01
 1.58753395E+01 2.88368797E+01
 1.59576035E+01 2.84515572E+01
 1.60525322E+01 2.80477047E+01
 1.61605644E+01 2.76261425E+01
 1.62815285E+01 2.71886444E+01
 1.64145851E+01 2.67364597E+01
 1.65595245E+01 2.62727833E+01
 1.67150688E+01 2.58014965E+01
 1.68795013E+01 2.53252411E+01
 1.70546341E+01 2.48460579E+01
 1.72340202E+01 2.43808174E+01
 1.74202538E+01 2.39105606E+01
 1.76087761E+01 2.34677601E+01
 1.77986908E+01 2.30366039E+01
 1.79781914E+01 2.26233578E+01
 1.81564713E+01 2.22262383E+01
 1.83300018E+01 2.18674183E+01
 1.84881783E+01 2.15356445E+01
 1.86259842E+01 2.12154961E+01
 1.87621307E+01 2.09130764E+01
 1.89138031E+01 2.06639767E+01
 1.90806198E+01 2.04708385E+01
 1.92657661E+01 2.03136158E+01
 1.94537354E+01 2.02031612E+01
 1.96329880E+01 2.01329803E+01
 1.98028564E+01 2.00956440E+01
 1.99628448E+01 2.00879574E+01
 2.01261330E+01 2.00975990E+01
 2.02994537E+01 2.01268196E+01
 2.04806328E+01 2.01894188E+01
 2.06664848E+01 2.02876759E+01
 2.08560371E+01 2.04358196E+01
 2.10343933E+01 2.06363583E+01
 2.11860657E+01 2.08732986E+01
 2.13231468E+01 2.11703968E+01
 2.14621544E+01 2.15018177E+01
 2.16185379E+01 2.18359375E+01
 2.17910767E+01 2.21950245E+01
 2.19708443E+01 2.25945187E+01
 2.21519089E+01 2.30153561E+01
 2.23402596E+01 2.34490776E+01
 2.25311089E+01 2.39002228E+01
 2.27169228E+01 2.43693829E+01
 2.28974342E+01 2.48444176E+01
 2.30719566E+01 2.53246784E+01
 2.32367134E+01 2.58042622E+01
 2.33917999E+01 2.62808800E+01
 2.35359764E+01 2.67473793E+01
 2.36681747E+01 2.72028160E+01
 2.37877846E+01 2.76443195E+01
 2.38942337E+01 2.80685234E+01
 2.39874268E+01 2.84757614E+01
 2.40676117E+01 2.88636017E+01
 2.41355324E+01 2.92322636E+01
 2.41918564E+01 2.95817375E+01
 2.42375374E+01 2.99119759E+01
 2.42734528E+01 3.02233791E+01
 2.43008232E+01 3.05167580E+01
 2.43208313E+01 3.07927990E+01
