TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -5.02669811E+01 6.77261352E-01
 -5.02999782E+01 9.06319618E-01
 -5.03479004E+01 1.14841938E+00
 -5.04131985E+01 1.40339851E+00
 -5.04983044E+01 1.67109966E+00
 -5.06054783E+01 1.95067883E+00
 -5.07371807E+01 2.24113941E+00
 -5.08954811E+01 2.54117966E+00
 -5.10818958E+01 2.84877777E+00
 -5.12982368E+01 3.16219807E+00
 -5.15444565E+01 3.47854137E+00
 -5.18213558E+01 3.79546165E+00
 -5.21271992E+01 4.10957813E+00
 -5.24610806E+01 4.41808224E+00
 -5.28196621E+01 4.71759796E+00
 -5.31999016E+01 5.00524044E+00
 -5.35975838E+01 5.27818203E+00
 -5.40078640E+01 5.53410053E+00
 -5.44258213E+01 5.77119827E+00
 -5.48468399E+01 5.98827839E+00
 -5.52657223E+01 6.18472099E+00
 -5.56781387E+01 6.36064052E+00
 -5.60808182E+01 6.51663780E+00
 -5.64704609E+01 6.65363789E+00
 -5.68445396E+01 6.77301884E+00
 -5.72015762E+01 6.87633991E+00
 -5.75406361E+01 6.96524143E+00
 -5.78612423E+01 7.04127788E+00
 -5.81632614E+01 7.10599899E+00
 -5.84469795E+01 7.16082096E+00
 -5.87131214E+01 7.20705986E+00
 -5.89625168E+01 7.24587917E+00
 -5.91961574E+01 7.27828026E+00
 -5.94290638E+01 7.30663776E+00
 -5.96759033E+01 7.33230114E+00
 -5.99370003E+01 7.35417843E+00
 -6.02124405E+01 7.37092018E+00
 -6.05020618E+01 7.38061905E+00
 -6.08055973E+01 7.38039970E+00
 -6.11223984E+01 7.36577988E+00
 -6.14504624E+01 7.32984066E+00
 -6.17851639E+01 7.26336002E+00
 -6.21184158E+01 7.15633869E+00
 -6.24402428E+01 7.00041771E+00
 -6.27404022E+01 6.79048061E+00
 -6.30058384E+01 6.52619839E+00
 -6.32254600E+01 6.21141910E+00
 -6.33905602E+01 5.85393906E+00
 -6.34981632E+01 5.46609878E+00
 -6.35538196E+01 5.06093979E+00
 -6.35716438E+01 4.65062142E+00
 -6.35657024E+01 4.24203873E+00
 -6.35482788E+01 3.83917809E+00
 -6.35272217E+01 3.44460011E+00
 -6.35075378E+01 3.06096077E+00
 -6.34915447E+01 2.69042015E+00
 -6.34797001E+01 2.33459949E+00
 -6.34712982E+01 1.99461937E+00
 -6.34651566E+01 1.67109966E+00
 -6.34600353E+01 1.36437893E+00
 -6.34550381E+01 1.07441902E+00
 -6.34495163E+01 8.00938606E-01
 -6.34431362E+01 5.43441772E-01
 -6.34358215E+01 3.01280022E-01
 -6.34275818E+01 7.37619400E-02
 -6.34179401E+01 -1.53679848E-01
 -6.34060764E+01 -3.95598412E-01
 -6.33917236E+01 -6.52618408E-01
 -6.33746242E+01 -9.25397873E-01
 -6.33546638E+01 -1.21438026E+00
 -6.33319187E+01 -1.51988029E+00
 -6.33065605E+01 -1.84192181E+00
 -6.32789230E+01 -2.18029976E+00
 -6.32490826E+01 -2.53431797E+00
 -6.32166195E+01 -2.90289879E+00
 -6.31798840E+01 -3.28420162E+00
 -6.31355381E+01 -3.67569923E+00
 -6.30780029E+01 -4.07388210E+00
 -6.29990959E+01 -4.47383881E+00
 -6.28887367E+01 -4.86837864E+00
 -6.27375603E+01 -5.24707794E+00
 -6.25390625E+01 -5.59805870E+00
 -6.22943401E+01 -5.91022015E+00
 -6.20090771E+01 -6.17521763E+00
 -6.16922569E+01 -6.38906002E+00
 -6.13551617E+01 -6.55149937E+00
 -6.10077000E+01 -6.66656017E+00
 -6.06585598E+01 -6.74106121E+00
 -6.03150558E+01 -6.78324222E+00
 -5.99820804E+01 -6.80116177E+00
 -5.96622372E+01 -6.80146217E+00
 -5.93568039E+01 -6.78905964E+00
 -5.90662956E+01 -6.76735878E+00
 -5.87909603E+01 -6.73880100E+00
 -5.85307598E+01 -6.70517922E+00
 -5.82854366E+01 -6.66791916E+00
 -5.80545426E+01 -6.62809849E+00
 -5.78234005E+01 -6.58371925E+00
 -5.75772190E+01 -6.53153896E+00
 -5.73152161E+01 -6.47047996E+00
 -5.70366955E+01 -6.39924049E+00
 -5.67412186E+01 -6.31641865E+00
 -5.64287376E+01 -6.22059822E+00
 -5.60994816E+01 -6.11020088E+00
 -5.57540798E+01 -5.98363876E+00
 -5.53937435E+01 -5.83936214E+00
 -5.50203610E+01 -5.67585945E+00
 -5.46367836E+01 -5.49200058E+00
 -5.42460156E+01 -5.28696060E+00
 -5.38518429E+01 -5.06028175E+00
 -5.34591007E+01 -4.81212139E+00
 -5.30726242E+01 -4.54323769E+00
 -5.26974010E+01 -4.25506115E+00
 -5.23385429E+01 -3.94954205E+00
 -5.20010185E+01 -3.62939835E+00
 -5.16885567E+01 -3.29745770E+00
 -5.14051628E+01 -2.95735836E+00
 -5.11526585E+01 -2.61233807E+00
 -5.09331226E+01 -2.26627827E+00
 -5.07464409E+01 -1.92235947E+00
 -5.05925846E+01 -1.58410072E+00
 -5.04697418E+01 -1.25410080E+00
 -5.03761006E+01 -9.35039520E-01
 -5.03089810E+01 -6.28700256E-01
 -5.02654171E+01 -3.36618423E-01
 -5.02424240E+01 -5.97190857E-02
 -5.02369213E+01 2.01578140E-01
 -5.02459431E+01 4.47139740E-01
 -5.02669811E+01 6.77261352E-01
