TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 -1.17201996E+01 8.51721764E-01
 -1.17592621E+01 1.08101845E+00
 -1.18129349E+01 1.32311821E+00
 -1.18836021E+01 1.57797813E+00
 -1.19736481E+01 1.84539795E+00
 -1.20852470E+01 2.12450027E+00
 -1.22210312E+01 2.41444111E+00
 -1.23829269E+01 2.71364212E+00
 -1.25728035E+01 3.02021980E+00
 -1.27923012E+01 3.33220005E+00
 -1.30417442E+01 3.64659786E+00
 -1.33218765E+01 3.96096230E+00
 -1.36310196E+01 4.27165985E+00
 -1.39684677E+01 4.57592010E+00
 -1.43305779E+01 4.87020016E+00
 -1.47144890E+01 5.15175819E+00
 -1.51157570E+01 5.41776180E+00
 -1.55294228E+01 5.66609860E+00
 -1.59505463E+01 5.89519978E+00
 -1.63743782E+01 6.10394001E+00
 -1.67955589E+01 6.29196167E+00
 -1.72099113E+01 6.45962238E+00
 -1.76141739E+01 6.60751820E+00
 -1.80048752E+01 6.73664093E+00
 -1.83796692E+01 6.84850216E+00
 -1.87371445E+01 6.94471836E+00
 -1.90763664E+01 7.02682018E+00
 -1.93968964E+01 7.09638119E+00
 -1.96986771E+01 7.15487957E+00
 -1.99819946E+01 7.20377922E+00
 -2.02475739E+01 7.24440098E+00
 -2.04963493E+01 7.27786064E+00
 -2.07292938E+01 7.30512142E+00
 -2.09614372E+01 7.32821941E+00
 -2.12074471E+01 7.34806061E+00
 -2.14675522E+01 7.36343861E+00
 -2.17416954E+01 7.37286091E+00
 -2.20296288E+01 7.37430096E+00
 -2.23310089E+01 7.36477852E+00
 -2.26451492E+01 7.33925819E+00
 -2.29696655E+01 7.29000092E+00
 -2.32987785E+01 7.20724106E+00
 -2.36232376E+01 7.08191872E+00
 -2.39333344E+01 6.90733910E+00
 -2.42192841E+01 6.67913914E+00
 -2.44668007E+01 6.39832020E+00
 -2.46656990E+01 6.06924057E+00
 -2.48085213E+01 5.70079804E+00
 -2.48927116E+01 5.30558109E+00
 -2.49272156E+01 4.89610195E+00
 -2.49272346E+01 4.48411942E+00
 -2.49068832E+01 4.07479763E+00
 -2.48776817E+01 3.67137909E+00
 -2.48467255E+01 3.27628136E+00
 -2.48188019E+01 2.89219856E+00
 -2.47960091E+01 2.52131939E+00
 -2.47784805E+01 2.16517925E+00
 -2.47652626E+01 1.82479858E+00
 -2.47549438E+01 1.50094032E+00
 -2.47461891E+01 1.19393826E+00
 -2.47379112E+01 9.03739929E-01
 -2.47294998E+01 6.30121231E-01
 -2.47205162E+01 3.72500420E-01
 -2.47109032E+01 1.30281448E-01
 -2.47006226E+01 -9.72604752E-02
 -2.46891212E+01 -3.24721336E-01
 -2.46755028E+01 -5.66577911E-01
 -2.46595573E+01 -8.23559761E-01
 -2.46412086E+01 -1.09623909E+00
 -2.46204376E+01 -1.38510227E+00
 -2.45975113E+01 -1.69044018E+00
 -2.45727539E+01 -2.01233864E+00
 -2.45465088E+01 -2.35052109E+00
 -2.45186996E+01 -2.70433903E+00
 -2.44885063E+01 -3.07270050E+00
 -2.44535446E+01 -3.45366001E+00
 -2.44095421E+01 -3.84458065E+00
 -2.43499565E+01 -4.24166202E+00
 -2.42655563E+01 -4.63965893E+00
 -2.41461945E+01 -5.03047943E+00
 -2.39821243E+01 -5.40262222E+00
 -2.37694359E+01 -5.74413776E+00
 -2.35110474E+01 -6.04407787E+00
 -2.32135010E+01 -6.29538059E+00
 -2.28866959E+01 -6.49477959E+00
 -2.25424957E+01 -6.64331913E+00
 -2.21898651E+01 -6.74598217E+00
 -2.18372345E+01 -6.80992126E+00
 -2.14916801E+01 -6.84343815E+00
 -2.11575508E+01 -6.85460091E+00
 -2.08370972E+01 -6.84969902E+00
 -2.05312729E+01 -6.83303833E+00
 -2.02405739E+01 -6.80758000E+00
 -1.99651909E+01 -6.77549839E+00
 -1.97051620E+01 -6.73855782E+00
 -1.94601822E+01 -6.69814110E+00
 -1.92297173E+01 -6.65534020E+00
 -1.89991570E+01 -6.60798073E+00
 -1.87537193E+01 -6.55258179E+00
 -1.84926224E+01 -6.48801804E+00
 -1.82152367E+01 -6.41294002E+00
 -1.79212189E+01 -6.32594108E+00
 -1.76105309E+01 -6.22550011E+00
 -1.72834969E+01 -6.11011982E+00
 -1.69408035E+01 -5.97817898E+00
 -1.65836525E+01 -5.82801819E+00
 -1.62141800E+01 -5.65807819E+00
 -1.58353043E+01 -5.46726227E+00
 -1.54500198E+01 -5.25465965E+00
 -1.50623322E+01 -5.01974106E+00
 -1.46773529E+01 -4.76255894E+00
 -1.42998314E+01 -4.48398113E+00
 -1.39349747E+01 -4.18540001E+00
 -1.35880089E+01 -3.86888027E+00
 -1.32638359E+01 -3.53734016E+00
 -1.29660606E+01 -3.19384098E+00
 -1.26986122E+01 -2.84239769E+00
 -1.24628639E+01 -2.48648167E+00
 -1.22606468E+01 -2.13047981E+00
 -1.20912552E+01 -1.77763939E+00
 -1.19543457E+01 -1.43179893E+00
 -1.18476105E+01 -1.09553814E+00
 -1.17689705E+01 -7.71541596E-01
 -1.17154884E+01 -4.61440086E-01
 -1.16840363E+01 -1.66621208E-01
 -1.16717148E+01 1.12218857E-01
 -1.16754341E+01 3.74779701E-01
 -1.16923714E+01 6.21137619E-01
 -1.17201996E+01 8.51721764E-01
