TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.56030846E+01 1.30568027E+00
 1.55853081E+01 1.55638218E+00
 1.55603790E+01 1.82268143E+00
 1.55269623E+01 2.10515976E+00
 1.54836464E+01 2.40444183E+00
 1.54289436E+01 2.72054195E+00
 1.53609467E+01 3.05354118E+00
 1.52779579E+01 3.40290070E+00
 1.51780128E+01 3.76753807E+00
 1.50591278E+01 4.14604187E+00
 1.49196053E+01 4.53594208E+00
 1.47575760E+01 4.93445873E+00
 1.45722008E+01 5.33763886E+00
 1.43622398E+01 5.74125767E+00
 1.41280746E+01 6.14024162E+00
 1.38701439E+01 6.52932167E+00
 1.35899734E+01 6.90318108E+00
 1.32901955E+01 7.25666046E+00
 1.29738426E+01 7.58533955E+00
 1.26447487E+01 7.88551808E+00
 1.23073387E+01 8.15475941E+00
 1.19661713E+01 8.39166164E+00
 1.16252136E+01 8.59618187E+00
 1.12887955E+01 8.76910210E+00
 1.09604263E+01 8.91211986E+00
 1.06427193E+01 9.02751923E+00
 1.03377724E+01 9.11789894E+00
 1.00470734E+01 9.18588162E+00
 9.77155686E+00 9.23409939E+00
 9.51168060E+00 9.26502228E+00
 9.26746368E+00 9.28092003E+00
 9.03854370E+00 9.28390026E+00
 8.82442474E+00 9.27569866E+00
 8.61171722E+00 9.25643921E+00
 8.38762283E+00 9.22317982E+00
 8.15286636E+00 9.17272091E+00
 7.90882110E+00 9.10138130E+00
 7.65768051E+00 9.00529862E+00
 7.40211487E+00 8.88051987E+00
 7.14557648E+00 8.72313976E+00
 6.89289093E+00 8.52970123E+00
 6.65044784E+00 8.29842091E+00
 6.42435074E+00 8.03020000E+00
 6.21799469E+00 7.72749901E+00
 6.03153229E+00 7.39265919E+00
 5.86528778E+00 7.03085899E+00
 5.71548462E+00 6.64596081E+00
 5.57830810E+00 6.24266148E+00
 5.45330048E+00 5.82471848E+00
 5.33863068E+00 5.39713860E+00
 5.23387909E+00 4.96687889E+00
 5.14005661E+00 4.53686237E+00
 5.05701065E+00 4.11104202E+00
 4.98516083E+00 3.69274139E+00
 4.92418289E+00 3.28534126E+00
 4.87403870E+00 2.89127827E+00
 4.83436584E+00 2.51239777E+00
 4.80451584E+00 2.15000153E+00
 4.78361130E+00 1.80496216E+00
 4.77077484E+00 1.47778034E+00
 4.76497650E+00 1.16847992E+00
 4.76530075E+00 8.76860618E-01
 4.77077484E+00 6.02440834E-01
 4.78052139E+00 3.44557762E-01
 4.79375839E+00 1.02481842E-01
 4.81096268E+00 -1.39279366E-01
 4.83354568E+00 -3.96060944E-01
 4.86240387E+00 -6.68439865E-01
 4.89841461E+00 -9.56897736E-01
 4.94249344E+00 -1.26173973E+00
 4.99561310E+00 -1.58304214E+00
 5.05863190E+00 -1.92053795E+00
 5.13238907E+00 -2.27365971E+00
 5.21749496E+00 -2.64135838E+00
 5.31444550E+00 -3.02227974E+00
 5.42350769E+00 -3.41427803E+00
 5.54485321E+00 -3.81482124E+00
 5.67836762E+00 -4.22060013E+00
 5.82372666E+00 -4.62820053E+00
 5.98054886E+00 -5.03372192E+00
 6.14927292E+00 -5.43138027E+00
 6.33100510E+00 -5.81647873E+00
 6.52700424E+00 -6.18340016E+00
 6.74129486E+00 -6.52671814E+00
 6.97568894E+00 -6.84043884E+00
 7.22930908E+00 -7.11894035E+00
 7.50131607E+00 -7.35867977E+00
 7.78612137E+00 -7.55705834E+00
 8.07746887E+00 -7.71431923E+00
 8.36927414E+00 -7.83301830E+00
 8.65640640E+00 -7.91687965E+00
 8.93505096E+00 -7.97041893E+00
 9.20259476E+00 -7.99848080E+00
 9.45726395E+00 -8.00576210E+00
 9.69797134E+00 -7.99642086E+00
 9.92433548E+00 -7.97403812E+00
 1.01364708E+01 -7.94156074E+00
 1.03476524E+01 -7.89844036E+00
 1.05709648E+01 -7.84132004E+00
 1.08065224E+01 -7.76823998E+00
 1.10542107E+01 -7.67715931E+00
 1.13134766E+01 -7.56577968E+00
 1.15833855E+01 -7.43175984E+00
 1.18626022E+01 -7.27263928E+00
 1.21492577E+01 -7.08631992E+00
 1.24409294E+01 -6.87121868E+00
 1.27350426E+01 -6.62583828E+00
 1.30280685E+01 -6.34970188E+00
 1.33164406E+01 -6.04325771E+00
 1.35972023E+01 -5.70750236E+00
 1.38659668E+01 -5.34513950E+00
 1.41201019E+01 -4.95915890E+00
 1.43564796E+01 -4.55388069E+00
 1.45729446E+01 -4.13400173E+00
 1.47678566E+01 -3.70443821E+00
 1.49404526E+01 -3.27077866E+00
 1.50903893E+01 -2.83748150E+00
 1.52183723E+01 -2.40943909E+00
 1.53251648E+01 -1.99048042E+00
 1.54124832E+01 -1.58376217E+00
 1.54817009E+01 -1.19195938E+00
 1.55348969E+01 -8.16640854E-01
 1.55738640E+01 -4.59198952E-01
 1.56003761E+01 -1.20038986E-01
 1.56163788E+01 2.00557709E-01
 1.56232071E+01 5.02858162E-01
 1.56224823E+01 7.87358284E-01
 1.56154633E+01 1.05472088E+00
 1.56030846E+01 1.30568027E+00
