TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.34760857E+01 4.69051838E+00
 2.34619713E+01 4.96508122E+00
 2.34419060E+01 5.25680065E+00
 2.34147453E+01 5.56632042E+00
 2.33794022E+01 5.89444160E+00
 2.33348274E+01 6.24134064E+00
 2.32795334E+01 6.60714150E+00
 2.32125092E+01 6.99165821E+00
 2.31323433E+01 7.39394188E+00
 2.30378151E+01 7.81281948E+00
 2.29279709E+01 8.24634075E+00
 2.28017616E+01 8.69165897E+00
 2.26586533E+01 9.14579868E+00
 2.24981880E+01 9.60413933E+00
 2.23204041E+01 1.00625610E+01
 2.21254158E+01 1.05156183E+01
 2.19141197E+01 1.09578800E+01
 2.16875458E+01 1.13842583E+01
 2.14470291E+01 1.17893410E+01
 2.11943626E+01 1.21684408E+01
 2.09315109E+01 1.25178385E+01
 2.06608582E+01 1.28340197E+01
 2.03843689E+01 1.31147194E+01
 2.01037788E+01 1.33577013E+01
 1.98209763E+01 1.35607386E+01
 1.95381927E+01 1.37230015E+01
 1.92586327E+01 1.38448000E+01
 1.89857864E+01 1.39281988E+01
 1.87231445E+01 1.39766407E+01
 1.84735680E+01 1.39944220E+01
 1.82388687E+01 1.39861393E+01
 1.80200577E+01 1.39565420E+01
 1.78174591E+01 1.39099789E+01
 1.76189613E+01 1.38459206E+01
 1.74132347E+01 1.37595987E+01
 1.72016335E+01 1.36487198E+01
 1.69856644E+01 1.35114193E+01
 1.67665482E+01 1.33459806E+01
 1.65452385E+01 1.31511593E+01
 1.63226318E+01 1.29266024E+01
 1.60993004E+01 1.26720619E+01
 1.58765221E+01 1.23875380E+01
 1.56565094E+01 1.20734978E+01
 1.54407120E+01 1.17308998E+01
 1.52298737E+01 1.13610792E+01
 1.50262260E+01 1.09649420E+01
 1.48309708E+01 1.05442190E+01
 1.46451187E+01 1.01043606E+01
 1.44704628E+01 9.64610100E+00
 1.43086815E+01 9.17570114E+00
 1.41607857E+01 8.70039940E+00
 1.40277863E+01 8.22261810E+00
 1.39100647E+01 7.74861812E+00
 1.38078117E+01 7.28169918E+00
 1.37209892E+01 6.82608128E+00
 1.36491776E+01 6.38463974E+00
 1.35916328E+01 5.95970154E+00
 1.35474586E+01 5.55290222E+00
 1.35154915E+01 5.16540050E+00
 1.34945107E+01 4.79775906E+00
 1.34831238E+01 4.45015907E+00
 1.34799385E+01 4.12241936E+00
 1.34836769E+01 3.81402016E+00
 1.34931374E+01 3.52424145E+00
 1.35072136E+01 3.25228214E+00
 1.35262871E+01 2.98073769E+00
 1.35519791E+01 2.69236088E+00
 1.35853386E+01 2.38656044E+00
 1.36275291E+01 2.06277847E+00
 1.36795998E+01 1.72078133E+00
 1.37426567E+01 1.36052132E+00
 1.38177109E+01 9.82317924E-01
 1.39057350E+01 5.86919784E-01
 1.40076065E+01 1.75662041E-01
 1.41239738E+01 -2.49738693E-01
 1.42552948E+01 -6.86659813E-01
 1.44017220E+01 -1.13202095E+00
 1.45632553E+01 -1.58187866E+00
 1.47394371E+01 -2.03166008E+00
 1.49298286E+01 -2.47729778E+00
 1.51333427E+01 -2.91224003E+00
 1.53484917E+01 -3.33206177E+00
 1.55739975E+01 -3.73310089E+00
 1.58088112E+01 -4.10957813E+00
 1.60515785E+01 -4.46032047E+00
 1.62997246E+01 -4.78241920E+00
 1.65525246E+01 -5.07336140E+00
 1.68088722E+01 -5.33204079E+00
 1.70680809E+01 -5.55480003E+00
 1.73297119E+01 -5.73947906E+00
 1.75914001E+01 -5.88493824E+00
 1.78500557E+01 -5.99217892E+00
 1.81026268E+01 -6.06373787E+00
 1.83457947E+01 -6.10301972E+00
 1.85770798E+01 -6.11392021E+00
 1.87947464E+01 -6.10074043E+00
 1.89978600E+01 -6.06801987E+00
 1.91980171E+01 -6.01605892E+00
 1.94063187E+01 -5.94048023E+00
 1.96213531E+01 -5.83831787E+00
 1.98414230E+01 -5.70703983E+00
 2.00646019E+01 -5.54512024E+00
 2.02895546E+01 -5.35181999E+00
 2.05160332E+01 -5.12693882E+00
 2.07437134E+01 -4.87071991E+00
 2.09714890E+01 -4.58340168E+00
 2.11985588E+01 -4.26482201E+00
 2.14229012E+01 -3.91571999E+00
 2.16423607E+01 -3.53713989E+00
 2.18556786E+01 -3.13141823E+00
 2.20605469E+01 -2.70164013E+00
 2.22555161E+01 -2.25138187E+00
 2.24385452E+01 -1.78505898E+00
 2.26081657E+01 -1.30770206E+00
 2.27632713E+01 -8.23698044E-01
 2.29027557E+01 -3.39121819E-01
 2.30260277E+01 1.42498016E-01
 2.31329918E+01 6.15801811E-01
 2.32237816E+01 1.07773781E+00
 2.32991791E+01 1.52492046E+00
 2.33599091E+01 1.95508003E+00
 2.34073067E+01 2.36660004E+00
 2.34425926E+01 2.75822163E+00
 2.34671593E+01 3.12970161E+00
 2.34825516E+01 3.48068237E+00
 2.34898567E+01 3.81162167E+00
 2.34904861E+01 4.12305832E+00
 2.34856224E+01 4.41576004E+00
 2.34760857E+01 4.69051838E+00
