TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.48942184E+01 3.84872246E+01
 2.48948479E+01 3.87716389E+01
 2.48893356E+01 3.90740013E+01
 2.48764992E+01 3.93948364E+01
 2.48551178E+01 3.97350025E+01
 2.48239517E+01 4.00946808E+01
 2.47814178E+01 4.04738236E+01
 2.47261238E+01 4.08723354E+01
 2.46563911E+01 4.12891006E+01
 2.45705605E+01 4.17226791E+01
 2.44671059E+01 4.21710777E+01
 2.43444443E+01 4.26308155E+01
 2.42012405E+01 4.30989838E+01
 2.40365791E+01 4.35699177E+01
 2.38501167E+01 4.40396023E+01
 2.36417389E+01 4.45016003E+01
 2.34123611E+01 4.49501991E+01
 2.31633949E+01 4.53798771E+01
 2.28968430E+01 4.57849026E+01
 2.26154518E+01 4.61604023E+01
 2.23217773E+01 4.65025806E+01
 2.20193863E+01 4.68075848E+01
 2.17111778E+01 4.70738983E+01
 2.14004135E+01 4.73000622E+01
 2.10904884E+01 4.74848175E+01
 2.07843208E+01 4.76292610E+01
 2.04858398E+01 4.77345753E+01
 2.01976395E+01 4.78039646E+01
 1.99227905E+01 4.78415203E+01
 1.96629906E+01 4.78513622E+01
 1.94190598E+01 4.78379631E+01
 1.91912651E+01 4.78061390E+01
 1.89796448E+01 4.77591992E+01
 1.87711716E+01 4.76963043E+01
 1.85532570E+01 4.76125431E+01
 1.83271217E+01 4.75058174E+01
 1.80938530E+01 4.73740387E+01
 1.78539658E+01 4.72143173E+01
 1.76092911E+01 4.70255756E+01
 1.73614311E+01 4.68063640E+01
 1.71114159E+01 4.65544987E+01
 1.68619728E+01 4.62709046E+01
 1.66155052E+01 4.59550572E+01
 1.63740921E+01 4.56057358E+01
 1.61407661E+01 4.52270603E+01
 1.59172630E+01 4.48193836E+01
 1.57062912E+01 4.43831825E+01
 1.55107689E+01 4.39266014E+01
 1.53314590E+01 4.34496021E+01
 1.51709175E+01 4.29590416E+01
 1.50297165E+01 4.24628353E+01
 1.49082184E+01 4.19631386E+01
 1.48060608E+01 4.14678002E+01
 1.47223091E+01 4.09798813E+01
 1.46562004E+01 4.05041599E+01
 1.46064377E+01 4.00436974E+01
 1.45717430E+01 3.96009827E+01
 1.45510292E+01 3.91776562E+01
 1.45429993E+01 3.87749386E+01
 1.45463371E+01 3.83934021E+01
 1.45597076E+01 3.80331230E+01
 1.45816612E+01 3.76939011E+01
 1.46108246E+01 3.73751831E+01
 1.46457672E+01 3.70761967E+01
 1.46851158E+01 3.67960835E+01
 1.47307205E+01 3.65168953E+01
 1.47858810E+01 3.62209606E+01
 1.48518562E+01 3.59077168E+01
 1.49298286E+01 3.55766964E+01
 1.50208092E+01 3.52276039E+01
 1.51255989E+01 3.48604012E+01
 1.52447891E+01 3.44753170E+01
 1.53786087E+01 3.40728378E+01
 1.55270195E+01 3.36541176E+01
 1.56897736E+01 3.32205009E+01
 1.58660316E+01 3.27744007E+01
 1.60547256E+01 3.23182392E+01
 1.62548637E+01 3.18556786E+01
 1.64645386E+01 3.13912010E+01
 1.66818237E+01 3.09276962E+01
 1.69048309E+01 3.04719162E+01
 1.71305847E+01 3.00277615E+01
 1.73555756E+01 2.95969009E+01
 1.75761223E+01 2.91855431E+01
 1.77919006E+01 2.87939167E+01
 1.80010605E+01 2.84257412E+01
 1.81997108E+01 2.80837440E+01
 1.83916664E+01 2.77652359E+01
 1.85889435E+01 2.74815559E+01
 1.88023186E+01 2.72443390E+01
 1.90313530E+01 2.70608234E+01
 1.92695999E+01 2.69292164E+01
 1.95083237E+01 2.68462181E+01
 1.97393799E+01 2.68059158E+01
 1.99587440E+01 2.68034840E+01
 2.01641273E+01 2.68321228E+01
 2.03540611E+01 2.68855000E+01
 2.05373764E+01 2.69647026E+01
 2.07217026E+01 2.70754623E+01
 2.09033012E+01 2.72223186E+01
 2.10777855E+01 2.74078178E+01
 2.12420273E+01 2.76298046E+01
 2.13990593E+01 2.78862190E+01
 2.15575600E+01 2.81720829E+01
 2.17253113E+01 2.84819031E+01
 2.19044685E+01 2.88163567E+01
 2.20931816E+01 2.91783619E+01
 2.22888565E+01 2.95668030E+01
 2.24917984E+01 2.99791813E+01
 2.27010918E+01 3.04129219E+01
 2.29121017E+01 3.08680439E+01
 2.31215477E+01 3.13399792E+01
 2.33279610E+01 3.18251228E+01
 2.35280037E+01 3.23187828E+01
 2.37192345E+01 3.28173637E+01
 2.38993454E+01 3.33146191E+01
 2.40662384E+01 3.38081837E+01
 2.42179680E+01 3.42926025E+01
 2.43533134E+01 3.47655964E+01
 2.44717598E+01 3.52236843E+01
 2.45730019E+01 3.56649590E+01
 2.46576881E+01 3.60877419E+01
 2.47266388E+01 3.64907360E+01
 2.47812271E+01 3.68735981E+01
 2.48231125E+01 3.72358036E+01
 2.48537636E+01 3.75777435E+01
 2.48748589E+01 3.78997993E+01
 2.48879623E+01 3.82027245E+01
 2.48942184E+01 3.84872246E+01
